Code,Name,Rating,SalesYoY,OperatingYoY,OrdinaryYoY,NetYoY,Revision,BasePrice,翌日寄付,GU率,09:30価格,09:30騰落率,翌日高値,翌日高値率,翌日終値,翌日終値率
3936,Ｇ－グローバルウェイ,STRONG_GOOD,3.0,970.0,26.0,68.0,無,164.0,167.0,1.8292682926829285,167.0,1.8292682926829285,206.0,25.609756097560975,190.0,15.853658536585357
7031,Ｇ－インバウンド,STRONG_GOOD,3.0,706.0,33.0,21.0,無,685.0,675.0,-1.4598540145985384,675.0,-1.4598540145985384,675.0,-1.4598540145985384,675.0,-1.4598540145985384
4448,Ｇ－ｋｕｂｅｌｌ,STRONG_GOOD,938.0,556.0,552.0,490.0,有,326.0,350.0,7.361963190184051,337.0,3.3742331288343586,353.0,8.282208588957051,342.0,4.907975460122693
8938,Ｇ－グロームＨＤ,STRONG_GOOD,3.0,458.0,30.0,12.0,無,335.0,339.0,1.1940298507462588,338.0,0.8955223880596996,343.0,2.3880597014925398,339.0,1.1940298507462588
3909,ショーケース,STRONG_GOOD,3.0,296.0,5.0,45.0,不明,206.0,208.0,0.9708737864077666,208.0,0.9708737864077666,209.0,1.4563106796116498,199.0,-3.398058252427183
9248,人・夢・技術Ｇ,STRONG_GOOD,1.6,189.2,209.5,367.7,無,1678.0,1689.0,0.6555423122765136,1710.0,1.9070321811680557,1716.0,2.2646007151370773,1706.0,1.6686531585220488
6820,アイコム,STRONG_GOOD,18.7,182.3,182.0,166.2,無,3500.0,3430.0,-2.0000000000000018,3405.0,-2.7142857142857135,3475.0,-0.7142857142857117,3340.0,-4.571428571428571
2215,第一パン,STRONG_GOOD,6.9,151.1,154.0,196.2,無,650.0,600.0,-7.692307692307687,605.0,-6.923076923076921,612.0,-5.846153846153845,611.0,-6.000000000000005
9087,タカセ,STRONG_GOOD,6.8,144.1,104.5,199.1,無,2100.0,2050.0,-2.3809523809523836,2050.0,-2.3809523809523836,2050.0,-2.3809523809523836,2000.0,-4.761904761904767
5247,Ｇ－ＢＴＭ,STRONG_GOOD,15.3,136.2,141.6,97.1,不明,550.0,567.0,3.0909090909090997,582.0,5.818181818181811,590.0,7.272727272727275,572.0,4.0000000000000036
4019,Ｇ－スタメン,STRONG_GOOD,33.4,115.3,110.3,119.3,有,643.0,702.0,9.175738724727832,648.0,0.7776049766718529,704.0,9.48678071539657,634.0,-1.3996889580093264
7084,Ｇ－ＳｍｉｌｅＨＤ,STRONG_GOOD,31.5,106.1,48.7,6.3,無,2752.0,2781.0,1.0537790697674465,2799.0,1.7078488372092915,2799.0,1.7078488372092915,2794.0,1.5261627906976827
4476,Ｇ－ＡＩ　ＣＲＯＳＳ,STRONG_GOOD,33.0,104.0,101.7,231.3,無,1147.0,1140.0,-0.6102877070618962,1130.0,-1.482127288578905,1140.0,-0.6102877070618962,1123.0,-2.092414995640801
5571,エキサイトＨＤ,STRONG_GOOD,267.0,103.0,91.0,92.0,無,998.0,990.0,-0.8016032064128265,980.0,-1.8036072144288595,990.0,-0.8016032064128265,937.0,-6.112224448897797
6627,テラプローブ,STRONG_GOOD,43.6,93.8,108.1,110.3,有,12840.0,12000.0,-6.542056074766355,12100.0,-5.763239875389403,12580.0,-2.024922118380057,12380.0,-3.5825545171339512
7685,Ｇ－ＢＵＹＳＥＬＬ,STRONG_GOOD,80.3,90.8,98.6,114.3,不明,3165.0,3195.0,0.9478672985782088,3250.0,2.6856240126382325,3450.0,9.004739336492884,3405.0,7.582938388625582
7061,Ｇ－日本ホスピス,STRONG_GOOD,13.6,85.8,38.4,44.7,不明,560.0,482.0,-13.928571428571423,472.0,-15.714285714285714,509.0,-9.107142857142858,501.0,-10.535714285714281
6545,Ｇ－ＩＩＦ,STRONG_GOOD,0.4,80.7,148.4,186.8,無,887.0,857.0,-3.382187147688842,880.0,-0.7891770011273946,880.0,-0.7891770011273946,849.0,-4.284103720405863
7091,Ｇ－ＬＰＦ,STRONG_GOOD,11.1,79.6,106.6,87.2,無,1191.0,1294.0,8.648194794290509,1253.0,5.20570948782535,1294.0,8.648194794290509,1284.0,7.8085642317380355
7375,Ｇ－リファインバスＧ,STRONG_GOOD,9.7,75.9,86.9,74.9,不明,1225.0,1255.0,2.448979591836742,1264.0,3.183673469387749,1333.0,8.81632653061224,1265.0,3.2653061224489743
9553,Ｇ－マイクロアド,STRONG_GOOD,23.6,67.4,66.3,543.7,無,651.0,606.0,-6.912442396313367,618.0,-5.0691244239631335,620.0,-4.761904761904767,590.0,-9.370199692780334
6070,キャリアリンク,STRONG_GOOD,10.2,64.2,64.3,67.1,不明,2463.0,2683.0,8.932196508323177,2586.0,4.993909866017043,2689.0,9.175801867641088,2540.0,3.1262687779131104
145A,Ｇ－エルイズビー,STRONG_GOOD,33.4,63.1,62.3,84.7,無,940.0,895.0,-4.78723404255319,895.0,-4.78723404255319,907.0,-3.510638297872337,886.0,-5.7446808510638325
3763,プロシップ,STRONG_GOOD,37.4,62.6,57.6,54.0,無,2022.0,2198.0,8.704253214638968,2250.0,11.275964391691385,2406.0,18.991097922848653,2405.0,18.94164193867458
9554,Ｇ－ＡＶｉＣ,STRONG_GOOD,65.0,57.9,56.0,47.9,無,1770.0,1692.0,-4.406779661016946,1773.0,0.16949152542373724,1799.0,1.6384180790960379,1717.0,-2.9943502824858803
3750,ＡＤＲバイオメディカ,STRONG_GOOD,3.0,57.0,91.0,93.0,無,790.0,792.0,0.25316455696202667,795.0,0.6329113924050667,798.0,1.0126582278481067,798.0,1.0126582278481067
7781,平山,STRONG_GOOD,4.4,51.8,52.6,46.7,不明,830.0,905.0,9.036144578313255,885.0,6.626506024096379,915.0,10.24096385542168,880.0,6.024096385542177
7747,アサヒインテック,STRONG_GOOD,21.2,50.3,52.8,151.8,不明,3874.0,4084.0,5.420753742901385,4044.0,4.388229220443995,4138.0,6.814661848218906,4097.0,5.756324212700048
4784,ＧＭＯインターネット,STRONG_GOOD,7.2,46.2,39.5,28.1,不明,569.0,546.0,-4.0421792618629215,566.0,-0.5272407732864637,592.0,4.0421792618629215,542.0,-4.7451669595782064
7694,Ｇ－いつも,STRONG_GOOD,1.0,45.9,30.0,1.0,無,566.0,566.0,0.0,555.0,-1.9434628975265045,588.0,3.886925795053009,522.0,-7.773851590106007
7809,壽屋,STRONG_GOOD,6.0,45.0,375.0,4.4,不明,1343.0,1320.0,-1.7125837676842837,1317.0,-1.93596425912137,1324.0,-1.4147431124348464,1319.0,-1.7870439314966458
7072,Ｇ－インテＭ,STRONG_GOOD,7.7,42.1,44.2,47.0,無,1159.0,1219.0,5.176876617773951,1200.0,3.5375323554788674,1253.0,8.11044003451251,1205.0,3.9689387402933596
2652,まんだらけ,STRONG_GOOD,12.3,41.6,41.4,52.9,無,480.0,472.0,-1.6666666666666718,450.0,-6.25,473.0,-1.4583333333333282,445.0,-7.2916666666666625
4256,Ｇ－サインド,STRONG_GOOD,16.3,40.7,35.3,75.3,無,962.0,977.0,1.5592515592515621,989.0,2.8066528066527985,990.0,2.9106029106028997,983.0,2.1829521829521914
