DetectionDate,Code,Name,EarningsType,Rating,ParseStatus,MinGrowth4,MinProgressExcess,MinForecastGrowth4,Revision,WarningFlag,HypothesisRank
2026-09-14,6387,サムコ,FULL_YEAR,STRONG_GOOD,OK,,,22.8,,,SG_NEXT20
2026-09-14,5136,Ｇ－ｔｒｉｐｌａ,QUARTERLY,STRONG_GOOD,OK,43.2,-1.3362487852283778,,,,SG_BALANCED20
2026-09-14,212A,フィットイージー,QUARTERLY,STRONG_GOOD,OK,41.3,-5.246663970885564,,,,SG_BALANCED20
2026-09-14,3475,グッドコムアセット,QUARTERLY,STRONG_GOOD,OK,40.9,-44.77973568281938,,,PROGRESS_DELAY,SG_BALANCED20
2026-09-14,9237,Ｇ－笑美面,QUARTERLY,STRONG_GOOD,OK,36.2,-46.59763313609467,,,PROGRESS_DELAY,SG_BALANCED20
2026-09-14,4053,サンアスタリスク,QUARTERLY,STRONG_GOOD,OK,25.8,7.019438444924411,,,,SG_BALANCED20
2026-09-14,9279,ギフトＨＤ,QUARTERLY,STRONG_GOOD,OK,23.6,-0.6400000000000006,,,,SG_BALANCED20
2026-09-14,7110,Ｇ－クラシコム,FULL_YEAR,STRONG_GOOD,OK,,,9.4,,,SG_NEXT_POSITIVE
2026-09-14,9240,Ｇ－デリバリコンサル,FULL_YEAR,STRONG_GOOD,OK,,,3.7,,,SG_NEXT_POSITIVE
2026-09-14,8927,明豊エンター,FULL_YEAR,STRONG_GOOD,OK,,,0.5,,,SG_NEXT_POSITIVE
2026-09-14,4431,Ｇ－スマレジ,QUARTERLY,STRONG_GOOD,OK,19.7,-0.44048903272204143,,,,SG
2026-09-14,3441,山王,FULL_YEAR,STRONG_GOOD,OK,,,-42.8,,NEXT_FY_NEGATIVE,SG
2026-09-14,4380,Ｇ－Ｍマート,QUARTERLY,GOOD,OK,11.7,3.70101596516691,,,,WATCH
2026-09-14,3415,トウキョウベース,QUARTERLY,GOOD,OK,7.8,-15.719999999999999,,,PROGRESS_DELAY,WATCH
2026-09-14,6037,楽待,FULL_YEAR,GOOD,OK,,,5.8,,,WATCH
2026-09-14,7614,オーエムツー,QUARTERLY,GOOD,OK,1.7,-4.0,,,,WATCH
2026-09-14,1444,Ｇ－ニッソウ,FULL_YEAR,GOOD,OK,,,,,,WATCH
2026-09-14,7050,Ｇ－フロンティアＩ,QUARTERLY,STRONG_GOOD,NO_PROFIT_FORECAST,,,,,,WATCH
