コード,銘柄名,発表日時,売上前年比,営業利益前年比,経常利益前年比,純利益前年比,決算評価,業績予想修正,開示タイトル,抽出元行,開示URL,StrengthScore,StrengthScoreV2,Priority,PriorityV2
5136,Ｇ－ｔｒｉｐｌａ,2026-09-14 15:30:00,43.2,133.7,139.3,86.2,STRONG_GOOD,有,2026年10月期 第３四半期決算短信〔日本基準〕(連結),"2026年10月期第３四半期 2,613 43.2 758 133.7 874 139.3 574 86.2",https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260914535648.pdf,104.5,92.5,PRIORITY_1,PRIORITY_1
3475,グッドコムアセット,2026-09-14 15:30:00,40.9,143.7,130.4,198.6,STRONG_GOOD,無,2026年10月期 第３四半期決算短信〔日本基準〕（連結）,"2026年10月期第３四半期 34,986 40.9 2,637 143.7 2,089 130.4 1,372 198.6",https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260914535783.pdf,96.4,77.7,PRIORITY_1,PRIORITY_1
9237,Ｇ－笑美面,2026-09-14 16:00:00,36.2,400.5,409.6,235.3,STRONG_GOOD,無,2026年10月期 第３四半期決算短信〔日本基準〕（連結）,"2026年10月期第３四半期 1,765 36.2 92 400.5 89 409.6 48 235.3",https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260914535894.pdf,94.5,74.0,PRIORITY_1,PRIORITY_1
7050,Ｇ－フロンティアＩ,2026-09-14 16:00:00,30.2,134.4,140.0,132.4,STRONG_GOOD,不明,2027年４月期　第１四半期決算短信〔日本基準〕（連結）,"2027年４月期第１四半期 7,412 30.2 562 134.4 578 140.0 333 132.4",https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260911535269.pdf,92.1,69.2,PRIORITY_2,PRIORITY_2
4053,サンアスタリスク,2026-09-14 15:30:00,25.8,141.8,163.1,128.0,STRONG_GOOD,無,2026年12月期  第２四半期（中間期）決算短信〔日本基準〕（連結）,"2026年12月期中間期 8,881 25.8 1,004 141.8 1,189 163.1 792 128.0",https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260914536025.pdf,90.3,65.6,PRIORITY_2,PRIORITY_2
9240,Ｇ－デリバリコンサル,2026-09-14 15:30:00,3.7,184.0,157.9,238.0,STRONG_GOOD,不明,2026年７月期 決算短信〔日本基準〕（連結）,"2026年７月期 2,841 3.7 147 184.0 155 157.9 118 238.0",https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260914535791.pdf,81.5,48.0,PRIORITY_2,WATCH
3441,山王,2026-09-14 16:00:00,43.4,65.2,63.6,54.3,STRONG_GOOD,不明,2026年７月期 決算短信〔日本基準〕（連結）,"2026年７月期 15,531 43.4 1,315 65.2 1,319 63.6 1,181 54.3",https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260914535513.pdf,74.0,62.2,PRIORITY_2,PRIORITY_2
4431,Ｇ－スマレジ,2026-09-14 16:00:00,19.7,73.3,71.8,77.4,STRONG_GOOD,無,2027年４月期第１四半期決算短信〔日本基準〕(連結),"2027年４月期第１四半期 3,608 19.7 1,027 73.3 1,022 71.8 683 77.4",https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260914535739.pdf,72.4,49.1,PRIORITY_2,PRIORITY_2
9279,ギフトＨＤ,2026-09-14 15:30:00,23.6,56.5,56.4,55.9,STRONG_GOOD,不明,2026年10月期　第３四半期決算短信〔日本基準〕（連結）,"2026年10月期第３四半期 32,270 23.6 3,718 56.5 3,719 56.4 2,457 55.9",https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260911535133.pdf,63.2,44.2,WATCH,WATCH
212A,フィットイージー,2026-09-14 16:00:00,54.4,41.3,42.7,45.7,STRONG_GOOD,無,2026年10月期　第３四半期決算短信〔日本基準〕（非連結）,"2026年10月期第３四半期 10,623 54.4 2,507 41.3 2,535 42.7 1,725 45.7",https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120260914535612.pdf,62.5,55.1,WATCH,PRIORITY_2
