DetectionDate,Code,Name,Rating,ParseStatus,ActualRow,ForecastRow,ActualSales,ActualSalesYoY,ActualOperating,ActualOperatingYoY,ActualOrdinary,ActualOrdinaryYoY,ActualNet,ActualNetYoY,ForecastSales,ForecastSalesGrowth,ForecastOperating,ForecastOperatingGrowth,ForecastOrdinary,ForecastOrdinaryGrowth,ForecastNet,ForecastNetGrowth,MinForecastGrowth4,GrowthStatus,PdfPath
2026-08-14,7375,Ｇ－リファインバスＧ,STRONG_GOOD,OK,"2026年６月期 4,464 9.7 320 75.9 282 86.9 255 74.9","通 期 5,800 29.9 630 96.6 590 108.8 400 56.5 119.45",4464.0,9.7,320.0,75.9,282.0,86.9,255.0,74.9,5800.0,29.9,630.0,96.6,590.0,108.8,400.0,56.5,29.9,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260814\7375.pdf
2026-08-14,7781,平山,STRONG_GOOD,OK,"2026年６月期 37,815 4.4 1,928 51.8 1,984 52.6 1,258 46.7","通 期 39,300 3.9 1,614 △16.3 2,217 11.7 1,604 27.5 104.65",37815.0,4.4,1928.0,51.8,1984.0,52.6,1258.0,46.7,39300.0,3.9,1614.0,-16.3,2217.0,11.7,1604.0,27.5,-16.3,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260814\7781.pdf
2026-08-14,7747,アサヒインテック,STRONG_GOOD,OK,"2026年６月期 145,419 21.2 45,218 50.3 45,185 52.8 32,075 151.8","通 期 161,794 11.3 52,127 15.3 52,600 16.4 37,832 17.9 142.59",145419.0,21.2,45218.0,50.3,45185.0,52.8,32075.0,151.8,161794.0,11.3,52127.0,15.3,52600.0,16.4,37832.0,17.9,11.3,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260814\7747.pdf
2026-08-14,7809,壽屋,STRONG_GOOD,OK,"2026年６月期 16,777 － 764 － 843 － 497 －","通 期 17,000 1.3 800 4.6 740 △12.2 500 0.4 61.88",16777.0,,764.0,,843.0,,497.0,,17000.0,1.3,800.0,4.6,740.0,-12.2,500.0,0.4,-12.2,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260814\7809.pdf
2026-08-14,584A,Ｇ－ＬｉＮＫＸ,STRONG_GOOD,OK,"2026年６月期 1,909 39.0 456 35.7 440 30.8 297 30.7","通期 2,840 48.7 715 56.8 717 63.0 489 64.4 69.83",1909.0,39.0,456.0,35.7,440.0,30.8,297.0,30.7,2840.0,48.7,715.0,56.8,717.0,63.0,489.0,64.4,48.7,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260814\584A.pdf
2026-08-14,3135,マーケットエンター,STRONG_GOOD,OK,"2026年６月期 26,230 5.9 72 △88.4 35 △94.9 △76 －","通 期 26,580 1.3 350 382.3 300 756.3 174 － 32.50",26230.0,5.9,72.0,-88.4,35.0,-94.9,-76.0,,26580.0,1.3,350.0,382.3,300.0,756.3,174.0,,,GROWTH_INCOMPLETE,C:\JapanStockScreener\data\analysis\earnings_pdf\20260814\3135.pdf
2026-08-14,3140,Ｇ－ＢＲＵＮＯ,STRONG_GOOD,OK,"2026年6月期 12,877 △ 11.2 567 28.8 436 32.7 818 324.7","通期 14,100 9.5 960 69.2 840 92.2 710 △ 13.2 49.50",12877.0,-11.2,567.0,28.8,436.0,32.7,818.0,324.7,14100.0,9.5,960.0,69.2,840.0,92.2,710.0,-13.2,-13.2,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260814\3140.pdf
2026-08-14,7812,クレステック,STRONG_GOOD,OK,"2026年６月期 18,273 △2.7 1,342 1.8 1,524 31.6 982 33.3","通期 19,304 5.6 1,509 12.4 1,469 △3.6 933 △5.0 314.77",18273.0,-2.7,1342.0,1.8,1524.0,31.6,982.0,33.3,19304.0,5.6,1509.0,12.4,1469.0,-3.6,933.0,-5.0,-5.0,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260814\7812.pdf
2026-08-14,4068,Ｇ－ベイシス,GOOD,OK,"2026年６月期 8,427 5.5 216 21.5 210 25.4 112 16.7","通期 9,909 17.6 329 52.4 324 53.9 194 72.3 105.57",8427.0,5.5,216.0,21.5,210.0,25.4,112.0,16.7,9909.0,17.6,329.0,52.4,324.0,53.9,194.0,72.3,17.6,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260814\4068.pdf
2026-08-14,5987,オーネックス,GOOD,OK,"2026年6月期 5,294 4.8 371 ― 392 ― 382 ―","通期 5,656 6.8 260 △ 29.9 266 △ 32.1 215 △ 43.8 130.10",5294.0,4.8,371.0,,392.0,,382.0,,5656.0,6.8,260.0,-29.9,266.0,-32.1,215.0,-43.8,-43.8,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260814\5987.pdf
2026-08-14,9628,燦ＨＤ,GOOD,IRREGULAR_PERIOD,,,,,,,,,,,,,,,,,,,,,C:\JapanStockScreener\data\analysis\earnings_pdf\20260814\9628.pdf
2026-08-14,9159,Ｇ－ＷＴＯＫＹＯ,GOOD,OK,"2026年６月期 4,375 11.5 398 13.4 394 15.5 251 45.5","通 期 4,009 △8.4 410 3.0 407 3.3 268 6.8 103.19",4375.0,11.5,398.0,13.4,394.0,15.5,251.0,45.5,4009.0,-8.4,410.0,3.0,407.0,3.3,268.0,6.8,-8.4,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260814\9159.pdf
2026-08-14,7320,Ｇ－Ｓｏｌｖｖｙ,GOOD,OK,"2026年６月期 7,679 14.5 1,860 14.8 2,552 29.1 1,743 －","通期 8,000 4.2 1,900 2.1 2,700 5.8 1,765 1.2 155.58",7679.0,14.5,1860.0,14.8,2552.0,29.1,1743.0,,8000.0,4.2,1900.0,2.1,2700.0,5.8,1765.0,1.2,1.2,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260814\7320.pdf
2026-08-18,6327,北川精機,STRONG_GOOD,OK,"2026年６月期 6,607 6.1 949 52.2 1,031 72.0 750 90.1","通期 10,000 51.3 1,200 26.4 1,180 14.3 810 8.0 99.17",6607.0,6.1,949.0,52.2,1031.0,72.0,750.0,90.1,10000.0,51.3,1200.0,26.4,1180.0,14.3,810.0,8.0,8.0,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260818\6327.pdf
2026-08-18,7532,パンパシフィックＨＤ,GOOD,OK,"2026年6月期 2,445,260 8.8 174,842 7.7 177,509 12.0 110,088 21.6","通期 2,687,000 9.9 179,000 2.4 175,300 △1.2 110,500 0.4 36.61",2445260.0,8.8,174842.0,7.7,177509.0,12.0,110088.0,21.6,2687000.0,9.9,179000.0,2.4,175300.0,-1.2,110500.0,0.4,-1.2,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260818\7532.pdf
2026-08-19,3076,あいＨＤ,STRONG_GOOD,OK,"2026年6月期 85,024 28.4 10,762 21.1 12,535 39.2 11,937 △ 43.7","通期 86,000 1.1 11,000 2.2 11,700 △ 6.7 9,000 △ 24.6 168.94",85024.0,28.4,10762.0,21.1,12535.0,39.2,11937.0,-43.7,86000.0,1.1,11000.0,2.2,11700.0,-6.7,9000.0,-24.6,-24.6,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260819\3076.pdf
2026-09-02,8057,内田洋行,GOOD,OK,"2026年７月期 425,729 26.3 15,631 28.4 16,770 27.8 12,486 27.1","通期 400,000 △6.0 15,000 △4.0 16,000 △4.6 10,500 △15.9 212.89",425729.0,26.3,15631.0,28.4,16770.0,27.8,12486.0,27.1,400000.0,-6.0,15000.0,-4.0,16000.0,-4.6,10500.0,-15.9,-15.9,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260902\8057.pdf
2026-09-07,3854,アイル,GOOD,OK,"2026年７月期 20,889 8.3 5,565 15.5 5,607 17.6 4,175 19.7","通期 22,800 9.1 5,000 △10.2 5,040 △10.1 3,546 △15.1 141.67",20889.0,8.3,5565.0,15.5,5607.0,17.6,4175.0,19.7,22800.0,9.1,5000.0,-10.2,5040.0,-10.1,3546.0,-15.1,-15.1,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260907\3854.pdf
2026-09-10,6778,アルチザ,STRONG_GOOD,OK,"2026年７月期 2,499 △6.8 155 34.0 335 35.8 296 122.8","通期 2,850 14.0 185 19.0 310 △7.6 270 △8.9 31.28",2499.0,-6.8,155.0,34.0,335.0,35.8,296.0,122.8,2850.0,14.0,185.0,19.0,310.0,-7.6,270.0,-8.9,-8.9,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260910\6778.pdf
2026-09-10,4194,ビジョナル,GOOD,OK,"2026年７月期 99,300 23.9 24,563 14.6 26,700 17.5 18,566 16.4","通 期 119,850 20.7 26,600 8.3 27,945 4.7 18,569 0.0 458.64",99300.0,23.9,24563.0,14.6,26700.0,17.5,18566.0,16.4,119850.0,20.7,26600.0,8.3,27945.0,4.7,18569.0,0.0,0.0,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260910\4194.pdf
2026-09-10,350A,Ｇ－デジタルグリッド,GOOD,OK,"2026年７月期 7,113 15.6 3,017 10.0 2,909 11.3 2,037 9.0","通期 7,967 12.0 3,185 4.5 2,865 △5.0 2,394 △17.7 1,673 △17.9 40.02",7113.0,15.6,3017.0,10.0,2909.0,11.3,2037.0,9.0,7967.0,12.0,3185.0,4.5,2865.0,-5.0,2394.0,-17.7,-17.7,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260910\350A.pdf
