DetectionDate,Code,Name_FY,Rating_FY,ParseStatus,ActualRow,ForecastRow,ActualSales,ActualSalesYoY,ActualOperating,ActualOperatingYoY,ActualOrdinary,ActualOrdinaryYoY,ActualNet,ActualNetYoY,ForecastSales,ForecastSalesGrowth,ForecastOperating,ForecastOperatingGrowth,ForecastOrdinary,ForecastOrdinaryGrowth,ForecastNet,ForecastNetGrowth,MinForecastGrowth4,GrowthStatus,PdfPath,Name_BT,Rating_BT,SalesYoY,OperatingYoY,OrdinaryYoY,NetYoY,Revision,BasePrice,翌日寄付,GU率,09:30価格,09:30騰落率,翌日高値,翌日高値率,翌日終値,翌日終値率,CodeKey,RankV1,RankV2,StrengthScore,StrengthScoreV2,Next0930Pct,NextHighPct,NextClosePct
2026-08-14,7375,Ｇ－リファインバスＧ,STRONG_GOOD,OK,"2026年６月期 4,464 9.7 320 75.9 282 86.9 255 74.9","通 期 5,800 29.9 630 96.6 590 108.8 400 56.5 119.45",4464.0,9.7,320.0,75.9,282.0,86.9,255.0,74.9,5800.0,29.9,630.0,96.6,590.0,108.8,400.0,56.5,29.9,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260814\7375.pdf,Ｇ－リファインバスＧ,STRONG_GOOD,9.7,75.9,86.9,74.9,不明,1225.0,1255.0,2.448979591836742,1264.0,3.183673469387749,1333.0,8.81632653061224,1265.0,3.2653061224489743,7375,18,22,71.4,43.4,3.183673469387749,8.81632653061224,3.2653061224489743
2026-08-14,7781,平山,STRONG_GOOD,OK,"2026年６月期 37,815 4.4 1,928 51.8 1,984 52.6 1,258 46.7","通 期 39,300 3.9 1,614 △16.3 2,217 11.7 1,604 27.5 104.65",37815.0,4.4,1928.0,51.8,1984.0,52.6,1258.0,46.7,39300.0,3.9,1614.0,-16.3,2217.0,11.7,1604.0,27.5,-16.3,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260814\7781.pdf,平山,STRONG_GOOD,4.4,51.8,52.6,46.7,不明,830.0,905.0,9.036144578313255,885.0,6.626506024096379,915.0,10.24096385542168,880.0,6.024096385542177,7781,27,42,50.7,26.2,6.626506024096379,10.24096385542168,6.024096385542177
2026-08-14,7747,アサヒインテック,STRONG_GOOD,OK,"2026年６月期 145,419 21.2 45,218 50.3 45,185 52.8 32,075 151.8","通 期 161,794 11.3 52,127 15.3 52,600 16.4 37,832 17.9 142.59",145419.0,21.2,45218.0,50.3,45185.0,52.8,32075.0,151.8,161794.0,11.3,52127.0,15.3,52600.0,16.4,37832.0,17.9,11.3,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260814\7747.pdf,アサヒインテック,STRONG_GOOD,21.2,50.3,52.8,151.8,不明,3874.0,4084.0,5.420753742901385,4044.0,4.388229220443995,4138.0,6.814661848218906,4097.0,5.756324212700048,7747,21,19,69.1,47.4,4.388229220443995,6.814661848218906,5.756324212700048
2026-08-14,7809,壽屋,STRONG_GOOD,OK,"2026年６月期 16,777 － 764 － 843 － 497 －","通 期 17,000 1.3 800 4.6 740 △12.2 500 0.4 61.88",16777.0,,764.0,,843.0,,497.0,,17000.0,1.3,800.0,4.6,740.0,-12.2,500.0,0.4,-12.2,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260814\7809.pdf,壽屋,STRONG_GOOD,6.0,45.0,375.0,4.4,不明,1343.0,1320.0,-1.7125837676842837,1317.0,-1.93596425912137,1324.0,-1.4147431124348464,1319.0,-1.7870439314966458,7809,49,41,34.0,26.4,-1.93596425912137,-1.4147431124348464,-1.7870439314966458
2026-08-14,584A,Ｇ－ＬｉＮＫＸ,STRONG_GOOD,OK,"2026年６月期 1,909 39.0 456 35.7 440 30.8 297 30.7","通期 2,840 48.7 715 56.8 717 63.0 489 64.4 69.83",1909.0,39.0,456.0,35.7,440.0,30.8,297.0,30.7,2840.0,48.7,715.0,56.8,717.0,63.0,489.0,64.4,48.7,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260814\584A.pdf,Ｇ－ＬｉＮＫＸ,STRONG_GOOD,39.0,35.7,30.8,30.7,不明,2770.0,3210.0,15.884476534296033,3270.0,18.05054151624548,3270.0,18.05054151624548,3270.0,18.05054151624548,584A,35,24,47.3,41.6,18.05054151624548,18.05054151624548,18.05054151624548
2026-08-14,3140,Ｇ－ＢＲＵＮＯ,STRONG_GOOD,OK,"2026年6月期 12,877 △ 11.2 567 28.8 436 32.7 818 324.7","通期 14,100 9.5 960 69.2 840 92.2 710 △ 13.2 49.50",12877.0,-11.2,567.0,28.8,436.0,32.7,818.0,324.7,14100.0,9.5,960.0,69.2,840.0,92.2,710.0,-13.2,-13.2,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260814\3140.pdf,Ｇ－ＢＲＵＮＯ,STRONG_GOOD,11.2,28.8,32.7,324.7,不明,1013.0,1020.0,0.6910167818361401,1021.0,0.7897334649555665,1036.0,2.270483711747296,1029.0,1.5794669299111552,3140,33,34,48.3,33.2,0.7897334649555665,2.270483711747296,1.5794669299111552
2026-08-14,7812,クレステック,STRONG_GOOD,OK,"2026年６月期 18,273 △2.7 1,342 1.8 1,524 31.6 982 33.3","通期 19,304 5.6 1,509 12.4 1,469 △3.6 933 △5.0 314.77",18273.0,-2.7,1342.0,1.8,1524.0,31.6,982.0,33.3,19304.0,5.6,1509.0,12.4,1469.0,-3.6,933.0,-5.0,-5.0,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260814\7812.pdf,クレステック,STRONG_GOOD,-2.7,1.8,31.6,33.3,不明,2180.0,2170.0,-0.4587155963302725,2133.0,-2.155963302752295,2170.0,-0.4587155963302725,2138.0,-1.9266055045871533,7812,64,65,14.1,10.0,-2.155963302752295,-0.4587155963302725,-1.9266055045871533
2026-08-14,4068,Ｇ－ベイシス,GOOD,OK,"2026年６月期 8,427 5.5 216 21.5 210 25.4 112 16.7","通期 9,909 17.6 329 52.4 324 53.9 194 72.3 105.57",8427.0,5.5,216.0,21.5,210.0,25.4,112.0,16.7,9909.0,17.6,329.0,52.4,324.0,53.9,194.0,72.3,17.6,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260814\4068.pdf,Ｇ－ベイシス,GOOD,5.5,21.5,25.4,16.7,不明,1759.0,1765.0,0.3411028993746345,1726.0,-1.8760659465605456,1765.0,0.3411028993746345,1679.0,-4.54803865832859,4068,59,61,21.6,13.9,-1.8760659465605456,0.3411028993746345,-4.54803865832859
2026-08-14,5987,オーネックス,GOOD,OK,"2026年6月期 5,294 4.8 371 ― 392 ― 382 ―","通期 5,656 6.8 260 △ 29.9 266 △ 32.1 215 △ 43.8 130.10",5294.0,4.8,371.0,,392.0,,382.0,,5656.0,6.8,260.0,-29.9,266.0,-32.1,215.0,-43.8,-43.8,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260814\5987.pdf,オーネックス,GOOD,6.0,20.0,33.0,0.6,不明,1830.0,1710.0,-6.5573770491803245,1711.0,-6.502732240437159,1750.0,-4.371584699453557,1740.0,-4.918032786885251,5987,65,64,13.4,10.1,-6.502732240437159,-4.371584699453557,-4.918032786885251
2026-08-14,9159,Ｇ－ＷＴＯＫＹＯ,GOOD,OK,"2026年６月期 4,375 11.5 398 13.4 394 15.5 251 45.5","通 期 4,009 △8.4 410 3.0 407 3.3 268 6.8 103.19",4375.0,11.5,398.0,13.4,394.0,15.5,251.0,45.5,4009.0,-8.4,410.0,3.0,407.0,3.3,268.0,6.8,-8.4,OK,C:\JapanStockScreener\data\analysis\earnings_pdf\20260814\9159.pdf,Ｇ－ＷＴＯＫＹＯ,GOOD,11.5,13.4,15.5,45.5,不明,1914.0,1882.0,-1.671891327063746,1863.0,-2.6645768025078342,1882.0,-1.671891327063746,1843.0,-3.709508881922674,9159,57,57,24.8,20.4,-2.6645768025078342,-1.671891327063746,-3.709508881922674
