DetectionDate,Code,Name,Rating,ParseStatus,Quarter,HasEBITDA,ActualOperating,ForecastOperating,OperatingProgress,OperatingProgressExcess,ActualNet,ForecastNet,NetProgress,NetProgressExcess,ActualRow,ForecastRow
2026-08-14,3936,Ｇ－グローバルウェイ,STRONG_GOOD,OK,Q1,False,26.0,125.0,20.8,-4.199999999999999,68.0,123.0,55.28455284552846,30.28455284552846,2027年3月期第1四半期 970 14.7 26 － 84 － 68 －,"通期 4,307 7.3 125 △59.0 124 △60.0 123 △36.0 3.28"
2026-08-14,7031,Ｇ－インバウンド,STRONG_GOOD,NO_PROFIT_FORECAST,Q1,False,,,,,,,,,2027年３月期第１四半期 706 35.3 33 － 32 － 21 －,"通期 6,300 195.3"
2026-08-14,4448,Ｇ－ｋｕｂｅｌｌ,STRONG_GOOD,NO_PROFIT_FORECAST,Q2,False,,,,,,,,,"2026年12月期中間期 5,276 16.4 938 62.2 556 278.7 552 316.6 490 －","通期 10,768"
2026-08-14,8938,Ｇ－グロームＨＤ,STRONG_GOOD,OK,Q1,False,30.0,197.0,15.228426395939088,-9.771573604060912,12.0,186.0,6.451612903225806,-18.548387096774192,2027年３月期第１四半期 458 2.3 30 － 18 － 12 －,"通期 3,166 58.0 197 － 198 － 186 － 20.64"
2026-08-14,3909,ショーケース,STRONG_GOOD,OK,Q1,False,3.0,150.0,2.0,-23.0,8.0,110.0,7.2727272727272725,-17.727272727272727,2027年３月期第１四半期 296 － 3 － 5 － 8 － 45 －,"通期 1,460 － 150 － 150 － 110 － 12.83"
2026-08-14,9248,人・夢・技術Ｇ,STRONG_GOOD,OK,Q3,False,2075.0,2300.0,90.21739130434783,15.217391304347828,1348.0,1236.0,109.06148867313917,34.061488673139166,"2026年９月期第３四半期 31,990 1.6 2,075 189.2 2,235 209.5 1,348 367.7","通期 44,800 △2.6 2,300 △14.3 2,318 △14.4 1,236 △21.0 139.84"
2026-08-14,6820,アイコム,STRONG_GOOD,OK,Q1,False,687.0,3800.0,18.07894736842105,-6.921052631578949,696.0,3100.0,22.451612903225808,-2.548387096774192,"2027年３月期第１四半期 9,638 18.7 687 182.3 967 182.0 696 166.2","通期 37,500 1.5 3,800 30.4 4,290 12.5 3,100 16.3 215.99"
2026-08-14,2215,第一パン,STRONG_GOOD,OK,Q2,False,351.0,370.0,94.86486486486486,44.864864864864856,213.0,180.0,118.33333333333333,68.33333333333333,"2026年12月期中間期 14,969 6.9 351 151.1 354 154.0 213 196.2","通期 32,900 13.6 370 △20.6 310 △30.6 180 △43.9 26.00"
2026-08-14,9087,タカセ,STRONG_GOOD,OK,Q1,False,40.0,370.0,10.81081081081081,-14.18918918918919,36.0,320.0,11.25,-13.75,"2027年３月期第１四半期 2,122 6.8 40 144.1 58 104.5 36 199.1","通期 8,850 4.2 370 74.5 420 71.4 320 101.1 164.42"
2026-08-14,5247,Ｇ－ＢＴＭ,STRONG_GOOD,OK,Q1,False,32.0,124.0,25.806451612903224,0.8064516129032242,14.0,66.0,21.21212121212121,-3.787878787878789,"2027年３月期第１四半期 1,553 15.3 32 136.2 29 141.6 14 97.1","通期 7,001 16.0 124 15.1 118 17.3 66 1.9 23.68"
