DetectionDate,Code,Name,BasePrice,InitialScore,Day1Date,Day1HighPct,Day1LowPct,Day1ClosePct,Day2Date,Day2HighPct,Day2LowPct,Day2ClosePct,Day3Date,Day3HighPct,Day3LowPct,Day3ClosePct,Day4Date,Day4HighPct,Day4LowPct,Day4ClosePct,Day5Date,Day5HighPct,Day5LowPct,Day5ClosePct,Day6Date,Day6HighPct,Day6LowPct,Day6ClosePct,Day7Date,Day7HighPct,Day7LowPct,Day7ClosePct,Day8Date,Day8HighPct,Day8LowPct,Day8ClosePct,Day9Date,Day9HighPct,Day9LowPct,Day9ClosePct,Day10Date,Day10HighPct,Day10LowPct,Day10ClosePct,MaxHigh1Pct,PeakDay1,MinLow1Pct,TroughDay1,MaxHigh3Pct,PeakDay3,MinLow3Pct,TroughDay3,MaxHigh5Pct,PeakDay5,MinLow5Pct,TroughDay5,MaxHigh7Pct,PeakDay7,MinLow7Pct,TroughDay7,MaxHigh10Pct,PeakDay10,MinLow10Pct,TroughDay10,TrackingDay1ClosePct,Day1CloseDiff,TrackingDay2ClosePct,Day2CloseDiff,TrackingDay3ClosePct,Day3CloseDiff,TrackingDay4ClosePct,Day4CloseDiff,TrackingDay5ClosePct,Day5CloseDiff,TrackingDay6ClosePct,Day6CloseDiff,TrackingDay7ClosePct,Day7CloseDiff,TrackingDay8ClosePct,Day8CloseDiff,TrackingDay9ClosePct,Day9CloseDiff,TrackingDay10ClosePct,Day10CloseDiff,Change1,Change5,VolumeRatio,VolumeRatio20,RSI,RSIPenalty,BreakoutSignal,New30High,ChangePoints,VolumePoints,BreakoutPoints,New30HighPoints,RawScoreRebuilt,ScorePattern,OutcomeGroup
2026-08-18,6085,アーキテクツ・スタジオ・ジャパン,87.0,3,2026-08-19,16.09195402298851,-1.1494252873563204,-1.1494252873563204,2026-08-20,14.942528735632177,-4.597701149425292,14.942528735632177,2026-08-21,57.47126436781609,16.09195402298851,40.22988505747127,2026-08-24,97.70114942528735,49.42528735632183,57.47126436781609,2026-08-25,113.79310344827584,73.5632183908046,112.64367816091956,2026-08-26,170.11494252873564,133.33333333333334,170.11494252873564,2026-08-27,225.28735632183907,116.0919540229885,131.0344827586207,2026-08-28,179.31034482758622,142.52873563218392,158.6206896551724,2026-08-31,186.20689655172416,133.33333333333334,140.22988505747125,,,,,16.09195402298851,1.0,-1.1494252873563204,1.0,57.47126436781609,3.0,-4.597701149425292,2.0,113.79310344827584,5.0,-4.597701149425292,2.0,225.28735632183907,7.0,-4.597701149425292,2.0,,,,,-1.15,0.0005747126436794,6.9,8.042528735632176,45.98,-5.750114942528725,93.1,-35.628735632183904,75.86,36.78367816091957,148.28,21.83494252873564,179.31,-48.275517241379305,163.22,-4.599310344827586,141.38,-1.1501149425287451,,,17.5,22.08,1.85,1.76,47.5,0,False,False,3,0,0,0,3,Change1,Success
2026-08-18,3350,メタプラネット,232.0,3,2026-08-19,3.0172413793103425,-6.896551724137934,-6.034482758620685,2026-08-20,12.5,5.603448275862077,9.051724137931028,2026-08-21,33.62068965517242,21.55172413793103,31.89655172413792,2026-08-24,39.22413793103448,25.0,31.46551724137932,2026-08-25,46.98275862068966,28.44827586206897,42.24137931034482,2026-08-26,34.48275862068966,28.87931034482758,33.62068965517242,2026-08-27,33.189655172413794,27.586206896551737,31.034482758620683,2026-08-28,54.74137931034482,37.06896551724137,49.13793103448276,2026-08-31,39.6551724137931,33.189655172413794,34.48275862068966,,,,,3.0172413793103425,1.0,-6.896551724137934,1.0,33.62068965517242,3.0,-6.896551724137934,1.0,46.98275862068966,5.0,-6.896551724137934,1.0,46.98275862068966,5.0,-6.896551724137934,1.0,,,,,-6.47,0.4355172413793147,6.47,2.5817241379310287,27.59,4.306551724137922,28.88,2.5855172413793177,37.07,5.171379310344818,31.03,2.590689655172419,31.47,-0.4355172413793156,42.67,6.46793103448276,35.34,-0.857241379310345,,,5.07,-2.15,1.11,0.98,54.03,0,False,False,3,0,0,0,3,Change1,Success
2026-08-19,264A,Ｓｃｈｏｏ,302.0,3,2026-08-20,27.48344370860927,-0.6622516556291425,15.56291390728477,2026-08-21,13.576158940397342,6.62251655629138,10.264900662251652,2026-08-24,17.549668874172177,2.98013245033113,5.629139072847678,2026-08-25,7.947019867549665,3.31125827814569,5.96026490066226,2026-08-26,7.615894039735105,4.304635761589415,4.635761589403975,2026-08-27,5.96026490066226,2.98013245033113,3.642384105960272,2026-08-28,7.284768211920523,1.986754966887428,2.3178807947019875,2026-08-31,4.304635761589415,2.649006622516548,3.31125827814569,,,,,,,,,27.48344370860927,1.0,-0.6622516556291425,1.0,27.48344370860927,1.0,-0.6622516556291425,1.0,27.48344370860927,1.0,-0.6622516556291425,1.0,27.48344370860927,1.0,-0.6622516556291425,1.0,,,,,-0.66,16.22291390728477,7.95,2.3149006622516515,11.92,-6.290860927152322,5.96,0.0002649006622599,5.63,-0.9942384105960248,3.97,-0.3276158940397278,5.96,-3.642119205298013,2.98,0.3312582781456901,,,,,7.02,-3.79,2.09,2.35,59.51,0,False,False,3,0,0,0,3,Change1,Success
2026-08-19,3672,オルトプラス,29.0,3,2026-08-20,17.24137931034482,-3.4482758620689613,6.896551724137923,2026-08-21,13.793103448275868,-6.896551724137934,0.0,2026-08-24,3.4482758620689724,-6.896551724137934,-3.4482758620689613,2026-08-25,6.896551724137923,-6.896551724137934,0.0,2026-08-26,3.4482758620689724,0.0,3.4482758620689724,2026-08-27,3.4482758620689724,0.0,0.0,2026-08-28,6.896551724137923,-3.4482758620689613,3.4482758620689724,2026-08-31,3.4482758620689724,0.0,3.4482758620689724,,,,,,,,,17.24137931034482,1.0,-3.4482758620689613,1.0,17.24137931034482,1.0,-6.896551724137934,2.0,17.24137931034482,1.0,-6.896551724137934,2.0,17.24137931034482,1.0,-6.896551724137934,2.0,,,,,0.0,6.896551724137923,3.45,-3.45,3.45,-6.898275862068962,-3.45,3.45,3.45,-0.0017241379310277,3.45,-3.45,0.0,3.4482758620689724,0.0,3.4482758620689724,,,,,7.41,11.54,1.99,1.86,62.5,0,False,False,3,0,0,0,3,Change1,Success
2026-08-24,2737,トーメンデバイス,30100.0,3,2026-08-25,7.641196013289031,-1.760797342192688,6.146179401993357,2026-08-26,12.790697674418606,2.8239202657807327,10.299003322259123,2026-08-27,13.289036544850497,5.6478405315614655,6.810631229235886,2026-08-28,9.63455149501662,5.149501661129574,6.146179401993357,2026-08-31,14.617940199335557,4.817275747508298,14.617940199335557,,,,,,,,,,,,,,,,,,,,,7.641196013289031,1.0,-1.760797342192688,1.0,13.289036544850497,3.0,-1.760797342192688,1.0,14.617940199335557,5.0,-1.760797342192688,1.0,,,,,,,,,-1.33,7.476179401993357,3.99,6.309003322259125,10.96,-4.149368770764115,6.31,-0.1638205980066427,7.81,6.807940199335556,,,,,,,,,,,6.35,-7.37,1.12,0.86,58.54,0,False,False,3,0,0,0,3,Change1,Success
2026-08-21,4691,ワシントンホテル,2170.0,3,2026-08-24,7.603686635944706,0.2304147465437722,2.6728110599078425,2026-08-25,10.691244239631326,0.4608294930875667,8.294930875576046,2026-08-26,8.387096774193559,5.898617511520743,6.774193548387086,2026-08-27,8.34101382488479,5.207373271889404,8.34101382488479,2026-08-28,13.22580645161291,8.75576036866359,12.027649769585258,2026-08-31,12.25806451612903,6.774193548387086,7.096774193548394,,,,,,,,,,,,,,,,,7.603686635944706,1.0,0.2304147465437722,1.0,10.691244239631326,2.0,0.2304147465437722,1.0,13.22580645161291,5.0,0.2304147465437722,1.0,,,,,,,,,1.01,1.6628110599078425,3.69,4.604930875576047,6.59,0.1841935483870864,6.96,1.38101382488479,9.31,2.717649769585257,8.89,-1.7932258064516065,,,,,,,,,10.27,2.57,2.29,4.24,56.76,0,False,False,3,0,0,0,3,Change1,Success
2026-08-20,1515,日鉄鉱業,3625.0,3,2026-08-21,1.379310344827589,-3.86206896551724,0.0,2026-08-24,5.79310344827586,0.2758620689655267,5.3793103448275925,2026-08-25,6.344827586206892,1.5172413793103523,2.344827586206888,2026-08-26,12.413793103448278,5.103448275862066,8.6896551724138,2026-08-27,10.068965517241368,6.344827586206892,8.413793103448274,2026-08-28,11.03448275862069,7.172413793103449,9.931034482758626,2026-08-31,6.344827586206892,2.6206896551724146,5.3793103448275925,,,,,,,,,,,,,1.379310344827589,1.0,-3.86206896551724,1.0,6.344827586206892,3.0,-3.86206896551724,1.0,12.413793103448278,4.0,-3.86206896551724,1.0,12.413793103448278,4.0,-3.86206896551724,1.0,,,,,-2.62,2.62,0.28,5.099310344827592,4.97,-2.625172413793112,8.41,0.2796551724138005,8.55,-0.1362068965517266,9.38,0.5510344827586255,4.0,1.3793103448275923,,,,,,,5.86,8.14,1.4,1.23,70.47,0,False,False,3,0,0,0,3,Change1,Success
2026-08-21,5721,エスクリプトエナジー,57.0,3,2026-08-24,8.771929824561408,-5.263157894736848,-3.508771929824561,2026-08-25,8.771929824561408,-3.508771929824561,8.771929824561408,2026-08-26,7.017543859649122,0.0,1.7543859649122862,2026-08-27,1.7543859649122862,-1.7543859649122862,0.0,2026-08-28,10.526315789473696,0.0,5.263157894736836,2026-08-31,10.526315789473696,1.7543859649122862,5.263157894736836,,,,,,,,,,,,,,,,,8.771929824561408,1.0,-5.263157894736848,1.0,8.771929824561408,1.0,-5.263157894736848,1.0,10.526315789473696,5.0,-5.263157894736848,1.0,,,,,,,,,0.0,-3.508771929824561,-1.75,10.521929824561408,3.51,-1.7556140350877136,0.0,0.0,7.02,-1.756842105263163,3.51,1.7531578947368365,,,,,,,,,5.56,-1.72,1.87,3.6,48.48,0,False,False,3,0,0,0,3,Change1,Success
2026-08-20,130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,436.0,3,2026-08-21,5.733944954128445,0.4587155963302836,2.752293577981657,2026-08-24,6.422018348623859,-2.293577981651373,-1.834862385321101,2026-08-25,4.587155963302747,-2.293577981651373,2.981651376146788,2026-08-26,4.357798165137616,-2.522935779816516,-1.3761467889908283,2026-08-27,0.4587155963302836,-2.293577981651373,-2.293577981651373,2026-08-28,0.4587155963302836,-3.899082568807344,-1.3761467889908283,2026-08-31,2.522935779816504,-1.6055045871559592,2.293577981651373,,,,,,,,,,,,,5.733944954128445,1.0,0.4587155963302836,1.0,6.422018348623859,2.0,-2.293577981651373,2.0,6.422018348623859,2.0,-2.522935779816516,4.0,6.422018348623859,2.0,-3.899082568807344,6.0,,,,,2.52,0.232293577981657,5.28,-7.114862385321102,-0.69,3.671651376146788,3.21,-4.5861467889908285,-1.38,-0.9135779816513736,-3.44,2.0638532110091714,-0.46,2.753577981651373,,,,,,,7.23,3.49,2.66,1.94,65.85,0,False,False,3,0,0,0,3,Change1,Middle
2026-08-18,2160,ジーエヌアイグループ,2818.0,3,2026-08-19,3.1937544357700576,-2.0227111426543654,-0.5322924059616763,2026-08-20,6.0326472675656495,2.519517388218584,4.648687012065289,2026-08-21,4.293825408090846,-2.3420865862313733,-1.1355571327182346,2026-08-24,-1.2420156139105742,-6.422995031937539,-4.151880766501059,2026-08-25,-2.66146202980837,-7.948899929027675,-3.26472675656494,2026-08-26,-0.6032647267565694,-3.051809794180272,-2.0227111426543654,2026-08-27,2.3420865862313622,-3.087295954577718,1.8452803406671323,2026-08-28,5.606813342796313,1.9872249822569188,3.619588360539394,2026-08-31,2.200141944641598,-0.1774308019872217,-0.1774308019872217,,,,,3.1937544357700576,1.0,-2.0227111426543654,1.0,6.0326472675656495,2.0,-2.3420865862313733,3.0,6.0326472675656495,2.0,-7.948899929027675,5.0,6.0326472675656495,2.0,-7.948899929027675,5.0,,,,,-0.71,0.1777075940383237,3.55,1.0986870120652892,-1.35,0.2144428672817655,-4.44,0.2881192334989411,-6.78,3.5152732434350606,-2.91,0.8872888573456348,-2.02,3.865280340667133,4.83,-1.210411639460606,1.81,-1.9874308019872216,,,6.77,-2.09,1.15,1.55,65.67,0,False,False,3,0,0,0,3,Change1,Middle
