DetectionDate,Code,Name,TrackingScore,RuleRawScore,RSI,RSIPenalty,RuleScore,ScoreConsistent,ChangePct,VolumeRatio,BreakoutSignal,New30High,Pattern,MaxHigh5Pct,MinLow5Pct,PeakDay5
2026-08-18,150A,ＪＳＨ,5,5,84.38,0,5,True,15.06,1.99,True,True,Change+Breakout+New30High,7.59162303664922,-10.34031413612565,2.0
2026-08-18,195A,ＭＵＳＣＡＴ　ＧＲＯＵＰ,3,3,25.74,0,3,True,8.17,0.77,False,False,Change,2.2950819672131084,-0.6557377049180357,3.0
2026-08-18,2160,ジーエヌアイグループ,3,3,65.67,0,3,True,6.77,1.15,False,False,Change,6.0326472675656495,-7.948899929027675,2.0
2026-08-18,219A,Ｈｅａｒｔｓｅｅｄ,4,4,78.63,0,4,True,6.02,2.03,False,True,Change+New30High,16.171456405260585,-3.263516804676081,5.0
2026-08-18,290A,Ｓｙｎｓｐｅｃｔｉｖｅ,5,1,79.26,0,1,False,2.11,1.08,False,True,New30High,-2.883970489604293,-11.87122736418511,1.0
2026-08-18,2962,テクニスコ,4,4,78.32,0,4,True,22.08,1.26,True,False,Change+Breakout,22.061482820976487,-10.970464135021096,2.0
2026-08-18,302A,ビースタイルホールディングス,7,3,74.77,0,3,False,4.08,4.36,False,True,Volume+New30High,1.384615384615384,-6.923076923076921,1.0
2026-08-18,3054,ハイパー,7,7,65.96,0,7,True,33.2,4.51,True,True,Change+Volume+Breakout+New30High,18.06853582554517,3.738317757009346,2.0
2026-08-18,3187,ミラタップ,5,5,66.96,0,5,True,9.59,2.59,True,True,Change+Breakout+New30High,1.0025062656641603,-11.027568922305765,1.0
2026-08-18,3323,レカム,3,0,67.35,0,0,False,2.25,0.12,False,False,None,-1.0638297872340383,-8.510638297872342,5.0
2026-08-18,3350,メタプラネット,3,3,54.03,0,3,True,5.07,1.11,False,False,Change,46.98275862068966,-6.896551724137934,5.0
2026-08-18,3778,さくらインターネット,5,5,75.93,0,5,True,13.16,2.42,True,True,Change+Breakout+New30High,6.0718711276332105,-15.98513011152416,1.0
2026-08-18,3787,テクノマセマティカル,3,3,72.73,0,3,True,10.62,0.63,False,False,Change,4.100946372239744,-3.154574132492116,1.0
2026-08-18,3810,サイバーステップホールディングス,3,5,91.43,-2,3,True,5.26,2.23,True,True,Change+Breakout+New30High,8.333333333333325,-11.250000000000004,1.0
2026-08-18,3825,リミックスポイント,3,0,66.67,0,0,False,2.39,0.48,False,False,None,12.217194570135748,-5.429864253393668,4.0
2026-08-18,3845,アイフリークモバイル,5,3,76.39,0,3,False,4.17,3.05,False,True,Volume+New30High,11.284046692607008,-5.836575875486383,5.0
2026-08-18,3926,オープンドア,5,5,52.44,0,5,True,6.87,1.69,True,True,Change+Breakout+New30High,1.6666666666666607,-4.047619047619044,5.0
2026-08-18,4011,ヘッドウォータース,5,2,78.93,0,2,False,2.54,1.59,True,True,Breakout+New30High,1.3613861386138515,-9.24092409240924,2.0
2026-08-18,4392,ＦＩＧ,5,5,77.19,0,5,True,7.72,2.22,True,True,Change+Breakout+New30High,8.150943396226417,-26.18867924528302,2.0
2026-08-18,4416,Ｔｒｕｅ　Ｄａｔａ,4,6,55.91,0,6,False,12.44,4.28,False,True,Change+Volume+New30High,-9.090909090909092,-15.367965367965365,1.0
2026-08-18,4424,Ａｍａｚｉａ,5,5,52.09,0,5,True,14.95,4.13,False,False,Change+Volume,8.040201005025116,-19.09547738693468,1.0
2026-08-18,4572,カルナバイオサイエンス,3,7,94.21,-2,5,False,17.49,3.15,True,True,Change+Volume+Breakout+New30High,12.26666666666667,-0.5333333333333301,4.0
2026-08-18,4769,ＩＣ,6,6,65.53,0,6,True,5.01,3.8,True,False,Change+Volume+Breakout,-0.2566295979469668,-3.763900769888795,1.0
2026-08-18,4891,ティムス,5,2,75.0,0,2,False,2.83,1.68,True,True,Breakout+New30High,0.0,-7.14285714285714,1.0
2026-08-18,5010,日本精蝋,4,4,94.59,-2,2,False,2.15,4.34,True,True,Volume+Breakout+New30High,-3.1976744186046457,-13.953488372093029,1.0
2026-08-18,5027,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ,5,5,82.42,0,5,True,6.64,1.53,True,True,Change+Breakout+New30High,9.20881971465628,-5.058365758754868,4.0
2026-08-18,544A,ＧＭＳグループ,5,5,59.55,0,5,True,5.32,0.72,True,True,Change+Breakout+New30High,-0.2659574468085068,-5.053191489361697,1.0
2026-08-18,5801,古河電気工業,5,2,79.73,0,2,False,1.63,1.26,True,True,Breakout+New30High,-10.431184668989546,-21.929442508710807,1.0
2026-08-18,6027,弁護士ドットコム,3,4,80.01,0,4,False,11.31,0.88,False,True,Change+New30High,30.674002751031622,8.665749656121037,4.0
