DetectionDate,TradeDate,Code,Name,Change1,DetectionVolumeVsPre5,NextOpenGapPct,EntryPrice,TakePrice,StopPrice,HitPlus3Time,HitMinus3Time,ExitType,ReturnPct,MaxHighPct,MinLowPct,ClosePct
2026-08-31,2026-09-01,3918,ＰＣＩホールディングス,5.47,3.606811145510836,0.0,1211.0,1247.33,1174.67,,,CLOSE,0.41288191577208977,0.9909165978530199,-0.9083402146985997,0.41288191577208977
2026-08-31,2026-09-01,4228,積水化成品工業,5.46,1.7730288017465785,-0.8090614886731351,616.0,634.48,597.52,13:10,,TAKE,3.0,3.409090909090917,-0.32467532467532756,2.922077922077926
2026-08-31,2026-09-01,6023,ダイハツインフィニアース,5.24,2.335807467386415,0.3210272873194197,3140.0,3234.2000000000003,3045.7999999999997,,10:05,STOP,-3.0,0.31847133757962887,-3.1847133757961776,-0.4777070063694322
2026-08-31,2026-09-01,7715,長野計器,5.49,1.4470211161387632,0.0,4250.0,4377.5,4122.5,,09:20,STOP,-3.0,0.0,-4.0000000000000036,-1.5294117647058791
2026-09-01,2026-09-02,3131,シンデン・ハイテックス,5.37,1.2682379349046016,-2.163833075734156,6220.0,6406.6,6033.4,,,CLOSE,-1.768488745980712,1.6077170418006492,-2.733118971061088,-1.768488745980712
2026-09-01,2026-09-02,4960,ケミプロ化成,5.36,5.411764705882353,0.363636363636366,546.0,562.38,529.62,09:40,,TAKE,3.0,11.721611721611724,-2.7472527472527486,11.172161172161177
2026-09-01,2026-09-02,6310,井関農機,5.27,2.441987740805604,-0.4598875830352567,1960.0,2018.8,1901.2,,10:30,STOP,-3.0,1.989795918367343,-3.826530612244894,0.20408163265306367
2026-09-02,2026-09-03,4052,フィーチャ,5.3,2.6354225050278592,9.037037037037043,715.0,736.45,693.55,09:00,,TAKE,3.0,20.97902097902098,0.0,20.97902097902098
2026-09-02,2026-09-03,5575,Ｇｌｏｂｅｅ,5.3,1.7880258899676376,5.665467625899279,1148.0,1182.44,1113.56,10:45,09:05,STOP,-3.0,3.919860627177707,-3.745644599303133,0.5226480836237002
2026-09-03,2026-09-04,4366,ダイトーケミックス,5.25,3.829578844270323,2.0408163265306145,444.0,457.32,430.68,,,CLOSE,-0.9009009009009028,1.1261261261261257,-1.3513513513513487,-0.9009009009009028
2026-09-04,2026-09-07,285A,キオクシアホールディングス,5.4,1.0116625650617497,6.500183621006239,58000.0,59740.0,56260.0,14:45,,TAKE,3.0,3.086206896551724,-0.603448275862073,2.3965517241379297
2026-09-04,2026-09-07,2991,ランドネット,5.35,2.297535211267605,-1.814882032667875,541.0,557.23,524.77,,,CLOSE,-0.7393715341959317,0.0,-2.0332717190388205,-0.7393715341959317
2026-09-04,2026-09-07,3446,ジェイテックコーポレーション,5.47,1.469945355191257,0.0,1620.0,1668.6000000000001,1571.3999999999999,15:15,,TAKE,3.0,3.3333333333333437,-1.2345679012345734,3.3333333333333437
2026-09-04,2026-09-07,3449,テクノフレックス,5.37,1.1792272379495026,1.6560509554140124,3990.0,4109.7,3870.2999999999997,11:15,,TAKE,3.0,3.884711779448624,-0.3759398496240629,3.2581453634085156
2026-09-04,2026-09-07,4937,Ｗａｑｏｏ,5.21,4.333333333333333,1.4604462474645086,2501.0,2576.03,2425.97,,09:50,STOP,-3.0,0.27988804478209506,-4.638144742103156,-2.239104358256694
2026-09-04,2026-09-07,8704,トレイダーズホールディングス,5.34,2.3730488045840743,0.0,1420.0,1462.6000000000001,1377.3999999999999,,,CLOSE,1.3380281690140938,2.6760563380281654,-0.21126760563380254,1.3380281690140938
