Code,Name,BaseDate,PrevClose,Prev20High,Prev30High,MA5,MA25,Prev5AvgVolume,MorningOpen,MorningHigh,MorningLow,MorningPrice,MorningVolume,MorningChangePct,OpenGapPct,OpenToPricePct,PriceVs20HighPct,PriceVs30HighPct,RoomTo30HighPct,ResistanceGapPct,MorningVolumeVsPrev5,MorningBullish,AbovePrev20High,AbovePrev30High
1301,極洋,2026-09-11,4625.0,4820.0,4820.0,4631.0,4695.6,31820.0,4710.0,4725.0,4705.0,4700.0,25200.0,1.6216216216216273,1.8378378378378413,-0.2123142250530785,-2.4896265560165998,-2.4896265560165998,2.553191489361706,0.0,0.7919547454431175,False,False,False
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,2026-09-11,434.0,464.0,477.0,430.6,428.76,6380.0,425.0,425.0,425.0,425.0,18100.0,-2.073732718894006,-2.073732718894006,0.0,-8.405172413793105,-10.901467505241092,12.235294117647054,2.8017241379310276,2.8369905956112853,False,False,False
1332,ニッスイ,2026-09-11,1170.0,1320.5,1320.5,1189.8,1263.1,1923600.0,1210.0,1212.0,1201.0,1202.5,92000.0,2.777777777777768,3.418803418803429,-0.6198347107438051,-8.936009087466868,-8.936009087466868,9.812889812889814,0.0,0.047826991058432106,False,False,False
1333,Ｕｍｉｏｓ,2026-09-11,1271.5,1320.0,1340.5,1269.1,1289.6,393280.0,1305.0,1309.0,1301.5,1292.0,363700.0,1.6122689736531637,2.6346834447502854,-0.9961685823754785,-2.1212121212121238,-3.618052965311447,3.7538699690402577,1.5530303030303116,0.924786411716843,False,False,False
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,2026-09-11,4395.0,4660.0,4660.0,4457.0,4180.4,111860.0,4325.0,4445.0,4265.0,4430.0,50900.0,0.7963594994311762,-1.5927189988623414,2.4277456647398887,-4.935622317596566,-4.935622317596566,5.191873589164775,0.0,0.45503307706061147,True,False,False
1375,ユキグニファクトリー,2026-09-11,1170.0,1187.0,1197.0,1170.0,1160.72,32300.0,1173.0,1176.0,1173.0,1172.0,30300.0,0.17094017094017033,0.2564102564102555,-0.08525149190110604,-1.263689974726201,-2.088554720133673,2.1331058020477744,0.8424599831508006,0.9380804953560371,False,False,False
1376,カネコ種苗,2026-09-11,1541.0,1664.0,1664.0,1574.6,1611.76,10860.0,1584.0,1588.0,1578.0,1563.0,20000.0,1.4276443867618394,2.7903958468527,-1.3257575757575801,-6.069711538461542,-6.069711538461542,6.461932181701857,0.0,1.8416206261510129,False,False,False
1377,サカタのタネ,2026-09-11,4360.0,4540.0,4540.0,4326.0,4399.8,87440.0,4385.0,4395.0,4380.0,4380.0,72300.0,0.4587155963302836,0.5733944954128489,-0.11402508551880963,-3.524229074889873,-3.524229074889873,3.65296803652968,0.0,0.8268526989935956,False,False,False
1379,ホクト,2026-09-11,2075.0,2182.0,2182.0,2073.2,2075.4,70640.0,2090.0,2098.0,2073.0,2083.0,77200.0,0.3855421686747018,0.7228915662650603,-0.33492822966507685,-4.537121906507791,-4.537121906507791,4.752760441670678,0.0,1.0928652321630805,False,False,False
137A,Ｃｏｃｏｌｉｖｅ,2026-09-11,717.0,765.0,765.0,724.4,711.4,2080.0,712.0,712.0,712.0,712.0,100.0,-0.6973500697350032,-0.6973500697350032,0.0,-6.928104575163396,-6.928104575163396,7.4438202247191,0.0,0.04807692307692308,False,False,False
1380,秋川牧園,2026-09-11,1001.0,1035.0,1035.0,999.2,998.92,520.0,998.0,998.0,998.0,998.0,600.0,-0.29970029970030065,-0.29970029970030065,0.0,-3.5748792270531404,-3.5748792270531404,3.707414829659328,0.0,1.1538461538461537,False,False,False
1381,アクシーズ,2026-09-11,3615.0,3620.0,3620.0,3584.0,3496.4,6520.0,3600.0,3600.0,3600.0,3605.0,2200.0,-0.2766251728907321,-0.4149377593360981,0.1388888888888884,-0.4143646408839796,-0.4143646408839796,0.4160887656033285,0.0,0.3374233128834356,True,False,False
1382,ホーブ,2026-09-11,895.0,900.0,970.0,884.8,883.68,1900.0,890.0,890.0,879.0,887.0,500.0,-0.893854748603351,-0.5586592178770999,-0.3370786516853963,-1.4444444444444482,-8.556701030927838,9.357384441939121,7.777777777777772,0.2631578947368421,False,False,False
1383,ベルグアース,2026-09-11,2992.0,3050.0,3050.0,2988.8,3000.32,1480.0,3005.0,3005.0,3005.0,3005.0,1600.0,0.4344919786096302,0.4344919786096302,0.0,-1.4754098360655776,-1.4754098360655776,1.4975041597337757,0.0,1.0810810810810811,False,False,False
1384,ホクリヨウ,2026-09-11,2161.0,2256.0,2256.0,2192.4,2184.68,12240.0,2153.0,2190.0,2140.0,2185.0,7200.0,1.1105969458583997,-0.3701989819527962,1.4862981885740867,-3.1471631205673756,-3.1471631205673756,3.249427917620129,0.0,0.5882352941176471,True,False,False
138A,光フードサービス,2026-09-11,3090.0,3200.0,3200.0,3104.0,3092.04,1140.0,,,,,,,,,,,,0.0,,False,False,False
1401,エムビーエス,2026-09-11,1314.0,1373.0,1373.0,1318.2,1313.96,2960.0,1305.0,1305.0,1305.0,1308.0,2500.0,-0.45662100456621557,-0.6849315068493178,0.22988505747125743,-4.734158776402042,-4.734158776402042,4.969418960244654,0.0,0.8445945945945946,True,False,False
1407,ウエストホールディングス,2026-09-11,2220.0,2885.0,2885.0,2322.0,2594.8,449100.0,2228.0,2241.0,2218.0,2222.0,20300.0,0.09009009009008917,0.3603603603603567,-0.269299820466784,-22.980935875216634,-22.980935875216634,29.83798379837983,0.0,0.045201514139389894,False,False,False
1414,ショーボンドホールディングス,2026-09-11,1241.0,1294.5,1333.5,1253.4,1269.28,1044700.0,1266.0,1266.5,1263.0,1264.5,893700.0,1.8936341659951728,2.0145044319097583,-0.11848341232227888,-2.3174971031286185,-5.174353205849269,5.456702253855283,3.0127462340671984,0.8554608978654159,False,False,False
1417,ミライト・ワン,2026-09-11,3512.0,3698.0,3698.0,3534.0,3548.28,256820.0,3542.0,3542.0,3521.0,3534.0,156400.0,0.6264236902050024,0.8542141230068356,-0.22586109542631627,-4.434829637641968,-4.434829637641968,4.6406338426711935,0.0,0.6089868390312281,False,False,False
1418,インターライフホールディングス,2026-09-11,576.0,613.0,613.0,580.6,594.48,31400.0,583.0,583.0,583.0,583.0,33100.0,1.215277777777768,1.215277777777768,0.0,-4.893964110929849,-4.893964110929849,5.145797598627788,0.0,1.0541401273885351,False,False,False
1419,タマホーム,2026-09-11,2852.0,3130.0,3130.0,2869.4,2947.2,87960.0,2922.0,2929.0,2922.0,2917.0,106900.0,2.27910238429172,2.4544179523141585,-0.17111567419575424,-6.805111821086262,-6.805111821086262,7.302022625985605,0.0,1.215325147794452,False,False,False
141A,トライアルホールディングス,2026-09-11,3945.0,4290.0,4290.0,4067.0,3866.0,624120.0,3950.0,3975.0,3910.0,3920.0,448700.0,-0.6337135614702172,0.12674271229404788,-0.75949367088608,-8.62470862470862,-8.62470862470862,9.438775510204088,0.0,0.7189322566173172,False,False,False
1420,サンヨーホームズ,2026-09-11,630.0,640.0,646.0,631.2,632.52,11420.0,631.0,632.0,630.0,631.0,14500.0,0.15873015873015817,0.15873015873015817,0.0,-1.4062499999999978,-2.3219814241486114,2.377179080824088,0.9374999999999911,1.2697022767075306,False,False,False
1429,日本アクア,2026-09-11,786.0,818.0,818.0,802.0,796.92,78060.0,790.0,790.0,788.0,794.0,68000.0,1.0178117048346147,0.5089058524172962,0.5063291139240533,-2.933985330073352,-2.933985330073352,3.0226700251889227,0.0,0.8711247758134768,True,False,False
142A,ジンジブ,2026-09-11,829.0,885.0,885.0,830.8,824.08,3440.0,842.0,842.0,842.0,831.0,4200.0,0.24125452352230514,1.5681544028950611,-1.3064133016627122,-6.101694915254241,-6.101694915254241,6.498194945848379,0.0,1.2209302325581395,False,False,False
1430,ファーストコーポレーション,2026-09-11,1019.0,1063.0,1063.0,1021.0,1030.68,13320.0,1016.0,1016.0,1016.0,1021.0,16900.0,0.19627085377822429,-0.2944062806673253,0.49212598425196763,-3.951081843838189,-3.951081843838189,4.113614103819785,0.0,1.2687687687687688,True,False,False
1431,Ｌｉｂ　Ｗｏｒｋ,2026-09-11,650.0,658.0,670.0,653.2,651.08,12120.0,655.0,656.0,655.0,653.0,12200.0,0.4615384615384688,0.7692307692307665,-0.3053435114503844,-0.7598784194528863,-2.5373134328358193,2.6033690658499253,1.823708206686936,1.0066006600660067,False,False,False
1433,ベステラ,2026-09-11,1204.0,1336.0,1336.0,1243.6,1223.08,161520.0,1202.0,1206.0,1164.0,1189.0,188000.0,-1.2458471760797396,-0.16611295681062677,-1.0815307820299491,-11.002994011976053,-11.002994011976053,12.36333052985703,0.0,1.1639425458147599,False,False,False
