DetectionDate,Code,Name,InitialScore,Change5,VolumeRatio20,Day1,Day2,Drop,Day2Band,BuyReason,StoredDay2Price,YahooDay2Price,StoredVsYahooDay2Pct,Day3Date,Day3Price,D2toD3,Day5Date,Day5Price,D2toD5
2026-08-28,7743,シード,4,18.47,1.21,24.88,24.72,-0.16,>=10%,Drop>=-3.5,792.0,792.0,0.0,2026-09-02,792.0,0.0,,,
2026-08-28,4420,イーソル,4,11.11,1.18,19.87,16.67,-3.2,>=10%,Drop>=-3.5,910.0,910.0,0.0,2026-09-02,829.0,-8.9,,,
2026-08-28,5283,高見澤,4,2.89,7.75,-1.25,-0.16,1.09,<0%,Drop>=-3.5,3195.0,3195.0,0.0,2026-09-02,3185.0,-0.31,,,
2026-08-28,7709,クボテック,3,63.16,1.1,1.61,9.68,8.07,5-10%,Drop>=-3.5,68.0,68.0,0.0,2026-09-02,68.0,0.0,,,
2026-08-28,9212,Ｇｒｅｅｎ　Ｅａｒｔｈ　Ｉｎｓｔｉｔｕｔｅ,3,3.33,2.13,-1.43,-1.43,0.0,<0%,Drop>=-3.5,275.0,275.0,0.0,2026-09-02,268.0,-2.55,,,
2026-08-28,3077,ホリイフードサービス,4,19.98,1.73,0.33,3.92,3.59,0-5%,Drop>=-3.5,1273.0,1273.0,0.0,2026-09-02,1253.0,-1.57,,,
2026-08-28,5033,ヌーラボ,4,10.26,5.62,0.63,12.47,11.84,>=10%,Drop>=-3.5,1064.0,1064.0,0.0,2026-09-02,1006.0,-5.45,,,
2026-08-28,3350,メタプラネット,4,10.13,1.63,-7.42,-3.26,4.16,<0%,Drop>=-3.5,326.0,326.0,0.0,2026-09-02,300.0,-7.98,,,
2026-08-28,2961,日本調理機,4,9.91,7.64,1.45,2.46,1.01,0-5%,Drop>=-3.5,1625.0,1625.0,0.0,2026-09-02,1625.0,0.0,,,
2026-08-28,9087,タカセ,4,6.31,1.85,0.46,2.74,2.28,0-5%,Drop>=-3.5,2250.0,2250.0,0.0,2026-09-02,2129.0,-5.38,,,
