DetectionDate,Code,Name,BasePrice,Day1Date,OldDay1Price,CorrectDay1Price,OldDay1,CorrectDay1,Day1PriceChanged,Day2Date,OldDay2Price,CorrectDay2Price,OldDay2,CorrectDay2,Day2PriceChanged,OldDrop,CorrectDrop,Change5,VolumeRatio20,OldDecision,OldReason,CorrectDecision,CorrectReason,DecisionChanged
2026-08-27,4414,フレクト,1257.0,2026-08-28,1161.0,1161.0,-7.64,-7.64,False,2026-08-31,1187.0,1187.0,-5.57,-5.57,False,2.07,2.07,20.4,4.55,買い,Drop>=-3.5,買い,Drop>=-3.5,False
2026-08-27,7743,シード,635.0,2026-08-28,735.0,735.0,15.75,15.75,False,2026-08-31,793.0,793.0,24.88,24.88,False,9.13,9.13,18.47,1.21,買い,Drop>=-3.5,買い,Drop>=-3.5,False
2026-08-27,4107,伊勢化学工業,4385.0,2026-08-28,4340.0,4340.0,-1.03,-1.03,False,2026-08-31,4355.0,4355.0,-0.68,-0.68,False,0.35,0.35,14.49,2.79,買い,Drop>=-3.5,買い,Drop>=-3.5,False
2026-08-27,3647,アスリナ,135.0,2026-08-28,133.0,133.0,-1.48,-1.48,False,2026-08-31,124.0,124.0,-8.15,-8.15,False,-6.67,-6.67,14.41,7.92,見送り,Drop<-5.0,見送り,Drop<-5.0,False
2026-08-27,3692,ＦＦＲＩセキュリティ,5610.0,2026-08-28,5710.0,5710.0,1.78,1.78,False,2026-08-31,5630.0,5630.0,0.36,0.36,False,-1.42,-1.42,14.37,2.25,買い,Drop>=-3.5,買い,Drop>=-3.5,False
2026-08-27,4113,田岡化学工業,835.0,2026-08-28,826.0,826.0,-1.08,-1.08,False,2026-08-31,798.0,798.0,-4.43,-4.43,False,-3.35,-3.35,12.69,3.95,買い,Drop>=-3.5,買い,Drop>=-3.5,False
2026-08-27,9425,ＲｅＹｕｕ　Ｊａｐａｎ,254.0,2026-08-28,250.0,250.0,-1.57,-1.57,False,2026-08-31,303.0,303.0,19.29,19.29,False,20.86,20.86,9.01,4.4,買い,Drop>=-3.5,買い,Drop>=-3.5,False
2026-08-27,4055,ティアンドエスグループ,1698.0,2026-08-28,1647.0,1647.0,-3.0,-3.0,False,2026-08-31,1725.0,1725.0,1.59,1.59,False,4.59,4.59,6.86,2.08,買い,Drop>=-3.5,買い,Drop>=-3.5,False
2026-08-27,336A,ダイナミックマッププラットフォーム,901.0,2026-08-28,1051.0,1051.0,16.65,16.65,False,2026-08-31,1351.0,1351.0,49.94,49.94,False,33.29,33.29,6.25,1.65,買い,Drop>=-3.5,買い,Drop>=-3.5,False
2026-08-27,277A,グロービング,1922.0,2026-08-28,1947.0,1947.0,1.3,1.3,False,2026-08-31,1953.0,1953.0,1.61,1.61,False,0.31,0.31,3.44,1.81,買い,Drop>=-3.5,買い,Drop>=-3.5,False
2026-08-27,5283,高見澤,3200.0,2026-08-28,3220.0,3220.0,0.63,0.63,False,2026-08-31,3160.0,3160.0,-1.25,-1.25,False,-1.88,-1.88,2.89,7.75,買い,Drop>=-3.5,買い,Drop>=-3.5,False
