TriggerDate,Code,Name,TriggerTime,Market,PrevClose,Open,High,Low,Close,DayChangePct,LowPct,LowToClosePct,NextDate,NextOpenPct,NextHighPct,NextClosePct,Day2Date,Day2HighPct,Day2ClosePct,Day3Date,Day3HighPct,Day3ClosePct
2026-09-11,1758,太洋基礎工業,9:18:47,東京,2551.0,2400.0,2400.0,2257.0,2370.0,-7.1,-11.52,5.01,,,,,,,,,,
2026-09-11,2321,ソフトフロントホールディングス,9:09:00,東京,197.0,178.0,183.0,156.0,161.0,-18.27,-20.81,3.21,,,,,,,,,,
2026-09-11,2375,ギグワークス,9:12:00,東京,234.0,200.0,206.0,196.0,201.0,-14.1,-16.24,2.55,,,,,,,,,,
2026-09-11,3070,ジェリービーンズグループ,9:03:00,東京,69.0,61.0,63.0,60.0,60.0,-13.04,-13.04,0.0,,,,,,,,,,
2026-09-11,3653,モルフォ,10:52:41,東京,1490.0,1460.0,1580.0,1267.0,1289.0,-13.49,-14.97,1.74,,,,,,,,,,
2026-09-11,3856,Ａｂａｌａｎｃｅ,13:39:52,東京,259.0,251.0,258.0,229.0,230.0,-11.2,-11.58,0.44,,,,,,,,,,
2026-09-11,3903,ｇｕｍｉ,15:03:15,東京,267.0,265.0,265.0,210.0,216.0,-19.1,-21.35,2.86,,,,,,,,,,
2026-09-11,4004,レゾナック・ホールディングス,11:27:53,東京,16005.0,15000.0,15180.0,14040.0,14295.0,-10.68,-12.28,1.82,,,,,,,,,,
2026-09-11,4052,フィーチャ,12:53:13,東京,1340.0,1490.0,1620.0,1061.0,1118.0,-16.57,-20.82,5.37,,,,,,,,,,
2026-09-11,4422,ＶＡＬＵＥＮＥＸ,9:15:00,東京,575.0,518.0,518.0,477.0,492.0,-14.43,-17.04,3.14,,,,,,,,,,
2026-09-11,4498,サイバートラスト,9:59:02,東京,1229.0,1169.0,1169.0,1030.0,1047.0,-14.81,-16.19,1.65,,,,,,,,,,
2026-09-11,4599,ステムリム,9:10:23,東京,239.0,207.0,210.0,177.0,180.0,-24.69,-25.94,1.69,,,,,,,,,,
2026-09-11,4883,モダリス,9:22:40,東京,43.0,48.0,50.0,36.0,36.0,-16.28,-16.28,0.0,,,,,,,,,,
2026-09-11,4996,クミアイ化学工業,15:07:03,東京,759.0,751.0,760.0,654.0,663.0,-12.65,-13.83,1.38,,,,,,,,,,
2026-09-11,6085,アーキテクツ・スタジオ・ジャパン,9:14:01,東京,167.0,160.0,162.0,145.0,156.0,-6.59,-13.17,7.59,,,,,,,,,,
2026-09-11,6336,石井表記,14:11:17,東京,1913.0,1886.0,1997.0,1542.0,1560.0,-18.45,-19.39,1.17,,,,,,,,,,
2026-09-11,6577,ベストワンドットコム,9:12:21,東京,1572.0,1462.0,1462.0,1377.0,1413.0,-10.11,-12.4,2.61,,,,,,,,,,
2026-09-11,6619,ダブル・スコープ,9:07:08,東京,163.0,150.0,153.0,146.0,149.0,-8.59,-10.43,2.05,,,,,,,,,,
2026-09-11,6871,日本マイクロニクス,12:32:28,東京,13620.0,12720.0,12800.0,12200.0,12680.0,-6.9,-10.43,3.93,,,,,,,,,,
2026-09-11,6962,大真空,9:19:26,東京,804.0,774.0,789.0,715.0,757.0,-5.85,-11.07,5.87,,,,,,,,,,
2026-09-11,7322,三十三フィナンシャルグループ,9:09:10,東京,2166.0,1995.0,2041.0,1893.0,2033.0,-6.14,-12.6,7.4,,,,,,,,,,
2026-09-11,7689,コパ・コーポレーション,13:16:39,東京,399.0,391.0,399.0,334.0,342.0,-14.29,-16.29,2.4,,,,,,,,,,
2026-09-11,7709,クボテック,15:03:50,東京,72.0,83.0,95.0,63.0,67.0,-6.94,-12.5,6.35,,,,,,,,,,
2026-09-11,9556,ＩＮＴＬＯＯＰ,12:53:27,東京,2545.0,2501.0,2574.0,2045.0,2045.0,-19.65,-19.65,0.0,,,,,,,,,,
2026-09-11,215A,タイミー,9:21:00,東京,1559.0,1308.0,1355.0,1266.0,1300.0,-16.61,-18.79,2.69,,,,,,,,,,
2026-09-11,336A,ダイナミックマッププラットフォーム,12:43:47,東京,1599.0,1559.0,1592.0,1400.0,1403.0,-12.26,-12.45,0.21,,,,,,,,,,
2026-09-11,350A,デジタルグリッド,9:21:28,東京,814.0,694.0,719.0,675.0,711.0,-12.65,-17.08,5.33,,,,,,,,,,
2026-09-11,520A,ジェイファーマ,9:12:20,東京,515.0,491.0,491.0,448.0,467.0,-9.32,-13.01,4.24,,,,,,,,,,
