SourceMonth,TriggerDate,Code,Name,NextDate,NextOpenPct,Open5m,LowTo0930Time,LowTo0930FromOpenPct,Price0930,ReboundLowTo0930Pct,Price0930FromOpenPct,MinutesSinceLow,After0930HighPct,After0930LowPct,After0930ClosePct,Entry0930,TP3_SL3,TP5_SL3,TP3_SL5,TP5_SL5,TP3_SL3_ReturnPct,TP5_SL3_ReturnPct,TP3_SL5_ReturnPct,TP5_SL5_ReturnPct
202607,2026-07-14,3907,シリコンスタジオ,2026-07-15,-5.3,715.0,09:05,-4.2,704.0,2.77,-1.54,20,3.55,-1.13,2.7,705.0,TP,NONE,TP,NONE,3.0,2.7,3.0,2.7
202607,2026-07-15,3810,サイバーステップホールディングス,2026-07-16,-20.53,151.0,09:20,0.0,168.0,11.26,11.26,5,5.36,-4.76,-1.19,168.0,SL,SL,TP,TP,-3.0,-3.0,3.0,5.0
202607,2026-07-16,285A,キオクシアホールディングス,2026-07-17,-10.0,55900.0,09:25,-6.76,52330.0,0.4,-6.39,0,6.06,-0.4,-0.4,52320.0,TP,TP,TP,TP,3.0,5.0,3.0,5.0
202607,2026-07-16,3449,テクノフレックス,2026-07-17,-11.34,4770.0,09:25,-6.08,4510.0,0.67,-5.45,0,9.44,-1.22,9.0,4500.0,TP,TP,TP,TP,3.0,5.0,3.0,5.0
202607,2026-07-16,4381,ビープラッツ,2026-07-17,-5.17,550.0,09:10,-8.18,520.0,2.97,-5.45,15,8.65,-5.0,2.69,520.0,SL,SL,SL,SL,-3.0,-3.0,-5.0,-5.0
202607,2026-07-16,6327,北川精機,2026-07-17,-10.72,4080.0,09:25,-3.19,3970.0,0.51,-2.7,0,5.3,-2.27,0.51,3960.0,TP,TP,TP,TP,3.0,5.0,3.0,5.0
202607,2026-07-16,6522,アスタリスク,2026-07-17,-6.0,1409.0,09:25,-5.61,1364.0,2.56,-3.19,0,1.9,-5.7,-1.68,1369.0,SL,SL,SL,SL,-3.0,-3.0,-5.0,-5.0
202607,2026-07-16,6613,ＱＤレーザ,2026-07-17,-16.49,1620.0,09:20,-1.23,1740.0,8.75,7.41,5,1.67,-7.02,1.67,1737.0,SL,SL,SL,SL,-3.0,-3.0,-5.0,-5.0
202607,2026-07-17,280A,ＴＭＨ,2026-07-21,-8.43,1010.0,09:10,-4.46,976.0,1.14,-3.37,15,4.3,-0.2,1.43,977.0,TP,NONE,TP,NONE,3.0,1.43,3.0,1.43
202607,2026-07-17,4381,ビープラッツ,2026-07-21,-8.56,470.0,09:25,-11.91,415.0,0.24,-11.7,0,9.11,-0.72,-0.72,417.0,TP,TP,TP,TP,3.0,5.0,3.0,5.0
