コード,銘柄名,市場,終値,前日終値,前日比,前日比%,値動き評価,連続上昇日数,出来高増加日数,30日高値,30日高値までの距離%,株価位置,5日線,25日線,75日線,出来高,出来高倍率,株価上昇,5日線上,25日線上,75日線上,短期トレンド,中期トレンド,長期トレンド,MACD GC,30日高値更新,注目ポイント,強気度,監視ランク,総合判定,買い候補理由,分析コメント
1301,極洋,プライム（内国株式）,4480.0,4510.0,-30.0,-0.67,下落,0,0,4715.0,5.25,上昇中,4567.0,4505.8,4466.07,89800,1.19,,,,○,弱い,弱い,強い,,,75日線上 / 下落,2,C,様子見,Cランク / 強気度2点 / 短期弱い / 中期弱い / 長期強い / 上昇中,Cランク / 強気度2点 / 短期弱い / 中期弱い / 長期強い / 前日比-0.67% / 下落 / 上昇中 / 様子見
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース（内国株式）,415.0,402.0,13.0,3.23,急上昇,1,0,477.0,14.94,上昇中,408.0,420.72,429.4,21900,0.26,○,○,,,強い,弱い,弱い,,,株価上昇 / 5日線上 / 急上昇 / 1日連続上昇,2,C,様子見,Cランク / 強気度2点 / 短期強い / 中期弱い / 長期弱い / 1日連続上昇 / 上昇中,Cランク / 強気度2点 / 短期強い / 中期弱い / 長期弱い / 前日比3.23% / 急上昇 / 1日連続上昇 / 上昇中 / 様子見
1332,ニッスイ,プライム（内国株式）,1223.5,1248.5,-25.0,-2.0,下落,0,0,1346.0,10.01,上昇中,1274.0,1274.84,1275.38,1188900,0.7,,,,,弱い,弱い,弱い,,,下落,0,C,様子見,Cランク / 強気度0点 / 短期弱い / 中期弱い / 長期弱い / 上昇中,Cランク / 強気度0点 / 短期弱い / 中期弱い / 長期弱い / 前日比-2.0% / 下落 / 上昇中 / 様子見
1333,Ｕｍｉｏｓ,プライム（内国株式）,1284.0,1309.0,-25.0,-1.91,下落,0,1,1378.5,7.36,上昇中,1327.2,1320.4,1301.64,633800,1.11,,,,,弱い,弱い,弱い,,,下落,0,C,様子見,Cランク / 強気度0点 / 短期弱い / 中期弱い / 長期弱い / 上昇中,Cランク / 強気度0点 / 短期弱い / 中期弱い / 長期弱い / 前日比-1.91% / 下落 / 上昇中 / 様子見
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,3770.0,3715.0,55.0,1.48,上昇,5,1,4590.0,21.75,上昇余地あり,3666.0,3976.6,3921.87,28800,0.65,○,○,,,強い,弱い,弱い,,,株価上昇 / 5日線上 / 上昇 / 5日連続上昇,2,C,様子見,Cランク / 強気度2点 / 短期強い / 中期弱い / 長期弱い / 5日連続上昇 / 上昇余地あり,Cランク / 強気度2点 / 短期強い / 中期弱い / 長期弱い / 前日比1.48% / 上昇 / 5日連続上昇 / 上昇余地あり / 様子見
1375,ユキグニファクトリー,プライム（内国株式）,1140.0,1154.0,-14.0,-1.21,下落,0,0,1204.0,5.61,上昇中,1172.6,1158.92,1099.15,36900,0.53,,,,○,弱い,弱い,強い,,,75日線上 / 下落,2,C,様子見,Cランク / 強気度2点 / 短期弱い / 中期弱い / 長期強い / 上昇中,Cランク / 強気度2点 / 短期弱い / 中期弱い / 長期強い / 前日比-1.21% / 下落 / 上昇中 / 様子見
1376,カネコ種苗,スタンダード（内国株式）,1517.0,1522.0,-5.0,-0.33,横ばい,0,0,1576.0,3.89,高値圏,1538.0,1510.04,1439.52,15000,0.83,,,○,○,弱い,強い,強い,,,25日線上 / 75日線上 / 横ばい,4,C,様子見,Cランク / 強気度4点 / 短期弱い / 中期強い / 長期強い / 高値圏,Cランク / 強気度4点 / 短期弱い / 中期強い / 長期強い / 前日比-0.33% / 横ばい / 高値圏 / 様子見
1377,サカタのタネ,プライム（内国株式）,4275.0,4330.0,-55.0,-1.27,下落,0,0,4715.0,10.29,上昇中,4376.0,4331.0,4197.72,101300,0.65,,,,○,弱い,弱い,強い,,,75日線上 / 下落,2,C,様子見,Cランク / 強気度2点 / 短期弱い / 中期弱い / 長期強い / 上昇中,Cランク / 強気度2点 / 短期弱い / 中期弱い / 長期強い / 前日比-1.27% / 下落 / 上昇中 / 様子見
1379,ホクト,プライム（内国株式）,1875.0,1910.0,-35.0,-1.83,下落,0,2,2016.0,7.52,上昇中,1946.8,1918.72,1879.24,103300,0.9,,,,,弱い,弱い,弱い,,,下落,0,C,様子見,Cランク / 強気度0点 / 短期弱い / 中期弱い / 長期弱い / 上昇中,Cランク / 強気度0点 / 短期弱い / 中期弱い / 長期弱い / 前日比-1.83% / 下落 / 上昇中 / 様子見
137A,Ｃｏｃｏｌｉｖｅ,グロース（内国株式）,701.0,699.0,2.0,0.29,横ばい,4,0,851.0,21.4,上昇余地あり,688.2,747.48,704.6,1000,0.21,○,○,,,強い,弱い,弱い,,,株価上昇 / 5日線上 / 横ばい / 4日連続上昇,2,C,様子見,Cランク / 強気度2点 / 短期強い / 中期弱い / 長期弱い / 4日連続上昇 / 上昇余地あり,Cランク / 強気度2点 / 短期強い / 中期弱い / 長期弱い / 前日比0.29% / 横ばい / 4日連続上昇 / 上昇余地あり / 様子見
1380,秋川牧園,スタンダード（内国株式）,994.0,999.0,-5.0,-0.5,横ばい,0,0,1025.0,3.12,高値圏,998.8,1001.92,1006.25,1900,1.64,,,,,弱い,弱い,弱い,,,横ばい,0,C,様子見,Cランク / 強気度0点 / 短期弱い / 中期弱い / 長期弱い / 高値圏,Cランク / 強気度0点 / 短期弱い / 中期弱い / 長期弱い / 前日比-0.5% / 横ばい / 高値圏 / 様子見
1381,アクシーズ,スタンダード（内国株式）,3450.0,3470.0,-20.0,-0.58,下落,0,0,3625.82,5.1,上昇中,3453.0,3500.0,3643.68,1400,0.53,,,,,弱い,弱い,弱い,,,下落,0,C,様子見,Cランク / 強気度0点 / 短期弱い / 中期弱い / 長期弱い / 上昇中,Cランク / 強気度0点 / 短期弱い / 中期弱い / 長期弱い / 前日比-0.58% / 下落 / 上昇中 / 様子見
1382,ホーブ,スタンダード（内国株式）,941.0,940.0,1.0,0.11,横ばい,1,0,1461.79,55.34,上昇余地あり,909.8,1059.76,1348.81,900,0.14,○,○,,,強い,弱い,弱い,,,株価上昇 / 5日線上 / 横ばい / 1日連続上昇,2,C,様子見,Cランク / 強気度2点 / 短期強い / 中期弱い / 長期弱い / 1日連続上昇 / 上昇余地あり,Cランク / 強気度2点 / 短期強い / 中期弱い / 長期弱い / 前日比0.11% / 横ばい / 1日連続上昇 / 上昇余地あり / 様子見
1383,ベルグアース,スタンダード（内国株式）,3015.0,3020.0,-5.0,-0.17,横ばい,0,0,3045.0,1.0,高値圏,3022.0,2951.08,2949.21,300,0.26,,,○,○,弱い,強い,強い,,,25日線上 / 75日線上 / 横ばい,4,C,様子見,Cランク / 強気度4点 / 短期弱い / 中期強い / 長期強い / 高値圏,Cランク / 強気度4点 / 短期弱い / 中期強い / 長期強い / 前日比-0.17% / 横ばい / 高値圏 / 様子見
