コード,銘柄名,市場,終値,前日比,5日騰落率,20日騰落率,RSI,ATR,初動スコア,分析コメント,InitialMoveSignal,PullbackSignal,BreakoutSignal,BreakoutFirstDay,MACD_GC,New30High,NewYearHigh,VolumeRatio,VolumeRatio20,VolumeIncreaseDays,AboveMA5,AboveMA25,AboveMA75,TrendEvaluation,MAAlignment,RSI_Strong,ConsecutiveUpDays,MA25Deviation,信用情報日付,売残,買残,売残前週比,買残前週比,信用倍率,信用条件,_data_date,_data_time,_indicator_time,_judge_time
3994,マネーフォワード,プライム（内国株式）,6479.0,10.3,21.28,30.52,67.39,376.93,12,初動スコア12点 / 出来高2.2倍 / 当日+10.3% / 5日線上 / 30日高値更新 / ブレイクアウト / 5日+21.3% / 20日+30.5% / 信用倍率1倍未満,False,False,True,True,False,True,False,2.23,2.19,1,True,True,True,強い上昇,上昇配列,True,3,20.53,2026-08-07,928400,137500,2.03,11.97,0.15,該当,2026-08-14,0.4315617084503174,0.2758033275604248,3.0040740966796875e-05
7936,アシックス,プライム（内国株式）,5393.0,2.12,8.36,8.38,64.15,196.07,11,初動スコア11点 / 出来高2.0倍 / 当日+2.1% / 5日線上 / 初動シグナル / 30日高値更新 / ブレイクアウト / 5日+8.4% / 信用倍率1倍未満,True,False,True,False,False,True,False,2.0,4.7,6,True,True,True,強い上昇,上昇配列,True,2,10.3,2026-08-07,553900,491000,-0.52,-2.09,0.89,,2026-08-17,0.8600544929504395,0.784048318862915,0.0002682209014892578
3983,オロ,プライム（内国株式）,2283.0,1.92,2.88,3.91,72.18,40.43,11,初動スコア11点 / 出来高2.1倍 / 当日+1.9% / 5日線上 / 初動シグナル / 押し目判定 / MACD GC / 30日高値更新 / ブレイクアウト / 信用倍率1倍未満,True,True,True,True,True,True,False,2.12,2.23,1,True,True,True,強い上昇,上昇配列,False,1,3.69,2026-08-07,28000,21200,-10.54,0.95,0.76,,2026-08-14,0.36623191833496094,0.2468264102935791,2.8371810913085938e-05
4574,大幸薬品,プライム（内国株式）,266.0,3.91,7.26,-3.62,56.9,7.57,11,初動スコア11点 / 出来高2.5倍 / 当日+3.9% / 5日線上 / 5日+7.3% / 信用倍率2倍未満,False,False,False,False,False,False,False,2.48,2.82,3,True,True,False,中立,下降配列,True,6,2.13,2026-08-07,615800,662900,54.88,-1.22,1.08,,2026-08-14,0.4406702518463135,0.24623656272888184,2.8848648071289062e-05
6027,弁護士ドットコム,プライム（内国株式）,3750.0,19.05,59.03,56.84,92.77,170.79,11,初動スコア11点 / 出来高2.1倍 / 当日+19.1% / 5日線上 / 30日高値更新 / ブレイクアウト / 5日+59.0% / 20日+56.8% / 信用倍率2倍未満,False,False,True,False,False,True,False,2.09,5.98,6,True,True,True,強い上昇,上昇配列,False,5,54.03,2026-08-07,349800,422700,-2.97,-4.15,1.21,,2026-08-14,0.24738669395446777,0.2570981979370117,2.9325485229492188e-05
3710,ジョルダン,スタンダード（内国株式）,661.0,6.44,7.31,6.61,76.32,9.14,11,初動スコア11点 / 出来高4.3倍 / 当日+6.4% / 5日線上 / 初動シグナル / MACD GC / 30日高値更新 / ブレイクアウト / 5日+7.3% / 信用倍率2倍未満,True,False,True,True,True,True,False,4.33,14.66,2,True,True,True,強い上昇,上昇配列,False,3,6.61,2026-08-07,20400,28000,0.49,6.87,1.37,,2026-08-14,0.38194799423217773,0.22892975807189941,2.9802322387695312e-05
6592,マブチモーター,プライム（内国株式）,1797.0,3.16,9.01,11.17,65.22,42.57,10,初動スコア10点 / 出来高1.7倍 / 当日+3.2% / 5日線上 / 初動シグナル / 30日高値更新 / ブレイクアウト / 5日+9.0% / 20日+11.2% / 信用倍率2倍未満,True,False,True,False,False,True,False,1.71,2.57,6,True,True,True,強い上昇,上昇配列,True,5,8.71,2026-08-07,153300,249000,-6.35,-1.35,1.62,,2026-08-17,1.1264324188232422,1.1320831775665283,0.000171661376953125
3176,三洋貿易,プライム（内国株式）,1170.0,4.0,15.16,41.65,88.32,46.79,10,初動スコア10点 / 当日+4.0% / 5日線上 / 30日高値更新 / ブレイクアウト / 5日+15.2% / 20日+41.6% / 信用倍率1倍未満,False,False,True,False,False,True,False,1.21,1.83,2,True,True,True,強い上昇,上昇配列,False,2,28.12,2026-08-07,598000,586700,4722.58,1.45,0.98,該当,2026-08-14,0.7722737789154053,0.34239745140075684,8.034706115722656e-05
2910,ロック・フィールド,プライム（内国株式）,1415.0,1.58,4.74,4.74,62.78,24.21,10,初動スコア10点 / 出来高1.8倍 / 当日+1.6% / 5日線上 / 初動シグナル / MACD GC / 信用倍率1倍未満,True,False,False,False,True,False,False,1.83,1.94,3,True,True,True,強い上昇,上昇配列,True,3,3.64,2026-08-07,218000,47100,-3.41,2.17,0.22,,2026-08-14,0.964169979095459,0.2856471538543701,7.414817810058594e-05
7762,シチズン時計,プライム（内国株式）,2751.0,3.0,11.92,18.63,75.51,116.21,10,初動スコア10点 / 出来高1.5倍 / 当日+3.0% / 5日線上 / 30日高値更新 / ブレイクアウト / 5日+11.9% / 20日+18.6% / 信用倍率2倍未満,False,False,True,False,False,True,False,1.53,1.95,2,True,True,True,強い上昇,上昇配列,False,4,18.96,2026-08-07,112900,167200,20.36,-13.73,1.48,,2026-08-14,0.5703132152557373,0.2535691261291504,0.00010657310485839844
