検出日,コード,銘柄名,市場,終値,初動スコア,VolumeRatio,VolumeIncreaseDays,ChangePercent,Change5Days,Change20Days,BreakoutSignal,BreakoutFirstDay,New30High,MACD_GC,AboveMA5,AboveMA25,AboveMA75,RSI,1日後,2日後,3日後,4日後,5日後,5営業日以内最大騰落率
2026-07-27,6592,マブチモーター,プライム（内国株式）,1705.5,20,1.5,1,5.7,7.16,7.87,True,True,True,True,True,True,True,59.88,-3.3714,-1.2606,-1.9642,-2.3747,-3.3128,-1.2606
2026-07-27,7343,ブロードマインド,グロース（内国株式）,1235.0,18,2.52,2,1.73,2.24,4.93,True,True,True,False,True,True,True,69.31,1.5385,-0.2429,0.7287,-0.8907,0.4049,1.5385
2026-07-27,7769,リズム,プライム（内国株式）,3940.0,18,1.54,1,1.81,2.34,5.77,True,True,True,False,True,True,True,58.14,-0.5076,-1.269,-1.6497,-1.9036,-2.7919,-0.5076
2026-07-27,4725,ＣＡＣ　Ｈｏｌｄｉｎｇｓ,プライム（内国株式）,1848.0,17,1.47,1,1.26,1.43,7.19,True,True,True,False,True,True,True,69.05,0.3247,2.1645,0.8658,0.1082,-1.5693,2.1645
2026-07-27,4766,ピーエイ,スタンダード（内国株式）,198.0,17,2.06,2,4.76,5.32,8.79,True,True,True,False,True,True,False,78.57,-0.5051,-1.0101,-2.0202,-1.5152,-2.0202,-0.5051
2026-07-27,5445,東京鐵鋼,プライム（内国株式）,1965.0,17,1.26,1,1.03,2.72,7.79,True,True,True,False,True,True,True,73.78,-0.7634,0.7634,0.0,-2.1883,-0.458,0.7634
2026-07-27,8995,誠建設工業,スタンダード（内国株式）,943.0,17,4.69,2,18.92,17.88,9.02,True,True,True,False,True,True,False,75.11,15.9067,2.7572,-5.9385,4.9841,20.8908,20.8908
2026-07-27,2749,ＪＰホールディングス,プライム（内国株式）,636.0,16,1.46,1,2.25,2.91,10.23,True,True,True,False,True,True,True,66.13,0.3145,2.5157,1.4151,0.0,-2.3585,2.5157
2026-07-27,3176,三洋貿易,プライム（内国株式）,863.0,16,1.57,1,2.49,5.89,10.93,True,True,True,False,True,True,True,71.55,-1.6222,-0.2317,0.5794,0.2317,14.1367,14.1367
2026-07-27,3659,ネクソン,プライム（内国株式）,2444.5,16,1.42,1,7.31,6.38,16.05,True,True,True,False,True,True,True,63.1,1.7795,5.9726,6.4839,2.3113,-1.1454,6.4839
2026-07-27,3660,アイスタイル,プライム（内国株式）,437.0,16,1.77,1,6.07,7.11,20.05,True,True,True,False,True,True,True,75.0,-0.4577,0.6865,-0.4577,1.1442,-0.4577,1.1442
2026-07-27,8349,東北銀行,スタンダード（内国株式）,1511.0,16,1.17,1,3.0,6.48,9.26,True,True,True,False,True,True,True,70.43,-1.3898,-3.1767,-5.096,-3.9709,-3.5738,-1.3898
2026-07-27,2488,ＪＴＰ,スタンダード（内国株式）,1435.0,15,1.51,3,2.21,4.82,10.98,True,True,True,False,True,True,True,73.4,-3.4843,-3.4146,-2.7875,-1.7422,-1.7422,-1.7422
2026-07-27,6082,ライドオンエクスプレスホールディングス,スタンダード（内国株式）,996.0,15,1.13,1,0.4,0.4,1.43,True,True,True,False,True,True,True,81.25,0.1004,0.3012,0.2008,-0.4016,-0.6024,0.3012
2026-07-27,9902,日伝,プライム（内国株式）,2852.0,15,1.1,1,1.17,2.19,11.71,True,True,True,False,True,True,True,67.44,-1.8233,-1.9635,-2.8401,8.1697,7.8191,8.1697
2026-07-27,2124,ジェイエイシーリクルートメント,プライム（内国株式）,948.0,14,1.11,2,2.82,2.71,13.26,True,True,True,False,True,True,True,82.61,0.4219,4.2194,3.903,-0.5274,-1.8987,4.2194
2026-07-27,438A,インフキュリオン,グロース（内国株式）,868.0,14,1.22,1,1.76,7.03,22.43,True,True,True,False,True,True,True,60.27,-2.3041,2.3041,0.0,-0.576,-0.9217,2.3041
2026-07-27,9766,コナミグループ,プライム（内国株式）,19480.0,14,1.19,1,6.33,3.21,12.73,True,True,False,False,True,True,True,60.83,3.3881,16.5554,12.115,5.9548,5.1848,16.5554
2026-07-27,7350,おきなわフィナンシャルグループ,プライム（内国株式）,7560.0,13,1.09,1,2.72,10.69,19.43,True,True,True,False,True,True,True,70.92,-2.6455,-5.291,-6.0847,-2.7778,-1.8519,-1.8519
2026-07-27,2831,はごろもフーズ,スタンダード（内国株式）,3650.0,12,0.52,0,0.83,3.69,4.29,True,True,True,False,True,True,True,90.0,0.0,0.6849,-0.411,0.8219,-0.274,0.8219
2026-07-27,3925,ダブルスタンダード,プライム（内国株式）,1245.0,12,0.95,0,1.38,4.71,8.17,True,True,True,False,True,True,False,63.56,0.7229,3.2129,2.249,1.2048,-0.6426,3.2129
2026-07-27,5587,インバウンドプラットフォーム,グロース（内国株式）,912.0,12,2.73,1,5.43,6.79,22.42,True,False,True,False,True,True,True,100.0,3.0702,4.1667,4.2763,4.7149,3.6184,4.7149
