検出日,コード,検出時終値,初動スコア
2026-07-27,6592,1705.5,20
2026-07-27,7343,1235.0,18
2026-07-27,7769,3940.0,18
2026-07-27,4725,1848.0,17
2026-07-27,4766,198.0,17
2026-07-27,5445,1965.0,17
2026-07-27,8995,943.0,17
2026-07-27,2749,636.0,16
2026-07-27,3176,863.0,16
2026-07-27,3659,2444.5,16
2026-07-27,3660,437.0,16
2026-07-27,8349,1511.0,16
2026-07-27,2488,1435.0,15
2026-07-27,6082,996.0,15
2026-07-27,9902,2852.0,15
2026-07-27,2124,948.0,14
2026-07-27,438A,868.0,14
2026-07-27,9766,19480.0,14
2026-07-27,7350,7560.0,13
2026-07-27,2831,3650.0,12
2026-07-28,2910,1385.0,19
2026-07-28,4776,2659.0,15
2026-07-28,7611,2884.0,15
2026-07-28,4443,1971.0,14
2026-07-28,3284,1256.0,12
2026-07-28,5287,874.0,12
2026-07-28,3925,1254.0,11
2026-07-28,5587,940.0,11
2026-07-28,9766,20140.0,10
2026-07-28,2124,952.0,9
2026-07-28,3659,2488.0,9
2026-07-28,4299,1218.0,9
2026-07-28,4752,1538.0,9
2026-07-28,6563,503.0,9
2026-07-28,6675,2034.0,9
2026-07-28,9346,1650.0,9
2026-07-28,9692,2245.06,9
2026-07-28,3771,1847.0,8
2026-07-28,3970,790.0,8
2026-07-28,477A,595.0,8
2026-07-29,3771,1871.0,19
2026-07-29,4299,1245.0,19
2026-07-29,6630,769.0,19
2026-07-29,5011,2280.0,18
2026-07-29,8281,1138.0,18
2026-07-29,8706,1809.0,18
2026-07-29,3679,428.0,17
2026-07-29,6070,2435.0,17
2026-07-29,7522,977.0,17
2026-07-29,5445,1980.0,16
2026-07-29,9467,1103.0,16
2026-07-29,2749,652.0,15
2026-07-29,4331,690.0,15
2026-07-29,438A,888.0,15
2026-07-29,9692,2306.0,15
2026-07-29,3284,1269.0,14
2026-07-29,6082,999.0,14
2026-07-29,9761,2390.0,14
2026-07-29,4725,1888.0,13
2026-07-29,2831,3675.0,12
2026-07-30,5588,821.0,16
2026-07-30,3176,868.0,14
2026-07-30,7504,4115.0,12
2026-07-30,3053,188.0,11
2026-07-30,166A,1119.0,9
2026-07-30,2820,4995.0,9
2026-07-30,4299,1235.0,8
2026-07-30,4448,299.0,8
2026-07-30,5258,426.0,8
2026-07-30,5889,2488.0,8
2026-07-30,5933,1112.0,8
2026-07-30,6630,761.0,8
2026-07-30,2734,1168.0,7
2026-07-30,2993,2167.0,7
2026-07-30,4574,261.0,7
2026-07-30,4725,1864.0,7
2026-07-30,5011,2270.0,7
2026-07-30,6071,820.0,7
2026-07-30,6675,2037.0,7
2026-07-30,2664,3415.0,6
2026-07-31,9902,3085.0,16
2026-07-31,7322,1910.0,12
2026-07-31,2479,243.0,10
2026-07-31,4657,467.0,10
2026-07-31,6554,1049.0,10
2026-07-31,7426,602.0,10
2026-07-31,4418,805.0,9
