検出日,コード,検出時終値,初動スコア,1日後株価,1日後騰落率,2日後株価,2日後騰落率,3日後株価,3日後騰落率,4日後株価,4日後騰落率,5日後株価,5日後騰落率,前営業日,前日初動スコア,スコア変化
2026-07-27,6592,1705.5,20,1648.0,-3.37,1684.0,-1.26,1672.0,-1.96,1665.0,-2.37,1649.0,-3.31,2026-07-24,3,17
2026-07-27,7343,1235.0,18,1254.0,1.54,1232.0,-0.24,1244.0,0.73,1224.0,-0.89,1240.0,0.4,2026-07-24,6,12
2026-07-27,7769,3940.0,18,3920.0,-0.51,3890.0,-1.27,3875.0,-1.65,3865.0,-1.9,3830.0,-2.79,2026-07-24,2,16
2026-07-27,4725,1848.0,17,1854.0,0.32,1888.0,2.16,1864.0,0.87,1850.0,0.11,1819.0,-1.57,2026-07-24,3,14
2026-07-27,4766,198.0,17,197.0,-0.51,196.0,-1.01,194.0,-2.02,195.0,-1.52,194.0,-2.02,2026-07-24,4,13
2026-07-27,5445,1965.0,17,1950.0,-0.76,1980.0,0.76,1965.0,0.0,1922.0,-2.19,1956.0,-0.46,2026-07-24,3,14
2026-07-27,8995,943.0,17,1093.0,15.91,969.0,2.76,887.0,-5.94,990.0,4.98,1140.0,20.89,2026-07-24,6,11
2026-07-27,2749,636.0,16,638.0,0.31,652.0,2.52,645.0,1.42,636.0,0.0,621.0,-2.36,2026-07-24,1,15
2026-07-27,3176,863.0,16,849.0,-1.62,861.0,-0.23,868.0,0.58,865.0,0.23,985.0,14.14,2026-07-24,3,13
2026-07-27,3659,2444.5,16,2488.0,1.78,2590.5,5.97,2603.0,6.48,2501.0,2.31,2416.5,-1.15,2026-07-24,3,13
2026-07-27,3660,437.0,16,435.0,-0.46,440.0,0.69,435.0,-0.46,442.0,1.14,435.0,-0.46,2026-07-24,2,14
2026-07-27,8349,1511.0,16,1490.0,-1.39,1463.0,-3.18,1434.0,-5.1,1451.0,-3.97,1457.0,-3.57,2026-07-24,3,13
2026-07-27,2488,1435.0,15,1385.0,-3.48,1386.0,-3.41,1395.0,-2.79,1410.0,-1.74,1410.0,-1.74,2026-07-24,5,10
2026-07-27,6082,996.0,15,997.0,0.1,999.0,0.3,998.0,0.2,992.0,-0.4,990.0,-0.6,2026-07-24,2,13
2026-07-27,9902,2852.0,15,2800.0,-1.82,2796.0,-1.96,2771.0,-2.84,3085.0,8.17,3075.0,7.82,2026-07-24,2,13
2026-07-27,2124,948.0,14,952.0,0.42,988.0,4.22,985.0,3.9,943.0,-0.53,930.0,-1.9,2026-07-24,6,8
2026-07-27,438A,868.0,14,848.0,-2.3,888.0,2.3,868.0,0.0,863.0,-0.58,860.0,-0.92,2026-07-24,1,13
2026-07-27,9766,19480.0,14,20140.0,3.39,22705.0,16.56,21840.0,12.11,20640.0,5.95,20490.0,5.18,2026-07-24,1,13
2026-07-27,7350,7560.0,13,7360.0,-2.65,7160.0,-5.29,7100.0,-6.08,7350.0,-2.78,7420.0,-1.85,2026-07-24,2,11
2026-07-27,2831,3650.0,12,3650.0,0.0,3675.0,0.68,3635.0,-0.41,3680.0,0.82,3640.0,-0.27,2026-07-24,3,9
2026-07-28,2910,1385.0,19,1410.0,1.81,1391.0,0.43,1370.0,-1.08,1371.0,-1.01,1346.0,-2.82,2026-07-27,6,13
2026-07-28,4776,2659.0,15,2831.0,6.47,2749.0,3.38,2695.0,1.35,2653.0,-0.23,2677.0,0.68,2026-07-27,7,8
2026-07-28,7611,2884.0,15,2984.0,3.47,2972.0,3.05,2880.0,-0.14,2846.0,-1.32,2784.0,-3.47,2026-07-27,3,12
2026-07-28,4443,1971.0,14,2051.0,4.06,2014.0,2.18,1989.0,0.91,1927.0,-2.23,1884.0,-4.41,2026-07-27,2,12
2026-07-28,3284,1256.0,12,1269.0,1.04,1265.0,0.72,1241.0,-1.19,1218.0,-3.03,1214.0,-3.34,2026-07-27,6,6
2026-07-28,5287,874.0,12,859.0,-1.72,831.0,-4.92,828.0,-5.26,830.0,-5.03,827.0,-5.38,2026-07-27,10,2
2026-07-28,3925,1254.0,11,1285.0,2.47,1273.0,1.52,1260.0,0.48,1237.0,-1.36,1237.0,-1.36,2026-07-27,12,-1
2026-07-28,5587,940.0,11,950.0,1.06,951.0,1.17,955.0,1.6,945.0,0.53,956.0,1.7,2026-07-27,12,-1
2026-07-28,9766,20140.0,10,22705.0,12.74,21840.0,8.44,20640.0,2.48,20490.0,1.74,20055.0,-0.42,2026-07-27,14,-4
2026-07-28,2124,952.0,9,988.0,3.78,985.0,3.47,943.0,-0.95,930.0,-2.31,909.0,-4.52,2026-07-27,14,-5
