検出日,コード,銘柄名,検出時株価,強気度,初動スコア,1日後株価,1日後騰落率%,2日後株価,2日後騰落率%,3日後株価,3日後騰落率%,4日後株価,4日後騰落率%,5日後株価,5日後騰落率%,6日後株価,6日後騰落率%,7日後株価,7日後騰落率%,8日後株価,8日後騰落率%,9日後株価,9日後騰落率%,10日後株価,10日後騰落率%
2026-08-07,2681,ゲオホールディングス,2319.0,20,29,2306.0,-0.56,2260.0,-2.54,2250.0,-2.98,,,,,,,,,,,,,,
2026-08-07,6943,ＮＫＫスイッチズ,5540.0,20,29,5400.0,-2.53,5330.0,-3.79,,,,,,,,,,,,,,,,
2026-08-07,3901,マークラインズ,1488.0,19,29,1514.0,1.75,1515.0,1.81,1513.0,1.68,,,,,,,,,,,,,,
2026-08-07,9063,岡山県貨物運送,4250.0,18,29,4290.0,0.94,4205.0,-1.06,4245.0,-0.12,,,,,,,,,,,,,,
2026-08-07,7846,パイロットコーポレーション,2004.5,21,29,2005.5,0.05,1976.5,-1.4,1975.0,-1.47,,,,,,,,,,,,,,
2026-08-07,3405,クラレ,1954.5,22,29,1920.0,-1.77,1903.5,-2.61,1906.5,-2.46,,,,,,,,,,,,,,
2026-08-07,8022,美津濃,3995.0,22,29,4310.0,7.88,4300.0,7.63,4215.0,5.51,,,,,,,,,,,,,,
2026-08-07,5451,ヨドコウ,1450.0,18,29,1462.0,0.83,1439.0,-0.76,1430.0,-1.38,,,,,,,,,,,,,,
2026-08-07,5185,フコク,1992.0,20,29,2033.0,2.06,2035.0,2.16,2023.0,1.56,,,,,,,,,,,,,,
2026-08-07,1446,キャンディル,549.0,20,29,540.0,-1.64,546.0,-0.55,543.0,-1.09,,,,,,,,,,,,,,
2026-08-07,1429,日本アクア,769.0,20,29,783.0,1.82,810.0,5.33,807.0,4.94,,,,,,,,,,,,,,
2026-08-07,9722,藤田観光,2235.0,20,29,2349.0,5.1,2336.0,4.52,2325.0,4.03,,,,,,,,,,,,,,
2026-08-07,1852,淺沼組,912.0,19,29,917.0,0.55,926.0,1.54,927.0,1.64,,,,,,,,,,,,,,
2026-08-07,1870,矢作建設工業,1992.0,18,29,2042.0,2.51,2035.0,2.16,2044.0,2.61,,,,,,,,,,,,,,
2026-08-07,5192,三ツ星ベルト,4325.0,20,29,4590.0,6.13,4520.0,4.51,4530.0,4.74,,,,,,,,,,,,,,
2026-08-07,5830,いよぎんホールディングス,3813.0,18,26,3713.0,-2.62,3830.0,0.45,3903.0,2.36,,,,,,,,,,,,,,
2026-08-07,4767,テー・オー・ダブリュー,370.0,19,26,371.0,0.27,372.0,0.54,367.0,-0.81,,,,,,,,,,,,,,
2026-08-07,7277,ＴＢＫ,340.0,18,26,348.0,2.35,349.0,2.65,348.0,2.35,,,,,,,,,,,,,,
2026-08-07,6562,ジーニー,1078.0,19,26,1067.0,-1.02,1093.0,1.39,1074.0,-0.37,,,,,,,,,,,,,,
2026-08-07,3877,中越パルプ工業,2219.0,18,26,2220.0,0.05,2208.0,-0.5,2207.0,-0.54,,,,,,,,,,,,,,
2026-08-07,1853,森組,338.0,18,26,333.0,-1.48,333.0,-1.48,333.0,-1.48,,,,,,,,,,,,,,
2026-08-07,6249,ゲームカードホールディングス,2696.0,17,26,2663.0,-1.22,2670.0,-0.96,2678.0,-0.67,,,,,,,,,,,,,,
2026-08-07,6418,日本金銭機械,1200.0,18,26,1229.0,2.42,1211.0,0.92,1238.0,3.17,,,,,,,,,,,,,,
2026-08-07,6140,旭ダイヤモンド工業,1271.0,17,26,1269.0,-0.16,1289.0,1.42,1304.0,2.6,,,,,,,,,,,,,,
2026-08-07,6357,三精テクノロジーズ,2570.0,18,26,2591.0,0.82,2554.0,-0.62,2571.0,0.04,,,,,,,,,,,,,,
2026-08-07,3435,サンコーテクノ,1460.0,18,26,1480.0,1.37,1480.0,1.37,1480.0,1.37,,,,,,,,,,,,,,
2026-08-07,5976,高周波熱錬,1458.0,19,26,1472.0,0.96,1472.0,0.96,1472.0,0.96,,,,,,,,,,,,,,
2026-08-07,6396,宇野澤組鐵工所,4650.0,18,26,4720.0,1.51,4710.0,1.29,,,,,,,,,,,,,,,,
2026-08-07,5950,日本パワーファスニング,149.0,16,26,148.0,-0.67,148.0,-0.67,150.0,0.67,,,,,,,,,,,,,,
2026-08-07,9428,クロップス,1395.0,18,26,1390.0,-0.36,1455.0,4.3,1475.0,5.73,,,,,,,,,,,,,,
2026-08-07,7716,ナカニシ,3245.0,18,26,3275.0,0.92,3310.0,2.0,3350.0,3.24,,,,,,,,,,,,,,
2026-08-07,7931,未来工業,3705.0,19,26,3575.0,-3.51,3505.0,-5.4,3520.0,-4.99,,,,,,,,,,,,,,
2026-08-07,3024,クリエイト,1149.0,17,26,1147.0,-0.17,1142.0,-0.61,,,,,,,,,,,,,,,,
2026-08-07,9237,笑美面,860.0,17,26,861.0,0.12,843.0,-1.98,824.0,-4.19,,,,,,,,,,,,,,
2026-08-07,7606,ユナイテッドアローズ,2568.0,17,26,2613.0,1.75,2578.0,0.39,2562.0,-0.23,,,,,,,,,,,,,,
2026-08-07,8088,岩谷産業,2227.0,19,26,2208.5,-0.83,2220.0,-0.31,2220.5,-0.29,,,,,,,,,,,,,,
2026-08-07,3965,キャピタル・アセット・プランニング,877.0,19,26,880.0,0.34,880.0,0.34,880.0,0.34,,,,,,,,,,,,,,
2026-08-10,7482,シモジマ,1488.0,20,29,1469.0,-1.28,1465.0,-1.55,,,,,,,,,,,,,,,,
2026-08-10,4680,ラウンドワン,1365.0,22,29,1269.5,-7.0,1353.0,-0.88,,,,,,,,,,,,,,,,
2026-08-10,7953,菊水化学工業,394.0,22,29,397.0,0.76,398.0,1.02,,,,,,,,,,,,,,,,
2026-08-10,8152,ソマール,8000.0,19,29,7270.0,-9.13,7350.0,-8.13,,,,,,,,,,,,,,,,
2026-08-10,4124,大阪油化工業,2770.0,21,29,2820.0,1.81,2820.0,1.81,,,,,,,,,,,,,,,,
2026-08-10,6155,高松機械工業,538.0,20,29,537.0,-0.19,529.0,-1.67,,,,,,,,,,,,,,,,
2026-08-10,7244,市光工業,571.0,22,29,564.0,-1.23,557.0,-2.45,,,,,,,,,,,,,,,,
2026-08-10,9564,ＦＣＥ,567.0,20,29,587.0,3.53,573.0,1.06,,,,,,,,,,,,,,,,
2026-08-10,2607,不二製油,4457.0,21,29,4439.0,-0.4,4450.0,-0.16,,,,,,,,,,,,,,,,
2026-08-10,2477,手間いらず,2717.0,21,29,2938.0,8.13,2901.0,6.77,,,,,,,,,,,,,,,,
2026-08-10,8897,ＭＩＲＡＲＴＨホールディングス,443.0,21,29,442.0,-0.23,443.0,0.0,,,,,,,,,,,,,,,,
2026-08-10,3632,グリーホールディングス,416.0,21,29,425.0,2.16,420.0,0.96,,,,,,,,,,,,,,,,
2026-08-10,4125,三和油化工業,3865.0,21,29,3985.0,3.1,3910.0,1.16,,,,,,,,,,,,,,,,
