検出日,コード,銘柄名,検出時株価,初動スコア,1日後株価,1日後騰落率,2日後株価,2日後騰落率,3日後株価,3日後騰落率,4日後株価,4日後騰落率,5日後株価,5日後騰落率,6日後株価,6日後騰落率,7日後株価,7日後騰落率,8日後株価,8日後騰落率,9日後株価,9日後騰落率,10日後株価,10日後騰落率
2026-08-17,3691,デジタルプラス,1806.0,23,1856.0,2.77,1801.0,-0.28,1835.0,1.61,1818.0,0.66,1864.0,3.21,1919.0,6.26,1971.0,9.14,1912.0,5.87,1938.0,7.31,,
2026-08-17,6071,ＩＢＪ,939.0,23,963.0,2.56,926.0,-1.38,932.0,-0.75,950.0,1.17,961.0,2.34,935.0,-0.43,938.0,-0.11,923.0,-1.7,934.0,-0.53,,
2026-08-17,6092,エンバイオ・ホールディングス,892.0,22,884.0,-0.9,861.0,-3.48,865.0,-3.03,864.0,-3.14,877.0,-1.68,862.0,-3.36,859.0,-3.7,854.0,-4.26,862.0,-3.36,,
2026-08-17,247A,Ａｉロボティクス,985.0,21,952.0,-3.35,910.0,-7.61,962.0,-2.34,959.0,-2.64,997.0,1.22,969.0,-1.62,933.0,-5.28,955.0,-3.05,1012.0,2.74,,
2026-08-17,3970,イノベーション,975.0,21,871.0,-10.67,858.0,-12.0,860.0,-11.79,864.0,-11.38,870.0,-10.77,851.0,-12.72,858.0,-12.0,855.0,-12.31,857.0,-12.1,,
2026-08-17,9115,明海グループ,1053.0,21,1087.0,3.23,1074.0,1.99,999.0,-5.13,1050.0,-0.28,1060.0,0.66,1230.0,16.81,1168.0,10.92,1066.0,1.23,1059.0,0.57,,
2026-08-17,4011,ヘッドウォータース,2299.0,20,2342.0,1.87,2219.0,-3.48,2270.0,-1.26,2363.0,2.78,2411.0,4.87,2280.0,-0.83,2222.0,-3.35,2253.0,-2.0,2415.0,5.05,,
2026-08-17,4392,ＦＩＧ,1241.0,20,1325.0,6.77,1278.0,2.98,1338.0,7.82,1165.0,-6.12,1062.0,-14.42,997.0,-19.66,1031.0,-16.92,1103.0,-11.12,1147.0,-7.57,,
2026-08-17,5258,トランザクション・メディア・ネットワークス,459.0,20,431.0,-6.1,421.0,-8.28,422.0,-8.06,430.0,-6.32,441.0,-3.92,432.0,-5.88,430.0,-6.32,427.0,-6.97,442.0,-3.7,,
2026-08-17,7091,リビングプラットフォーム,1283.0,20,1286.0,0.23,1280.0,-0.23,1277.0,-0.47,1273.0,-0.78,1277.0,-0.47,1285.0,0.16,1294.0,0.86,1286.0,0.23,1292.0,0.7,,
2026-08-17,7695,交換できるくん,865.0,20,842.0,-2.66,854.0,-1.27,860.0,-0.58,863.0,-0.23,861.0,-0.46,867.0,0.23,929.0,7.4,911.0,5.32,915.0,5.78,,
2026-08-17,8995,誠建設工業,1980.0,20,2380.0,20.2,2180.0,10.1,2064.0,4.24,1541.0,-22.17,1457.0,-26.41,1685.0,-14.9,1514.0,-23.54,1522.0,-23.13,1474.0,-25.56,,
2026-08-17,9467,アルファポリス,1205.0,20,1180.0,-2.07,1246.0,3.4,1271.0,5.48,1223.0,1.49,1225.0,1.66,1207.0,0.17,1218.0,1.08,1188.0,-1.41,1199.0,-0.5,,
2026-08-17,2656,ベクターホールディングス,202.0,19,200.0,-0.99,197.0,-2.48,202.0,0.0,186.0,-7.92,192.0,-4.95,193.0,-4.46,188.0,-6.93,173.0,-14.36,179.0,-11.39,,
2026-08-17,3053,ペッパーフードサービス,218.0,19,211.0,-3.21,206.0,-5.5,204.0,-6.42,208.0,-4.59,212.0,-2.75,209.0,-4.13,211.0,-3.21,210.0,-3.67,208.0,-4.59,,
2026-08-17,3933,チエル,600.0,19,575.0,-4.17,574.0,-4.33,561.0,-6.5,558.0,-7.0,551.0,-8.17,570.0,-5.0,557.0,-7.17,570.0,-5.0,560.0,-6.67,,
2026-08-17,4932,アルマード,773.0,19,770.0,-0.39,764.0,-1.16,769.0,-0.52,769.0,-0.52,772.0,-0.13,759.0,-1.81,758.0,-1.94,759.0,-1.81,768.0,-0.65,,
2026-08-17,6036,ＫｅｅＰｅｒ技研,3235.0,19,3025.0,-6.49,3195.0,-1.24,3280.0,1.39,3235.0,0.0,3290.0,1.7,3270.0,1.08,3315.0,2.47,3210.0,-0.77,3270.0,1.08,,
2026-08-17,6082,ライドオンエクスプレスホールディングス,1042.0,19,1023.0,-1.82,1022.0,-1.92,1019.0,-2.21,1021.0,-2.02,1018.0,-2.3,1032.0,-0.96,1027.0,-1.44,1025.0,-1.63,1020.0,-2.11,,
2026-08-17,366A,ウェルネス・コミュニケーションズ,1120.0,18,1128.0,0.71,1120.0,0.0,1144.0,2.14,1129.0,0.8,1146.0,2.32,1137.0,1.52,1134.0,1.25,1144.0,2.14,1160.0,3.57,,
2026-08-17,4766,ピーエイ,199.0,20,201.0,1.01,200.0,0.5,200.0,0.5,200.0,0.5,202.0,1.51,205.0,3.02,205.0,3.02,206.0,3.52,207.0,4.02,,
2026-08-17,500A,ＴＯブックス,3220.0,19,3230.0,0.31,3175.0,-1.4,3110.0,-3.42,3270.0,1.55,3280.0,1.86,3280.0,1.86,3320.0,3.11,3270.0,1.55,3310.0,2.8,,
2026-08-17,6663,太洋テクノレックス,324.0,19,312.0,-3.7,305.0,-5.86,304.0,-6.17,304.0,-6.17,305.0,-5.86,310.0,-4.32,316.0,-2.47,315.0,-2.78,316.0,-2.47,,
2026-08-17,9218,メンタルヘルステクノロジーズ,763.0,19,769.0,0.79,761.0,-0.26,760.0,-0.39,773.0,1.31,773.0,1.31,768.0,0.66,772.0,1.18,773.0,1.31,788.0,3.28,,
2026-08-17,173A,ハンモック,1600.0,18,1575.0,-1.56,1550.0,-3.12,1549.0,-3.19,1574.0,-1.62,1574.0,-1.62,1569.0,-1.94,1570.0,-1.88,1560.0,-2.5,1557.0,-2.69,,
2026-08-17,3067,東京一番フーズ,462.0,18,465.0,0.65,461.0,-0.22,459.0,-0.65,460.0,-0.43,460.0,-0.43,460.0,-0.43,458.0,-0.87,458.0,-0.87,459.0,-0.65,,
2026-08-17,4393,バンク・オブ・イノベーション,5330.0,18,5250.0,-1.5,5130.0,-3.75,5380.0,0.94,5230.0,-1.88,5490.0,3.0,5530.0,3.75,5710.0,7.13,5620.0,5.44,6220.0,16.7,,
2026-08-17,9362,兵機海運,3730.0,18,3720.0,-0.27,3655.0,-2.01,3655.0,-2.01,3645.0,-2.28,3725.0,-0.13,3800.0,1.88,3795.0,1.74,3795.0,1.74,3700.0,-0.8,,
2026-08-17,166A,タスキホールディングス,1188.0,17,1152.0,-3.03,1134.0,-4.55,1148.0,-3.37,1132.0,-4.71,1167.0,-1.77,1204.0,1.35,1213.0,2.1,1207.0,1.6,1213.0,2.1,,
2026-08-17,3489,フェイスネットワーク,850.0,17,863.0,1.53,848.0,-0.24,867.0,2.0,870.0,2.35,868.0,2.12,860.0,1.18,869.0,2.24,867.0,2.0,879.0,3.41,,
2026-08-17,4027,テイカ,2477.0,17,2411.0,-2.66,2285.0,-7.75,2299.0,-7.19,2311.0,-6.7,2356.0,-4.88,2356.0,-4.88,2351.0,-5.09,2406.0,-2.87,2361.0,-4.68,,
2026-08-17,7877,永大化工,2250.0,20,2264.0,0.62,2245.0,-0.22,2202.0,-2.13,2199.0,-2.27,2233.0,-0.76,2233.0,-0.76,2206.0,-1.96,2214.0,-1.6,2217.0,-1.47,,
2026-08-17,3963,シンクロ・フード,372.0,18,354.0,-4.84,340.0,-8.6,345.0,-7.26,340.0,-8.6,347.0,-6.72,346.0,-6.99,356.0,-4.3,353.0,-5.11,352.0,-5.38,,
2026-08-17,9902,日伝,3205.0,18,3140.0,-2.03,3005.0,-6.24,3015.0,-5.93,3015.0,-5.93,3060.0,-4.52,3045.0,-4.99,3030.0,-5.46,3080.0,-3.9,3065.0,-4.37,,
2026-08-17,3195,ジェネレーションパス,638.0,7,635.0,-0.47,621.0,-2.66,640.0,0.31,630.0,-1.25,650.0,1.88,649.0,1.72,652.0,2.19,673.0,5.49,692.0,8.46,,
2026-08-17,3936,グローバルウェイ,185.0,7,164.0,-11.35,157.0,-15.14,161.0,-12.97,159.0,-14.05,160.0,-13.51,156.0,-15.68,156.0,-15.68,155.0,-16.22,157.0,-15.14,,
2026-08-17,6276,シリウスビジョン,382.0,7,425.0,11.26,395.0,3.4,402.0,5.24,406.0,6.28,375.0,-1.83,381.0,-0.26,369.0,-3.4,357.0,-6.54,354.0,-7.33,,
2026-08-17,1447,ＳＡＡＦホールディングス,404.0,5,387.0,-4.21,393.0,-2.72,399.0,-1.24,396.0,-1.98,397.0,-1.73,402.0,-0.5,422.0,4.46,420.0,3.96,419.0,3.71,,
2026-08-17,150A,ＪＳＨ,664.0,5,764.0,15.06,721.0,8.58,714.0,7.53,740.0,11.45,712.0,7.23,745.0,12.2,749.0,12.8,750.0,12.95,750.0,12.95,,
2026-08-17,1960,サンテック,1780.0,5,1739.0,-2.3,1650.0,-7.3,1684.0,-5.39,1661.0,-6.69,1660.0,-6.74,1684.0,-5.39,1685.0,-5.34,1697.0,-4.66,1660.0,-6.74,,
2026-08-17,2983,アールプランナー,1689.0,5,1641.0,-2.84,1566.0,-7.28,1608.0,-4.8,1610.0,-4.68,1650.0,-2.31,1690.0,0.06,1660.0,-1.72,1638.0,-3.02,1636.0,-3.14,,
2026-08-17,3187,ミラタップ,365.0,5,400.0,9.59,388.0,6.3,371.0,1.64,380.0,4.11,367.0,0.55,368.0,0.82,371.0,1.64,364.0,-0.27,366.0,0.27,,
2026-08-17,3624,アクセルマーク,90.0,5,86.0,-4.44,84.0,-6.67,81.0,-10.0,85.0,-5.56,88.0,-2.22,82.0,-8.89,83.0,-7.78,80.0,-11.11,88.0,-2.22,,
