条件数,条件,n,平均最大騰落率,+5%率,+10%率,+20%率,全体+10%率,全体+20%率,+10%率差,+20%率差,n100以上
4,出来高増加3日 + 前日比+5%以上 + MA75上 + RSI70未満,30,3.6093300000000004,36.666666666666664,20.0,0.0,6.20493040415898,1.2493711219184973,13.79506959584102,-1.2493711219184973,False
4,出来高2倍以上 + 前日比+5%以上 + ブレイク + 30日高値更新,41,6.824451219512194,34.146341463414636,19.51219512195122,14.634146341463413,6.20493040415898,1.2493711219184973,13.30726471779224,13.384775219544917,False
4,出来高2倍以上 + 前日比+5%以上 + 30日高値更新 + MA25上,47,6.76949574468085,36.17021276595745,19.148936170212767,12.76595744680851,6.20493040415898,1.2493711219184973,12.944005766053788,11.516586324890014,False
2,出来高3倍以上 + 前日比+3%以上,32,7.987709375,40.625,18.75,12.5,6.20493040415898,1.2493711219184973,12.54506959584102,11.250628878081503,False
3,出来高1.5倍以上 + 出来高3倍以上 + 前日比+3%以上,32,7.987709375,40.625,18.75,12.5,6.20493040415898,1.2493711219184973,12.54506959584102,11.250628878081503,False
3,出来高2倍以上 + 出来高3倍以上 + 前日比+3%以上,32,7.987709375,40.625,18.75,12.5,6.20493040415898,1.2493711219184973,12.54506959584102,11.250628878081503,False
3,出来高3倍以上 + 出来高増加1日 + 前日比+3%以上,32,7.987709375,40.625,18.75,12.5,6.20493040415898,1.2493711219184973,12.54506959584102,11.250628878081503,False
3,出来高3倍以上 + 前日比+1%以上 + 前日比+3%以上,32,7.987709375,40.625,18.75,12.5,6.20493040415898,1.2493711219184973,12.54506959584102,11.250628878081503,False
3,出来高3倍以上 + 前日比+3%以上 + MA5上,32,7.987709375,40.625,18.75,12.5,6.20493040415898,1.2493711219184973,12.54506959584102,11.250628878081503,False
4,出来高1.5倍以上 + 出来高2倍以上 + 出来高3倍以上 + 前日比+3%以上,32,7.987709375,40.625,18.75,12.5,6.20493040415898,1.2493711219184973,12.54506959584102,11.250628878081503,False
4,出来高1.5倍以上 + 出来高3倍以上 + 出来高増加1日 + 前日比+3%以上,32,7.987709375,40.625,18.75,12.5,6.20493040415898,1.2493711219184973,12.54506959584102,11.250628878081503,False
4,出来高1.5倍以上 + 出来高3倍以上 + 前日比+1%以上 + 前日比+3%以上,32,7.987709375,40.625,18.75,12.5,6.20493040415898,1.2493711219184973,12.54506959584102,11.250628878081503,False
4,出来高1.5倍以上 + 出来高3倍以上 + 前日比+3%以上 + MA5上,32,7.987709375,40.625,18.75,12.5,6.20493040415898,1.2493711219184973,12.54506959584102,11.250628878081503,False
4,出来高2倍以上 + 出来高3倍以上 + 出来高増加1日 + 前日比+3%以上,32,7.987709375,40.625,18.75,12.5,6.20493040415898,1.2493711219184973,12.54506959584102,11.250628878081503,False
4,出来高2倍以上 + 出来高3倍以上 + 前日比+1%以上 + 前日比+3%以上,32,7.987709375,40.625,18.75,12.5,6.20493040415898,1.2493711219184973,12.54506959584102,11.250628878081503,False
4,出来高2倍以上 + 出来高3倍以上 + 前日比+3%以上 + MA5上,32,7.987709375,40.625,18.75,12.5,6.20493040415898,1.2493711219184973,12.54506959584102,11.250628878081503,False
4,出来高3倍以上 + 出来高増加1日 + 前日比+1%以上 + 前日比+3%以上,32,7.987709375,40.625,18.75,12.5,6.20493040415898,1.2493711219184973,12.54506959584102,11.250628878081503,False
4,出来高3倍以上 + 出来高増加1日 + 前日比+3%以上 + MA5上,32,7.987709375,40.625,18.75,12.5,6.20493040415898,1.2493711219184973,12.54506959584102,11.250628878081503,False
4,出来高3倍以上 + 前日比+1%以上 + 前日比+3%以上 + MA5上,32,7.987709375,40.625,18.75,12.5,6.20493040415898,1.2493711219184973,12.54506959584102,11.250628878081503,False
3,出来高2倍以上 + 前日比+5%以上 + 30日高値更新,48,6.517614583333334,35.41666666666667,18.75,12.5,6.20493040415898,1.2493711219184973,12.54506959584102,11.250628878081503,False
4,出来高1.5倍以上 + 出来高2倍以上 + 前日比+5%以上 + 30日高値更新,48,6.517614583333334,35.41666666666667,18.75,12.5,6.20493040415898,1.2493711219184973,12.54506959584102,11.250628878081503,False
4,出来高2倍以上 + 出来高増加1日 + 前日比+5%以上 + 30日高値更新,48,6.517614583333334,35.41666666666667,18.75,12.5,6.20493040415898,1.2493711219184973,12.54506959584102,11.250628878081503,False
4,出来高2倍以上 + 前日比+1%以上 + 前日比+5%以上 + 30日高値更新,48,6.517614583333334,35.41666666666667,18.75,12.5,6.20493040415898,1.2493711219184973,12.54506959584102,11.250628878081503,False
4,出来高2倍以上 + 前日比+3%以上 + 前日比+5%以上 + 30日高値更新,48,6.517614583333334,35.41666666666667,18.75,12.5,6.20493040415898,1.2493711219184973,12.54506959584102,11.250628878081503,False
4,出来高2倍以上 + 前日比+5%以上 + 30日高値更新 + MA5上,48,6.517614583333334,35.41666666666667,18.75,12.5,6.20493040415898,1.2493711219184973,12.54506959584102,11.250628878081503,False
3,出来高増加3日 + MACD GC + MA75上,39,3.4874692307692308,28.205128205128204,17.94871794871795,0.0,6.20493040415898,1.2493711219184973,11.74378754455897,-1.2493711219184973,False
4,出来高増加1日 + 出来高増加3日 + MACD GC + MA75上,39,3.4874692307692308,28.205128205128204,17.94871794871795,0.0,6.20493040415898,1.2493711219184973,11.74378754455897,-1.2493711219184973,False
4,出来高増加2日 + 出来高増加3日 + MACD GC + MA75上,39,3.4874692307692308,28.205128205128204,17.94871794871795,0.0,6.20493040415898,1.2493711219184973,11.74378754455897,-1.2493711219184973,False
4,出来高増加3日 + MACD GC + MA5上 + MA75上,39,3.4874692307692308,28.205128205128204,17.94871794871795,0.0,6.20493040415898,1.2493711219184973,11.74378754455897,-1.2493711219184973,False
4,出来高増加3日 + MACD GC + MA75上 + RSI80未満,39,3.4874692307692308,28.205128205128204,17.94871794871795,0.0,6.20493040415898,1.2493711219184973,11.74378754455897,-1.2493711219184973,False
4,出来高増加3日 + MACD GC + MA75上 + RSI90未満,39,3.4874692307692308,28.205128205128204,17.94871794871795,0.0,6.20493040415898,1.2493711219184973,11.74378754455897,-1.2493711219184973,False
4,出来高増加3日 + 前日比+5%以上 + MA5上 + RSI70未満,39,3.155023076923077,38.46153846153847,17.94871794871795,0.0,6.20493040415898,1.2493711219184973,11.74378754455897,-1.2493711219184973,False
3,出来高2倍以上 + 前日比+5%以上 + ブレイク,45,6.65752,37.77777777777778,17.77777777777778,13.333333333333334,6.20493040415898,1.2493711219184973,11.5728473736188,12.083962211414837,False
4,出来高1.5倍以上 + 出来高2倍以上 + 前日比+5%以上 + ブレイク,45,6.65752,37.77777777777778,17.77777777777778,13.333333333333334,6.20493040415898,1.2493711219184973,11.5728473736188,12.083962211414837,False
4,出来高2倍以上 + 出来高増加1日 + 前日比+5%以上 + ブレイク,45,6.65752,37.77777777777778,17.77777777777778,13.333333333333334,6.20493040415898,1.2493711219184973,11.5728473736188,12.083962211414837,False
4,出来高2倍以上 + 前日比+1%以上 + 前日比+5%以上 + ブレイク,45,6.65752,37.77777777777778,17.77777777777778,13.333333333333334,6.20493040415898,1.2493711219184973,11.5728473736188,12.083962211414837,False
4,出来高2倍以上 + 前日比+3%以上 + 前日比+5%以上 + ブレイク,45,6.65752,37.77777777777778,17.77777777777778,13.333333333333334,6.20493040415898,1.2493711219184973,11.5728473736188,12.083962211414837,False
4,出来高2倍以上 + 前日比+5%以上 + ブレイク + MA5上,45,6.65752,37.77777777777778,17.77777777777778,13.333333333333334,6.20493040415898,1.2493711219184973,11.5728473736188,12.083962211414837,False
4,出来高2倍以上 + 前日比+5%以上 + ブレイク + MA25上,45,6.65752,37.77777777777778,17.77777777777778,13.333333333333334,6.20493040415898,1.2493711219184973,11.5728473736188,12.083962211414837,False
4,出来高増加3日 + MACD GC + MA75上 + RSI70未満,34,3.4492352941176474,29.411764705882355,17.647058823529413,0.0,6.20493040415898,1.2493711219184973,11.442128419370434,-1.2493711219184973,False
3,前日比+5%以上 + ブレイク + 30日高値更新,120,8.503657500000001,34.166666666666664,17.5,10.0,6.20493040415898,1.2493711219184973,11.29506959584102,8.750628878081503,True
4,前日比+1%以上 + 前日比+5%以上 + ブレイク + 30日高値更新,120,8.503657500000001,34.166666666666664,17.5,10.0,6.20493040415898,1.2493711219184973,11.29506959584102,8.750628878081503,True
4,前日比+3%以上 + 前日比+5%以上 + ブレイク + 30日高値更新,120,8.503657500000001,34.166666666666664,17.5,10.0,6.20493040415898,1.2493711219184973,11.29506959584102,8.750628878081503,True
4,前日比+5%以上 + ブレイク + 30日高値更新 + MA5上,120,8.503657500000001,34.166666666666664,17.5,10.0,6.20493040415898,1.2493711219184973,11.29506959584102,8.750628878081503,True
4,前日比+5%以上 + ブレイク + 30日高値更新 + MA25上,120,8.503657500000001,34.166666666666664,17.5,10.0,6.20493040415898,1.2493711219184973,11.29506959584102,8.750628878081503,True
4,出来高2倍以上 + 前日比+5%以上 + 30日高値更新 + MA75上,42,6.210121428571429,33.33333333333333,16.666666666666664,9.523809523809524,6.20493040415898,1.2493711219184973,10.461736262507685,8.274438401891027,False
3,出来高増加3日 + 前日比+5%以上 + RSI70未満,42,2.36052619047619,35.714285714285715,16.666666666666664,0.0,6.20493040415898,1.2493711219184973,10.461736262507685,-1.2493711219184973,False
4,出来高増加1日 + 出来高増加3日 + 前日比+5%以上 + RSI70未満,42,2.36052619047619,35.714285714285715,16.666666666666664,0.0,6.20493040415898,1.2493711219184973,10.461736262507685,-1.2493711219184973,False
4,出来高増加2日 + 出来高増加3日 + 前日比+5%以上 + RSI70未満,42,2.36052619047619,35.714285714285715,16.666666666666664,0.0,6.20493040415898,1.2493711219184973,10.461736262507685,-1.2493711219184973,False
4,出来高増加3日 + 前日比+1%以上 + 前日比+5%以上 + RSI70未満,42,2.36052619047619,35.714285714285715,16.666666666666664,0.0,6.20493040415898,1.2493711219184973,10.461736262507685,-1.2493711219184973,False
4,出来高増加3日 + 前日比+3%以上 + 前日比+5%以上 + RSI70未満,42,2.36052619047619,35.714285714285715,16.666666666666664,0.0,6.20493040415898,1.2493711219184973,10.461736262507685,-1.2493711219184973,False
4,出来高増加3日 + 前日比+5%以上 + RSI70未満 + RSI80未満,42,2.36052619047619,35.714285714285715,16.666666666666664,0.0,6.20493040415898,1.2493711219184973,10.461736262507685,-1.2493711219184973,False
4,出来高増加3日 + 前日比+5%以上 + RSI70未満 + RSI90未満,42,2.36052619047619,35.714285714285715,16.666666666666664,0.0,6.20493040415898,1.2493711219184973,10.461736262507685,-1.2493711219184973,False
