条件,条件あり件数,条件あり平均最大騰落率,条件あり+5%率,条件あり+10%率,条件あり+20%率,条件なし平均最大騰落率,条件なし+5%率,条件なし+10%率,条件なし+20%率,差+5%率,差+10%率,差+20%率
出来高1.5倍以上,1483,2.799558327714093,19.420094403236682,6.068779501011464,1.8206338503034392,2.8642324236330556,20.760317916307574,6.224265057933544,1.168246672412142,-1.3402235130708924,-0.15548555692208055,0.6523871778912971
出来高2倍以上,546,2.7349456043956044,19.963369963369964,6.41025641025641,2.564102564102564,2.8620073725834794,20.623901581722322,6.195079086115992,1.1862917398945518,-0.6605316183523584,0.21517732414041735,1.377810824208012
出来高3倍以上,104,3.4435413461538458,17.307692307692307,7.6923076923076925,4.807692307692308,2.8510231686685836,20.622568093385212,6.191845711385553,1.2180680087971578,-3.314875785692905,1.5004619809221396,3.5896242988951506
出来高増加1日,2497,2.8461984781738088,20.94513416099319,6.167400881057269,1.6419703644373247,2.8588362074451164,20.500583306819387,6.214869021105101,1.145402481705377,0.444550854173805,-0.047468140047832286,0.49656788273194774
出来高増加2日,1250,2.692714,19.52,5.28,1.1199999999999999,2.875330807418509,20.71937055076808,6.313225927313601,1.264518546272012,-1.19937055076808,-1.0332259273136009,-0.14451854627201222
出来高増加3日,616,2.843530032467532,23.863636363636363,7.142857142857142,0.487012987012987,2.856879725906278,20.41556145004421,6.153846153846154,1.2908930150309461,3.448074913592155,0.9890109890109882,-0.8038800280179591
前日比+1%以上,3157,3.1267439657903076,23.725055432372503,7.570478302185619,1.4887551472917326,2.758785893488425,19.466301744782758,5.713308244953814,1.163188504960657,4.258753687589746,1.857170057231805,0.3255666423310757
前日比+3%以上,994,3.649963078470825,28.06841046277666,9.557344064386317,2.9175050301810868,2.784015815953165,19.91401390413465,5.900109769484083,1.0976948408342482,8.154396558642013,3.657234294902234,1.8198101893468386
前日比+5%以上,391,4.679874168797954,32.48081841432225,14.066496163682865,5.626598465473146,2.79437307325531,20.190723883831815,5.938448201127005,1.1009969657563936,12.290094530490435,8.128047962555861,4.525601499716752
5日騰落率5%未満,10424,2.7378556312356106,19.675748273215657,5.640828856485035,1.1128165771297005,3.6774414780292943,26.964047936085215,10.119840213049267,2.1970705725699067,-7.288299662869559,-4.479011356564232,-1.0842539954402062
5日騰落率10%未満,11455,2.7407026538629418,19.921431689218682,5.752946311654299,1.1086861632474903,5.664915711252655,36.94267515923567,17.197452229299362,4.670912951167728,-17.021243470016987,-11.444505917645063,-3.562226787920238
5日騰落率0%未満,5654,2.9703091616554653,21.71913689423417,6.50866643084542,1.4326140785284756,2.7533157206632652,19.57908163265306,5.931122448979592,1.0841836734693877,2.1400552615811073,0.5775439818658272,0.34843040505908784
20日騰落率10%未満,10297,2.753818578226668,19.743614645042246,5.768670486549481,1.0974070117509953,3.5032868631062,25.96685082872928,8.962553713934929,2.209944751381215,-6.223236183687035,-3.193883227385448,-1.1125377396302198
20日騰落率20%未満,11426,2.7385514528268864,19.989497636968316,5.767547698232102,1.0764922107474182,5.5444706,34.4,16.2,5.2,-14.410502363031682,-10.432452301767897,-4.1235077892525815
ブレイク,675,3.1205260740740743,17.037037037037038,6.222222222222222,1.7777777777777777,2.8403314460936806,20.807039374277842,6.203892987290019,1.2176695404852902,-3.770002337240804,0.018329234932203065,0.5601082372924875
ブレイク初日,453,2.7345311258278144,16.99779249448124,5.960264900662252,1.1037527593818985,2.860993776693106,20.73564019872745,6.214590778349168,1.2551207182079667,-3.73784770424621,-0.2543258776869157,-0.15136795882606813
30日高値更新,1083,3.1625918744228994,19.298245614035086,6.001846722068329,1.7543859649122806,2.8255867564327217,20.723047127178827,6.225214424052384,1.1989301853730518,-1.4248015131437413,-0.22336770198405453,0.5554557795392288
MACD GC,476,2.6706073529411767,22.478991596638657,6.722689075630252,0.42016806722689076,2.863905248908297,20.51528384279476,6.183406113537118,1.2838427947598252,1.9637077538438987,0.5392829620931341,-0.8636747275329344
MA5上,5997,2.7946997498749373,20.393530098382527,5.91962647990662,1.0505252626313157,2.9183858660819695,20.796087029853265,6.493506493506493,1.4504975543936582,-0.40255693147073757,-0.5738800135998723,-0.3999722917623425
MA25上,6041,2.830798228770071,19.682171825856646,5.6282072504552225,1.0097665949346135,2.882255242141037,21.52931180968564,6.796941376380629,1.4953271028037385,-1.8471399838289955,-1.1687341259254067,-0.48556050786912497
MA75上,5299,2.966094829213059,21.739950934138516,6.152104170598227,1.019060200037743,2.768309597102761,19.677078617775763,6.247170665459484,1.4335295005281423,2.0628723163627534,-0.09506649486125696,-0.41446930049039943
RSI70未満,10488,2.832043897787948,21.100305110602594,6.292906178489703,1.2013729977116705,3.032300278164117,16.89847009735744,5.563282336578582,1.5994436717663423,4.201835013245155,0.7296238419111214,-0.3980706740546718
RSI80未満,11494,2.81611431181486,20.610753436575603,6.177135896989734,1.2006264137811034,3.922468287037037,20.13888888888889,6.944444444444445,2.5462962962962963,0.4718645476867138,-0.7673085474547108,-1.345669882515193
RSI90未満,11821,2.8263680483884617,20.463581761272312,6.141612384739024,1.2097115303273835,6.2135952380952375,35.23809523809524,13.333333333333334,5.714285714285714,-14.774513476822928,-7.19172094859431,-4.504574183958331
