n,Hit5率,+10%率,+10%差,+20%率,+20%差,平均最大騰落率,中央値最大騰落率,Hit10件数,Hit20件数,条件数,条件,分析種別,組み合わせ数,平均n,平均+10%率,平均+10%差,最高+10%率,平均+20%率,平均+20%差,最高+20%率
391.0,32.48081841432225,14.066496163682865,7.861565759523885,5.626598465473146,4.377227343554648,4.679874168797954,2.0349,55.0,22.0,1.0,前日比+5%以上,単独条件,,,,,,,,
994.0,28.06841046277666,9.557344064386317,3.352413660227337,2.9175050301810868,1.6681339082625894,3.649963078470825,1.99875,95.0,29.0,1.0,前日比+3%以上,単独条件,,,,,,,,
104.0,17.307692307692307,7.6923076923076925,1.4873772881487124,4.807692307692308,3.558321185773811,3.4435413461538458,0.95965,8.0,5.0,1.0,出来高3倍以上,単独条件,,,,,,,,
3157.0,23.725055432372503,7.570478302185619,1.3655478980266391,1.4887551472917326,0.23938402537323533,3.1267439657903076,1.8898,239.0,47.0,1.0,前日比+1%以上,単独条件,,,,,,,,
1022.0,22.309197651663403,7.338551859099804,1.1336214549408234,0.5870841487279843,-0.662286973190513,2.7377271037181994,1.6196000000000002,75.0,6.0,1.0,出来高増加3日,単独条件,,,,,,,,
476.0,22.478991596638657,6.722689075630252,0.5177586714712721,0.42016806722689076,-0.8292030546916065,2.6706073529411767,1.6949999999999998,32.0,2.0,1.0,MACD GC,単独条件,,,,,,,,
546.0,19.963369963369964,6.41025641025641,0.20532600609742957,2.564102564102564,1.3147314421840666,2.7349456043956044,1.491,35.0,14.0,1.0,出来高2倍以上,単独条件,,,,,,,,
10488.0,21.100305110602594,6.292906178489703,0.08797577433072323,1.2013729977116705,-0.04799812420682681,2.832043897787948,1.7139,660.0,126.0,1.0,RSI70未満,単独条件,,,,,,,,
675.0,17.037037037037038,6.222222222222222,0.017291818063242204,1.7777777777777777,0.5284066558592804,3.1205260740740743,1.5193,42.0,12.0,1.0,ブレイク,単独条件,,,,,,,,
2272.0,20.774647887323944,6.205985915492958,0.0010555113339778543,0.8802816901408451,-0.3690894317776522,2.712961971830986,1.6766999999999999,141.0,20.0,1.0,出来高増加2日,単独条件,,,,,,,,
4769.0,20.86391276997274,6.185783183057245,-0.01914722110173539,1.2790941497169217,0.029723027798424395,2.782723254351017,1.7021,295.0,61.0,1.0,出来高増加1日,単独条件,,,,,,,,
11494.0,20.610753436575603,6.177135896989734,-0.027794507169246252,1.2006264137811034,-0.048744708137393955,2.81611431181486,1.68365,710.0,138.0,1.0,RSI80未満,単独条件,,,,,,,,
5299.0,21.739950934138516,6.152104170598227,-0.052826233560753444,1.019060200037743,-0.23031092188075442,2.966094829213059,1.8338,326.0,54.0,1.0,MA75上,単独条件,,,,,,,,
11821.0,20.463581761272312,6.141612384739024,-0.06331801941995607,1.2097115303273835,-0.03965959159111376,2.8263680483884617,1.669,726.0,143.0,1.0,RSI90未満,単独条件,,,,,,,,
1483.0,19.420094403236682,6.068779501011464,-0.13615090314751654,1.8206338503034392,0.5712627283849419,2.799558327714093,1.564,90.0,27.0,1.0,出来高1.5倍以上,単独条件,,,,,,,,
1083.0,19.298245614035086,6.001846722068329,-0.20308368209065097,1.7543859649122806,0.5050148429937833,3.1625918744228994,1.6114,65.0,19.0,1.0,30日高値更新,単独条件,,,,,,,,
453.0,16.99779249448124,5.960264900662252,-0.24466550349672822,1.1037527593818985,-0.14561836253659877,2.7345311258278144,1.6708,27.0,5.0,1.0,ブレイク初日,単独条件,,,,,,,,
5997.0,20.393530098382527,5.91962647990662,-0.28530392425235984,1.0505252626313157,-0.19884585928718157,2.7946997498749373,1.6082,355.0,63.0,1.0,MA5上,単独条件,,,,,,,,
6041.0,19.682171825856646,5.6282072504552225,-0.5767231537037576,1.0097665949346135,-0.2396045269838838,2.830798228770071,1.6744,340.0,61.0,1.0,MA25上,単独条件,,,,,,,,
,,,,,,3.675534850696222,2.223634588068182,,,,前日比+5%以上,組み合わせ貢献度,704.0,113.34375,11.995767924178216,5.790837520019236,20.0,3.23939244560186,1.9900213236833624,14.634146341463413
,,,,,,3.992472874225265,1.5786873684210527,,,,出来高3倍以上,組み合わせ貢献度,190.0,51.915789473684214,10.24784919388843,4.04291878972945,18.75,5.946663112788941,4.697291990870443,12.5
,,,,,,3.5613632726966316,2.062232049608355,,,,前日比+3%以上,組み合わせ貢献度,766.0,191.50261096605743,9.523387714789942,3.3184573106309614,18.75,2.679074518019598,1.4297033961011003,13.333333333333334
,,,,,,2.744239207327715,1.5650972049689442,,,,出来高増加3日,組み合わせ貢献度,644.0,175.11490683229815,8.650531616547626,2.4456012123886484,20.0,0.2542884491079418,-0.9950826728105555,2.1739130434782608
,,,,,,3.0714187416085403,1.6711267955801106,,,,出来高2倍以上,組み合わせ貢献度,724.0,101.93370165745857,8.546527039932302,2.3415966357733216,19.51219512195122,3.4947487847520273,2.24537766283353,14.634146341463413
,,,,,,3.210037038364176,1.9007481414868106,,,,前日比+1%以上,組み合わせ貢献度,834.0,327.962829736211,8.50503905033906,2.300108646180079,18.75,2.0196502540796084,0.7702791321611111,13.333333333333334
,,,,,,3.1738484205192483,1.791934547591069,,,,MA5上,組み合わせ貢献度,851.0,425.9894242068155,8.318992312137794,2.1140619079788148,18.75,2.022100069778433,0.7727289478599356,13.333333333333334
,,,,,,3.3258782316531326,1.84304,,,,30日高値更新,組み合わせ貢献度,760.0,203.3842105263158,8.2148185433401,2.009888139181119,19.51219512195122,2.166383413553646,0.9170122916351489,14.634146341463413
,,,,,,3.166124052550372,1.803761492890995,,,,MA25上,組み合わせ貢献度,844.0,421.186018957346,8.1833352070661,1.97840480290712,19.148936170212767,1.8353164791161327,0.5859453571976354,13.333333333333334
,,,,,,2.810646261011153,1.7731039440203564,,,,出来高増加2日,組み合わせ貢献度,786.0,269.96310432569976,8.124797403886536,1.919866999727557,17.94871794871795,1.0354281497437414,-0.21394297217475594,6.0606060606060606
,,,,,,3.149555159350974,1.8633581097560974,,,,MA75上,組み合わせ貢献度,820.0,377.90731707317076,7.958610260692255,1.7536798565332745,20.0,1.5211325347382307,0.27176141281973354,10.0
,,,,,,2.9513705724009585,1.7717353317811408,,,,出来高増加1日,組み合わせ貢献度,859.0,389.52852153667055,7.892630034850392,1.687699630691413,18.75,1.7585596776333152,0.509188555714818,13.333333333333334
,,,,,,3.0589917236009265,1.748048382559775,,,,ブレイク,組み合わせ貢献度,711.0,179.56962025316454,7.727498602518383,1.522568198359402,19.51219512195122,2.1849182796433086,0.9355471577248113,14.634146341463413
,,,,,,2.850504922850025,1.744430303030303,,,,RSI90未満,組み合わせ貢献度,858.0,515.1759906759906,7.688945935130293,1.484015530971314,17.94871794871795,1.5019117934746165,0.252540671556119,8.333333333333332
,,,,,,3.035543253594967,2.1457175751879696,,,,MACD GC,組み合わせ貢献度,532.0,90.03947368421052,7.667076877516054,1.4621464733570742,17.94871794871795,0.21600304105827267,-1.0333680808602246,2.4390243902439024
,,,,,,2.842357099982884,1.5214401948842875,,,,出来高1.5倍以上,組み合わせ貢献度,821.0,197.8014616321559,7.601565943749768,1.3966355395907886,18.75,2.124425217266377,0.8750540953478798,13.333333333333334
,,,,,,2.661328158623389,1.7197349290780144,,,,RSI80未満,組み合わせ貢献度,846.0,499.6737588652482,7.403053688550412,1.1981232843914318,17.94871794871795,1.4023141168219935,0.152942994903496,10.0
,,,,,,2.906363498963192,1.9673216738197425,,,,ブレイク初日,組み合わせ貢献度,699.0,139.6638054363376,7.250676061637029,1.0457456574780488,15.294117647058824,1.6627309965784174,0.41335987465992013,10.0
,,,,,,2.347231105376736,1.8095024374999997,,,,RSI70未満,組み合わせ貢献度,800.0,447.03375,6.681685626798364,0.47675522263938547,20.0,0.5518667537256515,-0.6975043681928459,5.128205128205128
