検出日,コード,銘柄名,市場,終値,VolumeRatio,VolumeIncreaseDays,ChangePercent,Change5Days,Change20Days,RSI,BreakoutSignal,BreakoutFirstDay,New30High,NewYearHigh,MACD_GC,AboveMA5,AboveMA25,AboveMA75,5営業日以内最大騰落率,Hit5,Hit10,Hit20
2026-05-01,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,3335.0,0.65,0.0,2.77,1.37,41.31,70.18,False,False,False,False,False,True,True,True,25.6372,True,True,True
2026-05-07,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,3410.0,1.16,1.0,2.25,3.96,36.45,69.43,False,False,False,False,False,True,True,True,22.8739,True,True,True
2026-05-08,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,3850.0,2.33,2.0,12.9,14.41,50.68,74.31,True,True,True,False,True,True,True,True,8.8312,True,False,False
2026-05-11,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,4190.0,1.88,3.0,8.83,28.13,63.23,71.95,True,False,True,False,False,True,True,True,1.432,False,False,False
2026-05-12,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,4060.0,0.82,0.0,-3.1,25.12,50.76,65.37,False,False,False,False,False,True,True,True,6.2808,True,False,False
2026-05-13,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,3925.0,0.42,0.0,-3.33,17.69,48.96,61.3,False,False,False,False,False,True,True,True,9.9363,True,False,False
2026-05-14,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,3895.0,0.67,0.0,-0.76,14.22,46.15,58.99,False,False,False,False,False,False,True,True,10.7831,True,True,False
2026-05-15,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,3860.0,0.67,0.0,-0.9,0.26,38.8,55.98,False,False,False,False,False,False,True,True,15.6736,True,True,False
2026-05-18,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,4250.0,1.94,1.0,10.1,1.43,45.9,69.61,False,False,True,False,False,True,True,True,5.0588,True,False,False
2026-05-19,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,4315.0,1.91,2.0,1.53,6.28,26.35,76.35,True,True,True,False,False,True,True,True,3.4762,False,False,False
2026-05-20,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,3955.0,0.96,0.0,-8.34,0.76,12.84,64.71,False,False,False,False,False,False,True,True,12.8951,True,True,False
2026-05-21,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,4255.0,0.53,0.0,7.59,9.24,21.92,67.73,False,False,False,False,False,True,True,True,4.9354,False,False,False
2026-05-22,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,4465.0,0.5,0.0,4.94,15.67,25.6,72.76,False,False,False,False,False,True,True,True,-1.2318,False,False,False
2026-05-25,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,4410.0,0.92,0.0,-1.23,3.76,21.15,71.94,False,False,False,False,False,True,True,True,-0.1134,False,False,False
2026-05-26,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,4405.0,0.57,0.0,-0.11,2.09,27.68,70.82,False,False,False,False,False,True,True,True,-1.7026,False,False,False
2026-05-27,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,4305.0,1.22,1.0,-2.27,8.85,30.85,67.24,False,False,False,False,False,False,True,True,0.5807,False,False,False
2026-05-28,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,4215.0,1.07,2.0,-2.09,-0.94,28.51,58.13,False,False,False,False,False,False,True,True,2.7284,False,False,False
2026-05-29,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,4200.0,1.28,3.0,-0.36,-5.94,24.81,50.26,False,False,False,False,False,False,True,True,3.0952,False,False,False
2026-06-01,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,4330.0,0.79,0.0,3.1,-1.81,32.42,57.03,False,False,False,False,False,True,True,True,-4.7344,False,False,False
2026-06-02,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,4125.0,0.94,0.0,-4.73,-6.36,27.12,55.03,False,False,False,False,False,False,True,True,-2.7879,False,False,False
2026-06-03,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,4010.0,0.9,0.0,-2.79,-6.85,20.24,52.77,False,False,False,False,False,False,True,True,-3.616,False,False,False
2026-06-04,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,3710.0,1.12,1.0,-7.48,-11.98,8.8,46.79,False,False,False,False,False,False,False,True,4.1779,False,False,False
2026-06-05,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,3865.0,0.76,0.0,4.18,-7.98,0.39,40.86,False,False,False,False,False,False,False,True,-4.5278,False,False,False
2026-06-08,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,3575.0,0.88,0.0,-7.5,-17.44,-14.68,34.12,False,False,False,False,False,False,False,True,10.9091,True,True,False
2026-06-09,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,3690.0,0.71,0.0,3.22,-10.55,-9.11,43.65,False,False,False,False,False,False,False,True,12.6016,True,True,False
2026-06-10,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,3535.0,0.88,0.0,-4.2,-11.85,-9.94,31.44,False,False,False,False,False,False,False,True,21.3579,True,True,True
2026-06-11,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,3570.0,0.9,0.0,0.99,-3.77,-8.34,24.65,False,False,False,False,False,False,False,True,23.1092,True,True,True
2026-06-12,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,3670.0,0.91,0.0,2.8,-5.05,-4.92,29.56,False,False,False,False,False,True,False,True,19.7548,True,True,False
2026-06-15,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,3965.0,1.21,1.0,8.04,10.91,-6.71,39.52,False,False,False,False,False,True,False,True,13.7453,True,True,False
2026-06-16,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,4155.0,1.02,2.0,4.79,12.6,-3.71,46.58,False,False,False,False,False,True,True,True,8.5439,True,False,False
2026-06-17,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,4290.0,1.38,3.0,3.25,21.36,8.47,51.68,False,False,False,False,False,True,True,True,5.1282,True,False,False
2026-06-18,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,4395.0,1.27,4.0,2.45,23.11,3.29,54.19,False,False,False,False,True,True,True,True,2.6166,False,False,False
2026-06-19,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,4005.0,1.13,5.0,-8.87,9.13,-10.3,43.71,False,False,False,False,False,False,False,True,12.6092,True,True,False
2026-06-22,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,4510.0,1.35,6.0,12.61,13.75,2.27,56.67,False,False,False,False,False,True,True,True,-6.3193,False,False,False
