案,基本スコア最大,最終スコア最大,平均基本スコア,平均最終スコア,RSI減点件数,分析,スコア下限,スコア上限,件数,+5%率,+10%率,+20%率,平均最大騰落率,構成比
=== 概要 ===,,,,,,,,,,,,,,
A_高騰初動特化,23.0,23.0,2.973922522220359,2.9458326345799093,200.0,,,,,,,,,
B_バランス型,20.0,20.0,3.056012074459165,3.0279221868187154,200.0,,,,,,,,,
C_取りこぼし防止型,18.0,18.0,3.1002012409860806,3.0721113533456315,200.0,,,,,,,,,
=== 詳細 ===,,,,,,,,,,,,,,
A_高騰初動特化,,,,,,スコア別,17.0,17.0,41.0,14.634146341463413,7.317073170731707,0.0,1.8506512195121951,
A_高騰初動特化,,,,,,スコア別,16.0,16.0,43.0,34.883720930232556,11.627906976744185,2.3255813953488373,5.862586046511629,
A_高騰初動特化,,,,,,スコア別,15.0,15.0,60.0,25.0,6.666666666666667,1.6666666666666667,3.715375,
A_高騰初動特化,,,,,,スコア別,14.0,14.0,67.0,10.44776119402985,2.9850746268656714,0.0,1.3999567164179103,
A_高騰初動特化,,,,,,スコア別,13.0,13.0,80.0,25.0,10.0,5.0,6.850645,
A_高騰初動特化,,,,,,スコア別,12.0,12.0,101.0,16.831683168316832,7.920792079207921,0.9900990099009901,3.380350495049505,
A_高騰初動特化,,,,,,スコア別,11.0,11.0,148.0,13.513513513513514,4.72972972972973,0.6756756756756757,2.095162837837838,
A_高騰初動特化,,,,,,スコア別,10.0,10.0,84.0,11.904761904761903,5.952380952380952,0.0,1.7345226190476188,
A_高騰初動特化,,,,,,スコア別,9.0,9.0,134.0,21.641791044776117,7.462686567164178,0.0,2.326846268656716,
A_高騰初動特化,,,,,,スコア別,8.0,8.0,239.0,19.665271966527197,5.02092050209205,0.41841004184100417,1.6605627615062761,
A_高騰初動特化,,,,,,スコア別,7.0,7.0,243.0,23.045267489711936,6.172839506172839,1.646090534979424,2.6999436213991777,
A_高騰初動特化,,,,,,スコア別,6.0,6.0,440.0,22.272727272727273,6.363636363636363,2.272727272727273,2.946684545454546,
A_高騰初動特化,,,,,,スコア別,5.0,5.0,737.0,24.151967435549526,6.377204884667571,1.2211668928086838,3.149250746268657,
A_高騰初動特化,,,,,,スコア別,4.0,4.0,865.0,21.965317919075144,6.127167630057803,1.5028901734104045,2.8504058959537573,
A_高騰初動特化,,,,,,スコア別,3.0,3.0,1328.0,21.159638554216865,6.701807228915663,0.9036144578313252,2.869456626506024,
A_高騰初動特化,,,,,,スコア別,2.0,2.0,2437.0,18.793598686910133,5.252359458350431,0.9027492819039803,2.6662812474353714,
A_高騰初動特化,,,,,,スコア別,1.0,1.0,2685.0,19.925512104283055,5.95903165735568,1.303538175046555,2.867498584729981,
A_高騰初動特化,,,,,,スコア別,0.0,0.0,2124.0,21.28060263653484,6.87382297551789,1.3653483992467044,2.9442378531073445,
A_高騰初動特化,,,,,,以上,0.0,23.0,11926.0,20.593660908938453,6.20493040415898,1.2493711219184973,2.8561901895019286,100.0
A_高騰初動特化,,,,,,以上,1.0,23.0,9802.0,20.444807182207715,6.05998775760049,1.2242399510304018,2.837111099775556,82.19017273184639
A_高騰初動特化,,,,,,以上,2.0,23.0,7117.0,20.64071940424336,6.098075031614444,1.1943234508922298,2.8256469439370524,59.67633741405333
A_高騰初動特化,,,,,,以上,3.0,23.0,4680.0,21.602564102564102,6.538461538461539,1.3461538461538463,2.908632884615385,39.2419922857622
A_高騰初動特化,,,,,,以上,4.0,23.0,3352.0,21.778042959427207,6.473747016706444,1.5214797136038187,2.924153788782816,28.106657722622842
A_高騰初動特化,,,,,,以上,5.0,23.0,2487.0,21.71290711700844,6.594290309609972,1.527945315641335,2.9498039404905514,20.853597182626196
A_高騰初動特化,,,,,,以上,6.0,23.0,1750.0,20.685714285714283,6.685714285714285,1.657142857142857,2.865808342857143,14.673821901727319
A_高騰初動特化,,,,,,以上,7.0,23.0,1310.0,20.15267175572519,6.793893129770992,1.450381679389313,2.838643816793893,10.984403823578734
A_高騰初動特化,,,,,,以上,8.0,23.0,1067.0,19.49390815370197,6.935332708528586,1.4058106841611997,2.870231583880037,8.946838839510313
A_高騰初動特化,,,,,,以上,9.0,23.0,828.0,19.444444444444446,7.487922705314009,1.6908212560386473,3.219399275362319,6.942814019788697
A_高騰初動特化,,,,,,以上,10.0,23.0,694.0,19.020172910662826,7.492795389048991,2.0172910662824206,3.3917365994236315,5.81921851417072
A_高騰初動特化,,,,,,以上,11.0,23.0,610.0,20.0,7.704918032786885,2.2950819672131146,3.6199431147540984,5.114875062887808
A_高騰初動特化,,,,,,以上,12.0,23.0,462.0,22.07792207792208,8.658008658008658,2.813852813852814,4.108400865800866,3.8738889820560116
A_高騰初動特化,,,,,,以上,13.0,23.0,361.0,23.545706371191137,8.86426592797784,3.32409972299169,4.312093628808864,3.026999832299178
A_高騰初動特化,,,,,,以上,14.0,23.0,281.0,23.131672597864767,8.540925266903916,2.8469750889679712,3.5893743772241993,2.356196545363072
A_高騰初動特化,,,,,,以上,15.0,23.0,214.0,27.102803738317753,10.2803738317757,3.7383177570093453,4.274846261682243,1.7943987925540836
A_高騰初動特化,,,,,,以上,16.0,23.0,154.0,27.92207792207792,11.688311688311687,4.545454545454546,4.492822077922077,1.291296327352004
A_高騰初動特化,,,,,,以上,17.0,23.0,111.0,25.225225225225223,11.711711711711711,5.405405405405405,3.9621927927927936,0.930739560623847
A_高騰初動特化,,,,,,以上,18.0,23.0,70.0,31.428571428571427,14.285714285714285,8.571428571428571,5.198952857142857,0.5869528760690927
A_高騰初動特化,,,,,,以上,19.0,23.0,54.0,31.48148148148148,12.962962962962962,9.25925925925926,5.322703703703705,0.45279221868187153
A_高騰初動特化,,,,,,以上,20.0,23.0,31.0,29.03225806451613,9.67741935483871,3.225806451612903,3.042964516129032,0.2599362736877411
B_バランス型,,,,,,スコア別,15.0,15.0,38.0,18.421052631578945,10.526315789473683,5.263157894736842,2.906673684210526,
B_バランス型,,,,,,スコア別,14.0,14.0,49.0,22.448979591836736,6.122448979591836,2.0408163265306123,4.205718367346938,
B_バランス型,,,,,,スコア別,13.0,13.0,69.0,27.536231884057973,10.144927536231885,1.4492753623188406,4.457930434782608,
