条件,条件あり件数,条件なし件数,条件あり構成比,条件あり+5%率,条件なし+5%率,条件あり+10%率,条件なし+10%率,条件あり+20%率,条件なし+20%率,+10%改善幅,+20%改善幅,条件あり平均最大騰落率,条件なし平均最大騰落率,平均最大騰落率差,総合改善
前日比+5%以上,391,11535,3.2785510649002183,32.48081841432225,20.190723883831815,14.066496163682865,5.938448201127005,5.626598465473146,1.1009969657563936,8.128047962555861,4.525601499716752,4.679874168797954,2.79437307325531,1.8855010955426441,12.653649462272615
前日比+3%以上,994,10932,8.334730840181116,28.06841046277666,19.91401390413465,9.557344064386317,5.900109769484083,2.9175050301810868,1.0976948408342482,3.657234294902234,1.8198101893468386,3.649963078470825,2.784015815953165,0.8659472625176599,5.477044484249072
出来高3倍以上,104,11822,0.8720442730169378,17.307692307692307,20.622568093385212,7.6923076923076925,6.191845711385553,4.807692307692308,1.2180680087971578,1.5004619809221396,3.5896242988951506,3.4435413461538458,2.8510231686685836,0.5925181774852621,5.090086279817291
前日比+1%以上,3157,8769,26.471574710716084,23.725055432372503,19.466301744782758,7.570478302185619,5.713308244953814,1.4887551472917326,1.163188504960657,1.857170057231805,0.3255666423310757,3.1267439657903076,2.758785893488425,0.3679580723018825,2.1827366995628807
出来高2倍以上,546,11380,4.578232433338923,19.963369963369964,20.623901581722322,6.41025641025641,6.195079086115992,2.564102564102564,1.1862917398945518,0.21517732414041735,1.377810824208012,2.7349456043956044,2.8620073725834794,-0.12706176818787496,1.5929881483484294
ブレイク,675,11251,5.659902733523394,17.037037037037038,20.807039374277842,6.222222222222222,6.203892987290019,1.7777777777777777,1.2176695404852902,0.018329234932203065,0.5601082372924875,3.1205260740740743,2.8403314460936806,0.28019462798039374,0.5784374722246906
出来高1.5倍以上,1483,10443,12.435015931578066,19.420094403236682,20.760317916307574,6.068779501011464,6.224265057933544,1.8206338503034392,1.168246672412142,-0.15548555692208055,0.6523871778912971,2.799558327714093,2.8642324236330556,-0.06467409591896267,0.49690162096921653
30日高値更新,1083,10843,9.080999496897535,19.298245614035086,20.723047127178827,6.001846722068329,6.225214424052384,1.7543859649122806,1.1989301853730518,-0.22336770198405453,0.5554557795392288,3.1625918744228994,2.8255867564327217,0.3370051179901776,0.3320880775551742
MACD GC,476,11450,3.9912795572698307,22.478991596638657,20.51528384279476,6.722689075630252,6.183406113537118,0.42016806722689076,1.2838427947598252,0.5392829620931341,-0.8636747275329344,2.6706073529411767,2.863905248908297,-0.19329789596712033,-0.3243917654398003
ブレイク初日,453,11473,3.7984236122757005,16.99779249448124,20.73564019872745,5.960264900662252,6.214590778349168,1.1037527593818985,1.2551207182079667,-0.2543258776869157,-0.15136795882606813,2.7345311258278144,2.860993776693106,-0.12646265086529151,-0.40569383651298385
MA75上,5299,6627,44.432332718430324,21.739950934138516,19.677078617775763,6.152104170598227,6.247170665459484,1.019060200037743,1.4335295005281423,-0.09506649486125696,-0.41446930049039943,2.966094829213059,2.768309597102761,0.1977852321102982,-0.5095357953516564
MA5上,5997,5929,50.28509139694785,20.393530098382527,20.796087029853265,5.91962647990662,6.493506493506493,1.0505252626313157,1.4504975543936582,-0.5738800135998723,-0.3999722917623425,2.7946997498749373,2.9183858660819695,-0.12368611620703218,-0.9738523053622148
MA25上,6041,5885,50.654033204762705,19.682171825856646,21.52931180968564,5.6282072504552225,6.796941376380629,1.0097665949346135,1.4953271028037385,-1.1687341259254067,-0.48556050786912497,2.830798228770071,2.882255242141037,-0.051457013370965754,-1.6542946337945317
