一致本数,件数,構成比,+5%率,+10%率,+20%率,平均最大騰落率,+10%改善,+20%改善,分析種別,条件
0.0,10421,87.38784067085955,20.65060934651185,6.103061126571347,1.132328951156319,2.8365516073313506,-0.10238960718127377,-0.11714693982900592,一致本数,
1.0,898,7.530398322851154,20.71269487750557,6.904231625835189,2.1158129175946545,2.7473887527839644,0.6987808920825689,0.8663370266093295,一致本数,
2.0,475,3.9832285115303985,15.368421052631579,4.421052631578947,0.0,2.078421052631579,-1.7843981021736735,-1.249475890985325,一致本数,
3.0,119,0.9979035639412998,32.773109243697476,15.126050420168067,7.563025210084033,7.531246218487395,8.920599686415446,6.313549319098708,一致本数,
4.0,12,0.10062893081761005,41.66666666666667,25.0,25.0,12.272733333333335,18.79454926624738,23.750524109014677,一致本数,
,13,,46.15384615384615,23.076923076923077,23.076923076923077,11.920746153846153,16.871472343170456,21.82744718593775,3本組み合わせ,前日比+5%以上 + 出来高3倍以上 + 30日高値更新
,14,,50.0,21.428571428571427,21.428571428571427,11.472342857142861,15.223120694818807,20.1790955375861,3本組み合わせ,前日比+5%以上 + 出来高3倍以上 + ブレイク
,20,,25.0,15.0,15.0,7.464404999999999,8.79454926624738,13.750524109014675,3本組み合わせ,出来高3倍以上 + ブレイク + 30日高値更新
,120,,34.166666666666664,17.5,10.0,8.503657500000001,11.29454926624738,8.750524109014675,3本組み合わせ,前日比+5%以上 + ブレイク + 30日高値更新
4.0,12,,41.66666666666667,25.0,25.0,12.272733333333335,18.79454926624738,23.750524109014677,4本一致,
