分析,スコア,件数,構成比,+5%率,+10%率,+20%率,平均最大騰落率,条件,成立率,13点成立率,14点以上成立率,差,検出日,コード,銘柄名,基本スコア,RSI,RSI減点,最終スコア,+5%,+10%,+20%,最大騰落率,成立条件
スコア別,13.0,28.0,28.0,21.428571428571427,14.285714285714285,10.714285714285714,3.6506535714285713,,,,,,,,,,,,,,,,,
スコア別,14.0,12.0,12.0,50.0,8.333333333333332,0.0,5.005416666666667,,,,,,,,,,,,,,,,,
スコア別,16.0,10.0,10.0,40.0,30.0,30.0,13.769020000000001,,,,,,,,,,,,,,,,,
14点以上条件構成,,24.0,,,,,,前日比+1%以上,100.0,,,,,,,,,,,,,,,
14点以上条件構成,,24.0,,,,,,前日比+3%以上,100.0,,,,,,,,,,,,,,,
14点以上条件構成,,24.0,,,,,,出来高1.5倍以上,100.0,,,,,,,,,,,,,,,
14点以上条件構成,,24.0,,,,,,出来高2倍以上,100.0,,,,,,,,,,,,,,,
14点以上条件構成,,23.0,,,,,,前日比+5%以上,95.83333333333334,,,,,,,,,,,,,,,
14点以上条件構成,,23.0,,,,,,ブレイク,95.83333333333334,,,,,,,,,,,,,,,
14点以上条件構成,,22.0,,,,,,30日高値更新,91.66666666666666,,,,,,,,,,,,,,,
14点以上条件構成,,16.0,,,,,,出来高3倍以上,66.66666666666666,,,,,,,,,,,,,,,
14点以上条件構成,,13.0,,,,,,MACD GC,54.166666666666664,,,,,,,,,,,,,,,
13点→14点以上比較,,,,,,,,出来高3倍以上,,7.142857142857142,66.66666666666666,59.52380952380952,,,,,,,,,,,,
13点→14点以上比較,,,,,,,,MACD GC,,25.0,54.166666666666664,29.166666666666664,,,,,,,,,,,,
13点→14点以上比較,,,,,,,,出来高2倍以上,,82.14285714285714,100.0,17.85714285714286,,,,,,,,,,,,
13点→14点以上比較,,,,,,,,前日比+3%以上,,92.85714285714286,100.0,7.142857142857139,,,,,,,,,,,,
13点→14点以上比較,,,,,,,,前日比+5%以上,,92.85714285714286,95.83333333333334,2.9761904761904816,,,,,,,,,,,,
13点→14点以上比較,,,,,,,,前日比+1%以上,,100.0,100.0,0.0,,,,,,,,,,,,
13点→14点以上比較,,,,,,,,出来高1.5倍以上,,100.0,100.0,0.0,,,,,,,,,,,,
13点→14点以上比較,,,,,,,,ブレイク,,100.0,95.83333333333334,-4.166666666666657,,,,,,,,,,,,
13点→14点以上比較,,,,,,,,30日高値更新,,100.0,91.66666666666666,-8.333333333333343,,,,,,,,,,,,
14点以上+10%達成,,,,,,,,,,,,,2026-05-20,4392,ＦＩＧ,16.0,90.37,-2.0,14.0,1.0,1.0,1.0,62.6186,前日比+1%以上 / 前日比+3%以上 / 前日比+5%以上 / 出来高1.5倍以上 / 出来高2倍以上 / 出来高3倍以上 / ブレイク / 30日高値更新
14点以上+10%達成,,,,,,,,,,,,,2026-05-12,4392,ＦＩＧ,16.0,97.21,-3.0,13.0,1.0,1.0,1.0,56.3218,前日比+1%以上 / 前日比+3%以上 / 前日比+5%以上 / 出来高1.5倍以上 / 出来高2倍以上 / 出来高3倍以上 / ブレイク / 30日高値更新
14点以上+10%達成,,,,,,,,,,,,,2026-07-27,8995,誠建設工業,16.0,75.11,0.0,16.0,1.0,1.0,1.0,20.8908,前日比+1%以上 / 前日比+3%以上 / 前日比+5%以上 / 出来高1.5倍以上 / 出来高2倍以上 / 出来高3倍以上 / ブレイク / 30日高値更新
14点以上+10%達成,,,,,,,,,,,,,2026-05-15,6376,日機装,14.0,81.65,0.0,14.0,1.0,1.0,0.0,10.0996,前日比+1%以上 / 前日比+3%以上 / 前日比+5%以上 / 出来高1.5倍以上 / 出来高2倍以上 / ブレイク / 30日高値更新 / MACD GC
