案,基本最大,最終最大,平均基本,平均最終,RSI減点件数,最高+10%閾値,最高+10%率,最高+10%件数,最高+20%閾値,最高+20%率,最高+20%件数,分析,閾値,スコア下限,スコア上限,件数,構成比,+5%率,+10%率,+20%率,平均最大騰落率,基本件数,最終件数,基本構成比,最終構成比,基本+10%率,基本+20%率,基本+10%差,基本+20%差,最終+10%率,最終+20%率,最終+10%差,最終+20%差
=== 概要 ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ver4_A_初動特化,11.0,11.0,0.8944323327184304,0.8663424450779809,200.0,9.0,14.814814814814813,54.0,9.0,11.11111111111111,54.0,,,,,,,,,,,,,,,,,,,,,,
Ver4_B_高騰重視,13.0,13.0,1.0235619654536308,0.9954720778131813,200.0,11.0,17.02127659574468,47.0,11.0,12.76595744680851,47.0,,,,,,,,,,,,,,,,,,,,,,
Ver4_C_超初動,17.0,17.0,1.2124769411370115,1.1843870534965621,200.0,14.0,17.77777777777778,45.0,14.0,13.333333333333334,45.0,,,,,,,,,,,,,,,,,,,,,,
=== 詳細 ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ver4_A_初動特化,,,,,,,,,,,,以上,0.0,0.0,11.0,11926.0,100.0,20.593660908938453,6.20493040415898,1.2493711219184973,2.8561901895019286,,,,,,,,,,,,
Ver4_A_初動特化,,,,,,,,,,,,以上,1.0,1.0,11.0,4713.0,39.518698641623345,21.875663059622322,6.74729471674093,1.464035646085296,2.9667206450244006,,,,,,,,,,,,
Ver4_A_初動特化,,,,,,,,,,,,以上,2.0,2.0,11.0,2506.0,21.012912963273518,21.22905027932961,6.664006384676775,1.7158818834796488,2.8896648044692737,,,,,,,,,,,,
Ver4_A_初動特化,,,,,,,,,,,,以上,3.0,3.0,11.0,1300.0,10.900553412711723,21.23076923076923,7.6923076923076925,2.230769230769231,3.091444923076923,,,,,,,,,,,,
Ver4_A_初動特化,,,,,,,,,,,,以上,4.0,4.0,11.0,826.0,6.926043937615295,20.217917675544793,7.021791767554479,1.694915254237288,3.1914165859564165,,,,,,,,,,,,
Ver4_A_初動特化,,,,,,,,,,,,以上,5.0,5.0,11.0,588.0,4.930404158980379,20.408163265306122,7.8231292517006805,2.380952380952381,3.6782238095238093,,,,,,,,,,,,
Ver4_A_初動特化,,,,,,,,,,,,以上,6.0,6.0,11.0,343.0,2.8760690927385544,25.364431486880466,9.329446064139942,3.498542274052478,4.391291836734694,,,,,,,,,,,,
Ver4_A_初動特化,,,,,,,,,,,,以上,7.0,7.0,11.0,209.0,1.752473587120577,27.27272727272727,11.483253588516746,5.741626794258373,5.676538755980862,,,,,,,,,,,,
Ver4_A_初動特化,,,,,,,,,,,,以上,8.0,8.0,11.0,106.0,0.8888143551903405,27.358490566037734,10.377358490566039,5.660377358490567,4.019891509433963,,,,,,,,,,,,
Ver4_A_初動特化,,,,,,,,,,,,以上,9.0,9.0,11.0,54.0,0.45279221868187153,31.48148148148148,14.814814814814813,11.11111111111111,5.81769814814815,,,,,,,,,,,,
Ver4_A_初動特化,,,,,,,,,,,,スコア別,9.0,9.0,9.0,34.0,0.285091396947845,26.47058823529412,11.76470588235294,8.823529411764707,3.8758529411764697,,,,,,,,,,,,
Ver4_A_初動特化,,,,,,,,,,,,スコア別,8.0,8.0,8.0,52.0,0.4360221365084689,23.076923076923077,5.769230769230769,0.0,2.1529384615384615,,,,,,,,,,,,
Ver4_A_初動特化,,,,,,,,,,,,スコア別,7.0,7.0,7.0,103.0,0.8636592319302364,27.184466019417474,12.62135922330097,5.825242718446602,7.381437864077672,,,,,,,,,,,,
Ver4_A_初動特化,,,,,,,,,,,,スコア別,6.0,6.0,6.0,134.0,1.1235955056179776,22.388059701492537,5.970149253731343,0.0,2.386690298507463,,,,,,,,,,,,
