StrategyVersion,DetectionDate,TradeDate,Code,Name,BasePrice,Change1,DetectionVolumeVsPre5,NextOpenGapPct,TakeProfitPct,StopLossPct,EntryPrice,TakePrice,StopPrice,HitPlus3Time,HitMinus5Time,ExitType,ReturnPct,MaxHighPct,MinLowPct,ClosePct
J1-Trade-Ver1,2026-09-09,2026-09-10,4014,カラダノート,534.0,5.33,1.1854103343465046,0.0,3.0,-5.0,534.0,550.02,507.3,15:10,,TAKE,3.0,4.494382022471921,-0.5617977528089901,3.93258426966292
J1-Trade-Ver1,2026-09-09,2026-09-10,5367,ニッカトー,1397.0,5.43,1.1344227727991565,-0.5010737294201872,3.0,-5.0,1390.0,1431.7,1320.5,,,CLOSE,1.3669064748201398,2.877697841726623,-0.8633093525179825,1.3669064748201398
J1-Trade-Ver1,2026-09-09,2026-09-10,6810,マクセル,2591.0,5.28,1.2857534496938685,-0.3087610961018949,3.0,-5.0,2583.0,2660.49,2453.85,,,CLOSE,-2.3228803716608626,0.0,-3.8714672861014376,-2.3228803716608626
J1-Trade-Ver1,2026-09-11,2026-09-14,3121,マーチャント・バンカーズ,274.0,5.38,1.34391103878492,-9.85401459854015,3.0,-5.0,247.0,254.41,234.65,09:15,,TAKE,3.0,3.238866396761142,0.0,1.61943319838056
J1-Trade-Ver1,2026-09-11,2026-09-14,6736,サン電子,9690.0,5.44,1.627296587926509,-1.031991744066052,3.0,-5.0,9590.0,9877.7,9110.5,09:15,,TAKE,3.0,8.342022940563076,0.0,7.1949947862356645
J1-Trade-Ver1,2026-09-14,2026-09-15,4419,Ｆｉｎａｔｅｘｔホールディングス,1411.0,5.46,1.0115934723709912,0.0708717221828525,3.0,-5.0,1412.0,1454.36,1341.4,,,CLOSE,0.7082152974504208,0.8498583569405138,-1.9830028328611915,0.7082152974504208
J1-Trade-Ver1,2026-09-15,2026-09-16,1491,中外鉱業,737.0,5.44,2.9323308270676693,0.0,3.0,-5.0,737.0,759.11,700.15,09:10,,TAKE,3.0,8.683853459972868,-0.5427408412483015,5.291723202170973
J1-Trade-Ver1,2026-09-15,2026-09-16,4493,サイバーセキュリティクラウド,1924.0,5.25,5.886524822695035,-1.819126819126815,3.0,-5.0,1889.0,1945.67,1794.55,,,CLOSE,1.2705134992059277,2.329274748544208,-1.164637374272104,1.2705134992059277
J1-Trade-Ver1,2026-09-15,2026-09-16,6721,ウインテスト,77.0,5.48,4.385851396527553,-2.5974025974025983,3.0,-5.0,75.0,77.25,71.25,,,CLOSE,0.0,1.333333333333342,-1.3333333333333308,0.0
J1-Trade-Ver1,2026-09-17,2026-09-18,4506,住友ファーマ,1598.0,5.3,1.0745991328883078,-0.5944931163954892,3.0,-5.0,1588.5,1636.155,1509.0749999999998,,,CLOSE,1.1646207113629181,1.4164305949008416,-0.6924771797293006,1.1646207113629181
J1-Trade-Ver1,2026-09-17,2026-09-18,4553,東和薬品,3790.0,5.28,1.3177361087218304,-0.395778364116095,3.0,-5.0,3775.0,3888.25,3586.25,,,CLOSE,-1.7218543046357615,0.6622516556291425,-2.516556291390726,-1.7218543046357615
J1-Trade-Ver1,2026-09-17,2026-09-18,6814,古野電気,7530.0,5.31,1.5409077768141082,0.13280212483399723,3.0,-5.0,7540.0,7766.2,7163.0,,,CLOSE,1.3262599469495928,1.458885941644561,-0.5305039787798393,1.3262599469495928
