IntradaySnapshotDate,IntradaySnapshotStartedAt,IntradaySnapshotCompletedAt,CandidateSnapshotFile,コード,銘柄名,市場,終値,前日比,5日騰落率,20日騰落率,RSI,ATR,基本初動スコア,RSI減点,初動スコア,分析コメント,InitialMoveSignal,PullbackSignal,BreakoutSignal,BreakoutFirstDay,MACD_GC,New30High,NewYearHigh,VolumeRatio,VolumeRatio20,VolumeIncreaseDays,AboveMA5,AboveMA25,AboveMA75,TrendEvaluation,MAAlignment,RSI_Strong,ConsecutiveUpDays,MA25Deviation,信用情報日付,売残,買残,売残前週比,買残前週比,信用倍率,信用条件,_data_date,_data_time,_indicator_time,_judge_time,IntradayFetchTime,IntradayStatus,HasTradeToday,FirstTradeTime,FirstTradePrice,LastTradeTime,LastTradePrice,IntradayOpen,IntradayHighSoFar,IntradayLowSoFar,IntradayVolumeSoFar
2026-09-08,09:48:45,09:48:47,data\tracking\morning_snapshots\2026-09-08_0948_top20.csv,6147,ヤマザキ,スタンダード（内国株式）,233.0,24.6,21.99,16.5,81.67,6.57,7,0,7,初動スコア7点 / 出来高4.4倍 / 当日+24.6% / 5日線上 / MACD GC / 30日高値更新 / ブレイクアウト / 5日+22.0% / 20日+16.5%,False,False,True,True,True,True,False,4.41,13.7,2,True,True,True,強い上昇,上昇配列,False,1,19.63,,,,,,,未判定,2026-09-08,0.0,0.48438167572021484,0.005719661712646484,09:48:45,OK,True,09:05:00,222.0,09:33:00,234.0,222.0,237.0,217.0,157300.0
2026-09-08,09:48:45,09:48:47,data\tracking\morning_snapshots\2026-09-08_0948_top20.csv,2338,クオンタムソリューションズ,スタンダード（内国株式）,139.0,10.32,11.2,6.11,56.36,8.29,6,0,6,初動スコア6点 / 出来高3.9倍 / 当日+10.3% / 5日線上 / MACD GC / 30日高値更新 / 5日+11.2%,False,False,False,False,True,True,False,3.91,5.51,1,True,True,True,中立,混在,True,3,8.49,,,,,,,未判定,2026-09-08,4.76837158203125e-07,0.5348289012908936,0.0003781318664550781,09:48:45,OK,True,09:18:00,160.0,09:33:00,143.0,160.0,164.0,136.0,1153300.0
2026-09-08,09:48:45,09:48:47,data\tracking\morning_snapshots\2026-09-08_0948_top20.csv,4572,カルナバイオサイエンス,グロース（内国株式）,466.0,7.13,10.43,41.64,75.93,20.21,5,0,5,初動スコア5点 / 当日+7.1% / 5日線上 / 30日高値更新 / ブレイクアウト / 5日+10.4% / 20日+41.6%,False,False,True,True,False,True,False,1.43,0.77,2,True,True,True,強い上昇,上昇配列,False,2,22.27,,,,,,,未判定,2026-09-08,2.384185791015625e-07,0.5929622650146484,0.006458282470703125,09:48:45,OK,True,09:05:00,443.0,09:33:00,461.0,443.0,470.0,443.0,139900.0
2026-09-08,09:48:45,09:48:47,data\tracking\morning_snapshots\2026-09-08_0948_top20.csv,4588,オンコリスバイオファーマ,グロース（内国株式）,5300.0,7.07,27.56,86.03,73.21,453.57,5,0,5,初動スコア5点 / 当日+7.1% / 5日線上 / 30日高値更新 / ブレイクアウト / 5日+27.6% / 20日+86.0%,False,False,True,False,False,True,False,0.42,0.32,0,True,True,True,強い上昇,上昇配列,False,3,41.53,,,,,,,未判定,2026-09-08,4.76837158203125e-07,0.7100601196289062,0.0012869834899902344,09:48:45,OK,True,09:05:00,4920.0,09:33:00,5370.0,4920.0,5370.0,4900.0,474500.0
2026-09-08,09:48:45,09:48:47,data\tracking\morning_snapshots\2026-09-08_0948_top20.csv,4629,大伸化学,スタンダード（内国株式）,2555.0,7.35,15.66,18.84,84.05,52.93,5,0,5,初動スコア5点 / 当日+7.3% / 5日線上 / 30日高値更新 / ブレイクアウト / 5日+15.7% / 20日+18.8%,False,False,True,False,False,True,False,1.22,1.43,3,True,True,True,強い上昇,上昇配列,False,4,18.34,,,,,,,未判定,2026-09-08,4.76837158203125e-07,0.511258602142334,0.0075550079345703125,09:48:45,OK,True,09:04:00,2380.0,09:33:00,2558.0,2380.0,2558.0,2380.0,6800.0
2026-09-08,09:48:45,09:48:47,data\tracking\morning_snapshots\2026-09-08_0948_top20.csv,520A,ジェイファーマ,グロース（内国株式）,511.0,8.26,62.22,76.21,81.67,38.57,5,0,5,初動スコア5点 / 当日+8.3% / 5日線上 / 30日高値更新 / ブレイクアウト / 5日+62.2% / 20日+76.2%,False,False,True,False,False,True,False,0.72,2.57,0,True,True,True,上昇継続,混在,False,3,62.86,,,,,,,未判定,2026-09-08,4.76837158203125e-07,0.5947692394256592,0.00023794174194335938,09:48:45,OK,True,09:06:00,495.0,09:33:00,514.0,495.0,546.0,482.0,966100.0
2026-09-08,09:48:45,09:48:47,data\tracking\morning_snapshots\2026-09-08_0948_top20.csv,7794,イーディーピー,グロース（内国株式）,1069.0,7.01,8.86,17.34,68.49,50.5,5,0,5,初動スコア5点 / 当日+7.0% / 5日線上 / 初動シグナル / 30日高値更新 / ブレイクアウト / 5日+8.9% / 20日+17.3%,True,False,True,True,False,True,False,0.95,0.7,0,True,True,True,上昇継続,混在,True,1,11.81,,,,,,,未判定,2026-09-08,2.384185791015625e-07,0.7200586795806885,0.0001952648162841797,09:48:46,OK,True,09:05:00,1035.0,09:33:00,1071.0,1035.0,1079.0,1017.0,215900.0
2026-09-08,09:48:45,09:48:47,data\tracking\morning_snapshots\2026-09-08_0948_top20.csv,1783,ｆａｎｔａｓｉｓｔａ,スタンダード（内国株式）,60.0,7.14,22.45,25.0,87.5,2.57,5,-1,4,初動スコア4点 / 出来高2.2倍 / 当日+7.1% / 5日線上 / 30日高値更新 / ブレイクアウト / 5日+22.4% / 20日+25.0% / RSI87.50 / RSI減点-1点 / 最終初動スコア4点,False,False,True,False,False,True,False,2.21,4.5,3,True,True,True,上昇継続,混在,False,4,21.46,,,,,,,未判定,2026-09-08,9.5367431640625e-07,0.8199789524078369,0.017224550247192383,09:48:46,OK,True,09:05:00,61.0,09:32:00,59.0,61.0,62.0,59.0,594700.0
2026-09-08,09:48:45,09:48:47,data\tracking\morning_snapshots\2026-09-08_0948_top20.csv,2330,フォーサイド,スタンダード（内国株式）,138.0,25.45,64.29,91.67,89.74,7.43,5,-1,4,初動スコア4点 / 出来高1.6倍 / 当日+25.4% / 5日線上 / 30日高値更新 / ブレイクアウト / 5日+64.3% / 20日+91.7% / RSI89.74 / RSI減点-1点 / 最終初動スコア4点,False,False,True,False,False,True,False,1.55,5.18,2,True,True,True,強い上昇,上昇配列,False,2,68.37,,,,,,,未判定,2026-09-08,2.384185791015625e-07,0.6541023254394531,0.0011279582977294922,09:48:46,OK,True,09:05:00,124.0,09:33:00,136.0,124.0,141.0,123.0,5928900.0
2026-09-08,09:48:45,09:48:47,data\tracking\morning_snapshots\2026-09-08_0948_top20.csv,6203,豊和工業,スタンダード（内国株式）,2040.0,6.69,31.36,35.19,86.01,96.07,5,-1,4,初動スコア4点 / 当日+6.7% / 5日線上 / 30日高値更新 / ブレイクアウト / 5日+31.4% / 20日+35.2% / RSI86.01 / RSI減点-1点 / 最終初動スコア4点,False,False,True,False,False,True,False,1.25,4.38,2,True,True,True,上昇継続,混在,False,4,33.0,,,,,,,未判定,2026-09-08,2.384185791015625e-07,0.6704444885253906,0.0013806819915771484,09:48:46,OK,True,09:12:00,2132.0,09:33:00,2071.0,2132.0,2237.0,2009.0,3079700.0
