SnapshotDate,SnapshotTime,コード,銘柄名,市場,終値,前日比,5日騰落率,20日騰落率,RSI,ATR,基本初動スコア,RSI減点,初動スコア,分析コメント,InitialMoveSignal,PullbackSignal,BreakoutSignal,BreakoutFirstDay,MACD_GC,New30High,NewYearHigh,VolumeRatio,VolumeRatio20,VolumeIncreaseDays,AboveMA5,AboveMA25,AboveMA75,TrendEvaluation,MAAlignment,RSI_Strong,ConsecutiveUpDays,MA25Deviation,信用情報日付,売残,買残,売残前週比,買残前週比,信用倍率,信用条件,_data_date,_data_time,_indicator_time,_judge_time
2026-08-31,09:30:56,336A,ダイナミックマッププラットフォーム,グロース（内国株式）,1051.0,16.65,26.17,35.09,74.3,53.07,7,0,7,初動スコア7点 / 出来高3.4倍 / 当日+16.6% / 5日線上 / 30日高値更新 / ブレイクアウト / 5日+26.2% / 20日+35.1%,False,False,True,False,False,True,False,3.35,5.98,4,True,True,True,上昇継続,混在,False,4,28.48,,,,,,,未判定,2026-08-28,9.5367431640625e-07,0.9371082782745361,0.00037288665771484375
2026-08-31,09:30:56,4707,キタック,スタンダード（内国株式）,365.0,5.49,9.28,11.62,82.14,7.07,7,0,7,初動スコア7点 / 出来高3.2倍 / 当日+5.5% / 5日線上 / 初動シグナル / 30日高値更新 / ブレイクアウト / 5日+9.3% / 20日+11.6%,True,False,True,False,False,True,False,3.23,9.5,2,True,True,True,強い上昇,上昇配列,False,2,10.21,,,,,,,未判定,2026-08-28,1.1920928955078125e-06,0.724945068359375,0.0004057884216308594
2026-08-31,09:30:56,4420,イーソル,スタンダード（内国株式）,785.0,14.6,11.82,7.53,54.34,37.21,6,0,6,初動スコア6点 / 出来高3.7倍 / 当日+14.6% / 5日線上 / MACD GC / ブレイクアウト / 5日+11.8%,False,False,True,True,True,False,False,3.73,4.51,2,True,True,True,中立,下降配列,True,2,9.14,,,,,,,未判定,2026-08-28,7.152557373046875e-07,0.8356420993804932,0.0002503395080566406
2026-08-31,09:30:56,4667,アイサンテクノロジー,スタンダード（内国株式）,2661.0,20.95,26.41,50.17,87.04,127.71,7,-1,6,初動スコア6点 / 出来高3.9倍 / 当日+20.9% / 5日線上 / 30日高値更新 / ブレイクアウト / 5日+26.4% / 20日+50.2% / RSI87.04 / RSI減点-1点 / 最終初動スコア6点,False,False,True,True,False,True,False,3.87,10.5,3,True,True,True,強い上昇,上昇配列,False,1,34.57,,,,,,,未判定,2026-08-28,2.384185791015625e-07,0.9301645755767822,0.0002701282501220703
2026-08-31,09:30:56,5129,ＦＩＸＥＲ,グロース（内国株式）,342.0,30.53,36.25,48.05,87.69,14.64,7,-1,6,初動スコア6点 / 出来高4.5倍 / 当日+30.5% / 5日線上 / 30日高値更新 / ブレイクアウト / 5日+36.2% / 20日+48.0% / RSI87.69 / RSI減点-1点 / 最終初動スコア6点,False,False,True,True,False,True,False,4.46,14.72,3,True,True,True,上昇継続,混在,False,1,37.33,,,,,,,未判定,2026-08-28,4.76837158203125e-07,1.1420607566833496,0.0004057884216308594
2026-08-31,09:30:56,1848,富士ピー・エス,スタンダード（内国株式）,769.0,6.81,5.34,13.42,74.27,17.43,5,0,5,初動スコア5点 / 当日+6.8% / 5日線上 / 初動シグナル / 30日高値更新 / ブレイクアウト / 5日+5.3% / 20日+13.4%,True,False,True,True,False,True,False,1.01,0.74,1,True,True,True,強い上昇,上昇配列,False,1,10.59,,,,,,,未判定,2026-08-31,4.76837158203125e-07,1.0002458095550537,0.0003857612609863281
2026-08-31,09:30:56,2877,日東ベスト,スタンダード（内国株式）,790.0,6.18,5.33,6.76,67.68,12.29,5,0,5,初動スコア5点 / 出来高2.6倍 / 当日+6.2% / 5日線上 / 初動シグナル / 30日高値更新 / ブレイクアウト / 5日+5.3%,True,False,True,True,False,True,False,2.61,2.47,1,True,True,True,強い上昇,上昇配列,True,1,6.09,,,,,,,未判定,2026-08-31,7.152557373046875e-07,0.7732422351837158,0.00950765609741211
2026-08-31,09:30:56,341A,トヨコー,グロース（内国株式）,2204.0,6.47,10.03,11.54,75.0,62.93,5,0,5,初動スコア5点 / 当日+6.5% / 5日線上 / 初動シグナル / 30日高値更新 / ブレイクアウト / 5日+10.0% / 20日+11.5%,True,False,True,True,False,True,False,1.29,1.22,4,True,True,True,上昇継続,混在,False,3,10.68,,,,,,,未判定,2026-08-31,4.76837158203125e-07,0.7222468852996826,0.00027942657470703125
2026-08-31,09:30:56,3907,シリコンスタジオ,スタンダード（内国株式）,2842.0,7.86,59.04,183.07,80.54,270.07,5,0,5,初動スコア5点 / 当日+7.9% / 5日線上 / 30日高値更新 / ブレイクアウト / 5日+59.0% / 20日+183.1%,False,False,True,False,False,True,False,0.48,0.36,0,True,True,True,強い上昇,上昇配列,False,4,77.3,,,,,,,未判定,2026-08-31,2.384185791015625e-07,0.9770083427429199,0.0002944469451904297
2026-08-31,09:30:56,4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,プライム（内国株式）,1422.0,7.65,5.72,49.21,84.16,80.93,5,0,5,初動スコア5点 / 当日+7.7% / 5日線上 / 30日高値更新 / ブレイクアウト / 5日+5.7% / 20日+49.2%,False,False,True,True,False,True,False,0.44,0.31,0,True,True,True,強い上昇,上昇配列,False,3,26.69,,,,,,,未判定,2026-08-31,2.384185791015625e-07,0.8461549282073975,0.00024008750915527344
