DetectionDate,Code,Name,BasePrice,InitialScore,Change5,VolumeRatio20,Day1Price,Day1,Day2Price,Day2,Drop,BuyDecision,BuyReason
2026-08-27,4414,フレクト,1257.0,4,20.4,4.55,1161.0,-7.64,1187.0,-5.57,2.07,買い,Drop>=-3.5
2026-08-27,7743,シード,635.0,4,18.47,1.21,735.0,15.75,793.0,24.88,9.13,買い,Drop>=-3.5
2026-08-27,4107,伊勢化学工業,4385.0,4,14.49,2.79,4340.0,-1.03,4355.0,-0.68,0.35,買い,Drop>=-3.5
2026-08-27,3647,アスリナ,135.0,4,14.41,7.92,133.0,-1.48,124.0,-8.15,-6.67,見送り,Drop<-5.0
2026-08-27,3692,ＦＦＲＩセキュリティ,5610.0,4,14.37,2.25,5710.0,1.78,5630.0,0.36,-1.42,買い,Drop>=-3.5
2026-08-27,4113,田岡化学工業,835.0,4,12.69,3.95,826.0,-1.08,798.0,-4.43,-3.35,買い,Drop>=-3.5
2026-08-27,9425,ＲｅＹｕｕ　Ｊａｐａｎ,254.0,4,9.01,4.4,250.0,-1.57,303.0,19.29,20.86,買い,Drop>=-3.5
2026-08-27,4055,ティアンドエスグループ,1698.0,4,6.86,2.08,1647.0,-3.0,1725.0,1.59,4.59,買い,Drop>=-3.5
2026-08-27,336A,ダイナミックマッププラットフォーム,901.0,4,6.25,1.65,1051.0,16.65,1351.0,49.94,33.29,買い,Drop>=-3.5
2026-08-27,277A,グロービング,1922.0,4,3.44,1.81,1947.0,1.3,1953.0,1.61,0.31,買い,Drop>=-3.5
2026-08-27,5283,高見澤,3200.0,4,2.89,7.75,3220.0,0.63,3160.0,-1.25,-1.88,買い,Drop>=-3.5
2026-08-27,4644,イマジニア,1070.0,4,1.61,3.84,1073.0,0.28,1070.0,0.0,-0.28,買い,Drop>=-3.5
2026-08-27,7719,東京衡機,535.0,3,22.99,2.82,534.0,-0.19,526.0,-1.68,-1.49,買い,Drop>=-3.5
2026-08-27,7694,いつも,554.0,3,13.52,2.02,527.0,-4.87,627.0,13.18,18.05,買い,Drop>=-3.5
2026-08-27,6834,精工技研,27600.0,3,11.11,1.48,5200.0,-81.16,5810.0,-78.95,2.21,買い,Drop>=-3.5
2026-08-27,6330,東洋エンジニアリング,2657.0,3,10.34,2.02,2781.0,4.67,2665.0,0.3,-4.37,見送り,Day1 3-8%除外
2026-08-27,4478,フリー,4230.0,3,9.73,2.45,4435.0,4.85,4360.0,3.07,-1.78,見送り,Day1 3-8%除外
2026-08-27,6890,フェローテック,9490.0,3,9.33,1.03,9600.0,1.16,9310.0,-1.9,-3.06,買い,Drop>=-3.5
2026-08-27,6166,中村超硬,688.0,3,9.03,2.37,670.0,-2.62,692.0,0.58,3.2,買い,Drop>=-3.5
2026-08-27,6994,指月電機製作所,1253.0,3,7.92,1.33,1227.0,-2.08,1231.0,-1.76,0.32,買い,Drop>=-3.5
2026-08-27,7018,内海造船,12880.0,3,7.24,1.22,13280.0,3.11,12900.0,0.16,-2.95,見送り,Day1 3-8%除外
2026-08-27,5282,ジオスター,431.0,3,6.68,6.77,429.0,-0.46,428.0,-0.7,-0.24,買い,Drop>=-3.5
2026-08-27,6055,ジャパンマテリアル,2215.0,3,6.34,1.57,2143.0,-3.25,2150.0,-2.93,0.32,買い,Drop>=-3.5
2026-08-27,6768,タムラ製作所,823.0,3,4.44,2.96,811.0,-1.46,843.0,2.43,3.89,買い,Drop>=-3.5
2026-08-27,4415,ブロードエンタープライズ,1422.0,3,3.95,1.71,1403.0,-1.34,1416.0,-0.42,0.92,買い,Drop>=-3.5
2026-08-27,3652,ディジタルメディアプロフェッショナル,2503.0,3,3.34,1.07,2633.0,5.19,2635.0,5.27,0.08,見送り,Day1 3-8%除外
2026-08-27,3266,ファンドクリエーショングループ,81.0,3,2.53,2.96,81.0,0.0,80.0,-1.23,-1.23,買い,Drop>=-3.5
2026-08-27,4776,サイボウズ,3110.0,3,1.14,1.42,3345.0,7.56,3260.0,4.82,-2.74,見送り,Day1 3-8%除外
2026-08-27,6800,ヨコオ,3960.0,3,0.89,1.1,3955.0,-0.13,4025.0,1.64,1.77,買い,Drop>=-3.5
2026-08-28,4370,モビルス,376.0,4,25.33,6.46,377.0,0.27,346.0,-7.98,-8.25,見送り,Drop<-5.0
2026-08-28,7743,シード,635.0,4,18.47,1.21,793.0,24.88,792.0,24.72,-0.16,買い,Drop>=-3.5
2026-08-28,4420,イーソル,780.0,4,11.11,1.18,935.0,19.87,910.0,16.67,-3.2,買い,Drop>=-3.5
2026-08-28,5283,高見澤,3200.0,4,2.89,7.75,3160.0,-1.25,3195.0,-0.16,1.09,買い,Drop>=-3.5
2026-08-28,7709,クボテック,62.0,3,63.16,1.1,63.0,1.61,68.0,9.68,8.07,買い,Drop>=-3.5
