コード,銘柄名,市場,終値,前日比%,5日騰落率%,20日騰落率%,25日線乖離率%,RSI,RSI判定,ATR,MA収束度%,トレンド評価,MA並び,初動シグナル,押し目判定,値動き評価,連続上昇日数,出来高増加日数,出来高倍率,20日出来高倍率,30日高値,30日高値までの距離%,年初来高値,年初来高値更新,ブレイクアウト,ブレイク初日,株価位置,株価上昇,5日線上,25日線上,75日線上,MACD GC,30日高値更新,注目ポイント,強気度,監視ランク,総合判定,買い候補理由,分析コメント
7745,Ａ＆Ｄホロンホールディングス,プライム（内国株式）,3235.0,6.07,12.72,11.78,10.84,62.01,良好,131.29,2.98,強い上昇,上昇配列,○,,急上昇,4,6,1.58,2.28,3260.0,0.77,,,○,○,高値圏,○,○,○,○,,○,株価上昇 / 5日線上 / 25日線上 / 75日線上 / 強い上昇 / 上昇配列 / 初動シグナル / 30日高値更新 / ブレイクアウト / ブレイク初日 / 20日平均出来高超 / 5日上昇12.72% / 20日上昇11.78% / 4日連続上昇 / RSI 62.01,20,A,監視継続,,Aランク / 強気度20点 / 強い上昇 / 上昇配列 / 初動検出 / ブレイク / RSI62.01 / 監視継続
6549,ディーエムソリューションズ,スタンダード（内国株式）,1233.0,3.7,6.02,12.3,7.64,63.01,良好,48.21,1.81,強い上昇,上昇配列,○,,急上昇,3,1,1.33,1.46,1250.0,1.38,,,○,○,高値圏,○,○,○,○,○,○,株価上昇 / 5日線上 / 25日線上 / 75日線上 / 強い上昇 / 上昇配列 / 初動シグナル / MACD GC / 30日高値更新 / ブレイクアウト / ブレイク初日 / 5日上昇6.02% / 20日上昇12.3% / 3日連続上昇 / RSI 63.01,20,A,監視継続,,Aランク / 強気度20点 / 強い上昇 / 上昇配列 / 初動検出 / MACD GC / ブレイク / RSI63.01 / 監視継続
4616,川上塗料,スタンダード（内国株式）,2145.0,4.63,6.19,16.58,9.28,69.55,良好,41.0,4.4,強い上昇,上昇配列,○,,急上昇,2,3,3.22,1.97,2146.0,0.05,,,○,○,高値圏,○,○,○,○,,○,株価上昇 / 5日線上 / 25日線上 / 75日線上 / 強い上昇 / 上昇配列 / 初動シグナル / 30日高値更新 / ブレイクアウト / ブレイク初日 / 出来高急増 / 5日上昇6.19% / 20日上昇16.58% / 2日連続上昇 / RSI 69.55,19,A,監視継続,,Aランク / 強気度19点 / 強い上昇 / 上昇配列 / 初動検出 / ブレイク / RSI69.55 / 監視継続
7609,ダイトロン,プライム（内国株式）,4150.0,15.92,26.33,14.01,18.76,69.18,良好,215.71,1.1,中立,混在,,,急上昇,4,7,2.58,5.91,4280.0,3.13,,,○,○,高値圏,○,○,○,○,○,○,株価上昇 / 5日線上 / 25日線上 / 75日線上 / 中立 / 混在 / MACD GC / 30日高値更新 / ブレイクアウト / ブレイク初日 / 出来高急増 / 20日平均出来高超 / 5日上昇26.33% / 20日上昇14.01% / 4日連続上昇 / RSI 69.18,19,A,監視継続,,Aランク / 強気度19点 / 中立 / 混在 / MACD GC / ブレイク / RSI69.18 / 監視継続
7089,フォースタートアップス,グロース（内国株式）,1713.0,3.88,6.07,10.52,8.9,68.41,良好,52.21,3.6,強い上昇,上昇配列,○,,急上昇,2,1,2.35,2.9,1749.0,2.1,,,○,○,高値圏,○,○,○,○,,○,株価上昇 / 5日線上 / 25日線上 / 75日線上 / 強い上昇 / 上昇配列 / 初動シグナル / 30日高値更新 / ブレイクアウト / ブレイク初日 / 出来高急増 / 20日平均出来高超 / 5日上昇6.07% / 20日上昇10.52% / 2日連続上昇 / RSI 68.41,19,A,監視継続,,Aランク / 強気度19点 / 強い上昇 / 上昇配列 / 初動検出 / ブレイク / RSI68.41 / 監視継続
8159,立花エレテック,プライム（内国株式）,3795.0,5.86,14.31,13.79,13.21,74.3,,131.07,4.65,強い上昇,上昇配列,○,,急上昇,4,6,1.87,3.28,3870.0,1.98,,,○,○,高値圏,○,○,○,○,,○,株価上昇 / 5日線上 / 25日線上 / 75日線上 / 強い上昇 / 上昇配列 / 初動シグナル / 30日高値更新 / ブレイクアウト / ブレイク初日 / 20日平均出来高超 / 5日上昇14.31% / 20日上昇13.79% / 4日連続上昇 / RSI 74.3,19,A,監視継続,,Aランク / 強気度19点 / 強い上昇 / 上昇配列 / 初動検出 / ブレイク / RSI74.3 / 監視継続
7072,インティメート・マージャー,グロース（内国株式）,1169.0,3.45,14.83,17.37,14.6,74.36,,29.71,5.92,強い上昇,上昇配列,○,,急上昇,3,3,1.53,3.02,1173.0,0.34,,,○,○,高値圏,○,○,○,○,,○,株価上昇 / 5日線上 / 25日線上 / 75日線上 / 強い上昇 / 上昇配列 / 初動シグナル / 30日高値更新 / ブレイクアウト / ブレイク初日 / 20日平均出来高超 / 5日上昇14.83% / 20日上昇17.37% / 3日連続上昇 / RSI 74.36,19,A,監視継続,,Aランク / 強気度19点 / 強い上昇 / 上昇配列 / 初動検出 / ブレイク / RSI74.36 / 監視継続
3447,信和,スタンダード（内国株式）,1012.0,1.81,2.64,5.86,3.81,69.63,良好,19.36,2.44,強い上昇,上昇配列,○,○,上昇,1,3,1.39,1.12,1025.0,1.28,,,○,○,高値圏,○,○,○,○,○,○,株価上昇 / 5日線上 / 25日線上 / 75日線上 / 強い上昇 / 上昇配列 / 初動シグナル / 押し目候補 / MACD GC / 30日高値更新 / ブレイクアウト / ブレイク初日 / 1日連続上昇 / RSI 69.63,19,A,監視継続,,Aランク / 強気度19点 / 強い上昇 / 上昇配列 / 初動検出 / 押し目 / MACD GC / ブレイク / RSI69.63 / 監視継続
3969,エイトレッド,スタンダード（内国株式）,1444.0,1.76,4.49,3.14,3.52,64.18,良好,17.64,0.92,強い上昇,上昇配列,○,,上昇,5,2,1.1,2.05,1445.0,0.07,,,○,○,高値圏,○,○,○,○,○,○,株価上昇 / 5日線上 / 25日線上 / 75日線上 / 強い上昇 / 上昇配列 / 初動シグナル / MACD GC / 30日高値更新 / ブレイクアウト / ブレイク初日 / 20日平均出来高超 / 5日連続上昇 / RSI 64.18,19,A,監視継続,,Aランク / 強気度19点 / 強い上昇 / 上昇配列 / 初動検出 / MACD GC / ブレイク / RSI64.18 / 監視継続
2226,湖池屋,スタンダード（内国株式）,4800.0,0.84,0.42,1.05,1.24,68.18,良好,45.71,0.73,強い上昇,上昇配列,○,○,上昇,1,2,4.06,9.57,5000.0,4.17,,,○,○,高値圏,○,○,○,○,,○,株価上昇 / 5日線上 / 25日線上 / 75日線上 / 強い上昇 / 上昇配列 / 初動シグナル / 押し目候補 / 30日高値更新 / ブレイクアウト / ブレイク初日 / 出来高急増 / 20日平均出来高超 / 1日連続上昇 / RSI 68.18,18,A,監視継続,,Aランク / 強気度18点 / 強い上昇 / 上昇配列 / 初動検出 / 押し目 / ブレイク / RSI68.18 / 監視継続
