コード,銘柄名,市場,終値,前日比%,5日騰落率%,20日騰落率%,25日線乖離率%,MA収束度%,トレンド評価,MA並び,初動シグナル,押し目判定,値動き評価,連続上昇日数,出来高増加日数,出来高倍率,30日高値,30日高値までの距離%,株価位置,株価上昇,5日線上,25日線上,75日線上,MACD GC,30日高値更新,注目ポイント,強気度,監視ランク,総合判定,買い候補理由,分析コメント
6549,ディーエムソリューションズ,スタンダード（内国株式）,1233.0,3.7,6.02,12.3,7.64,1.81,強い上昇,上昇配列,○,,急上昇,3,1,1.33,1250.0,1.38,高値圏,○,○,○,○,○,○,株価上昇 / 5日線上 / 25日線上 / 75日線上 / 強い上昇 / 上昇配列 / 初動シグナル / MACD GC / 30日高値更新 / 5日上昇6.02% / 20日上昇12.3% / 3日連続上昇,17,A,監視継続,,Aランク / 強気度17点 / 強い上昇 / 上昇配列 / 初動検出 / 監視継続
4616,川上塗料,スタンダード（内国株式）,2145.0,4.63,6.19,16.58,9.28,4.4,強い上昇,上昇配列,○,,急上昇,2,3,3.22,2146.0,0.05,高値圏,○,○,○,○,,○,株価上昇 / 5日線上 / 25日線上 / 75日線上 / 強い上昇 / 上昇配列 / 初動シグナル / 30日高値更新 / 出来高急増 / 5日上昇6.19% / 20日上昇16.58% / 2日連続上昇,16,A,監視継続,,Aランク / 強気度16点 / 強い上昇 / 上昇配列 / 初動検出 / 監視継続
2664,カワチ薬品,プライム（内国株式）,3485.0,5.93,3.87,3.72,2.84,0.28,強い上昇,上昇配列,○,,急上昇,1,6,2.01,3645.0,4.59,高値圏,○,○,○,○,○,○,株価上昇 / 5日線上 / 25日線上 / 75日線上 / 強い上昇 / 上昇配列 / 初動シグナル / MACD GC / 30日高値更新 / 出来高急増 / 1日連続上昇,16,A,監視継続,,Aランク / 強気度16点 / 強い上昇 / 上昇配列 / 初動検出 / 監視継続
8159,立花エレテック,プライム（内国株式）,3795.0,5.86,14.31,13.79,13.21,4.65,強い上昇,上昇配列,○,,急上昇,4,6,1.87,3870.0,1.98,高値圏,○,○,○,○,,○,株価上昇 / 5日線上 / 25日線上 / 75日線上 / 強い上昇 / 上昇配列 / 初動シグナル / 30日高値更新 / 5日上昇14.31% / 20日上昇13.79% / 4日連続上昇,16,A,監視継続,,Aランク / 強気度16点 / 強い上昇 / 上昇配列 / 初動検出 / 監視継続
8020,兼松,プライム（内国株式）,2127.0,1.24,1.94,0.33,1.58,0.29,上昇継続,混在,○,○,上昇,3,7,1.61,2184.5,2.7,高値圏,○,○,○,○,○,○,株価上昇 / 5日線上 / 25日線上 / 75日線上 / 上昇継続 / 混在 / 初動シグナル / 押し目候補 / MACD GC / 30日高値更新 / 3日連続上昇,16,A,監視継続,,Aランク / 強気度16点 / 上昇継続 / 混在 / 初動検出 / 押し目 / 監視継続
7745,Ａ＆Ｄホロンホールディングス,プライム（内国株式）,3235.0,6.07,12.72,11.78,10.84,2.98,強い上昇,上昇配列,○,,急上昇,4,6,1.58,3260.0,0.77,高値圏,○,○,○,○,,○,株価上昇 / 5日線上 / 25日線上 / 75日線上 / 強い上昇 / 上昇配列 / 初動シグナル / 30日高値更新 / 5日上昇12.72% / 20日上昇11.78% / 4日連続上昇,16,A,監視継続,,Aランク / 強気度16点 / 強い上昇 / 上昇配列 / 初動検出 / 監視継続
7072,インティメート・マージャー,グロース（内国株式）,1169.0,3.45,14.83,17.37,14.6,5.92,強い上昇,上昇配列,○,,急上昇,3,3,1.53,1173.0,0.34,高値圏,○,○,○,○,,○,株価上昇 / 5日線上 / 25日線上 / 75日線上 / 強い上昇 / 上昇配列 / 初動シグナル / 30日高値更新 / 5日上昇14.83% / 20日上昇17.37% / 3日連続上昇,16,A,監視継続,,Aランク / 強気度16点 / 強い上昇 / 上昇配列 / 初動検出 / 監視継続
3447,信和,スタンダード（内国株式）,1012.0,1.81,2.64,5.86,3.81,2.44,強い上昇,上昇配列,○,○,上昇,1,3,1.39,1025.0,1.28,高値圏,○,○,○,○,○,○,株価上昇 / 5日線上 / 25日線上 / 75日線上 / 強い上昇 / 上昇配列 / 初動シグナル / 押し目候補 / MACD GC / 30日高値更新 / 1日連続上昇,16,A,監視継続,,Aランク / 強気度16点 / 強い上昇 / 上昇配列 / 初動検出 / 押し目 / 監視継続
7128,ユニソルホールディングス,プライム（内国株式）,2911.0,1.25,7.06,31.3,14.46,12.31,強い上昇,上昇配列,○,○,上昇,5,2,1.15,2930.0,0.65,高値圏,○,○,○,○,,○,株価上昇 / 5日線上 / 25日線上 / 75日線上 / 強い上昇 / 上昇配列 / 初動シグナル / 押し目候補 / 30日高値更新 / 5日上昇7.06% / 20日上昇31.3% / 5日連続上昇,16,A,監視継続,,Aランク / 強気度16点 / 強い上昇 / 上昇配列 / 初動検出 / 押し目 / 監視継続
6418,日本金銭機械,プライム（内国株式）,1141.0,0.53,5.16,11.1,6.82,5.48,強い上昇,上昇配列,○,○,上昇,5,0,0.63,1154.0,1.14,高値圏,○,○,○,○,,○,株価上昇 / 5日線上 / 25日線上 / 75日線上 / 強い上昇 / 上昇配列 / 初動シグナル / 押し目候補 / 30日高値更新 / 5日上昇5.16% / 20日上昇11.1% / 5日連続上昇,16,A,監視継続,,Aランク / 強気度16点 / 強い上昇 / 上昇配列 / 初動検出 / 押し目 / 監視継続
8085,ナラサキ産業,スタンダード（内国株式）,4350.0,1.05,3.69,3.08,3.72,1.88,強い上昇,上昇配列,○,○,上昇,2,4,3.27,4670.0,7.36,上昇中,○,○,○,○,,○,株価上昇 / 5日線上 / 25日線上 / 75日線上 / 強い上昇 / 上昇配列 / 初動シグナル / 押し目候補 / 30日高値更新 / 出来高急増 / 2日連続上昇,15,A,買い候補,Aランク 強気度15点 / 強い上昇 / 上昇配列 / 初動シグナル / 押し目判定 / 30日高値更新 / 出来高3.27倍 / 25日線乖離3.72% / 株価位置:上昇中,Aランク / 強気度15点 / 強い上昇 / 上昇配列 / 初動検出 / 押し目 / 買い候補
5697,サンユウ,スタンダード（内国株式）,786.0,5.22,6.94,12.61,9.06,3.96,強い上昇,上昇配列,○,,急上昇,2,1,3.2,794.0,1.02,高値圏,○,○,○,○,,○,株価上昇 / 5日線上 / 25日線上 / 75日線上 / 強い上昇 / 上昇配列 / 初動シグナル / 30日高値更新 / 出来高急増 / 5日上昇6.94% / 20日上昇12.61% / 2日連続上昇,15,A,監視継続,,Aランク / 強気度15点 / 強い上昇 / 上昇配列 / 初動検出 / 監視継続
7609,ダイトロン,プライム（内国株式）,4150.0,15.92,26.33,14.01,18.76,1.1,中立,混在,,,急上昇,4,7,2.58,4280.0,3.13,高値圏,○,○,○,○,○,○,株価上昇 / 5日線上 / 25日線上 / 75日線上 / 中立 / 混在 / MACD GC / 30日高値更新 / 出来高急増 / 5日上昇26.33% / 20日上昇14.01% / 4日連続上昇,15,A,監視継続,,Aランク / 強気度15点 / 中立 / 混在 / 監視継続
7089,フォースタートアップス,グロース（内国株式）,1713.0,3.88,6.07,10.52,8.9,3.6,強い上昇,上昇配列,○,,急上昇,2,1,2.35,1749.0,2.1,高値圏,○,○,○,○,,○,株価上昇 / 5日線上 / 25日線上 / 75日線上 / 強い上昇 / 上昇配列 / 初動シグナル / 30日高値更新 / 出来高急増 / 5日上昇6.07% / 20日上昇10.52% / 2日連続上昇,15,A,監視継続,,Aランク / 強気度15点 / 強い上昇 / 上昇配列 / 初動検出 / 監視継続
6952,カシオ計算機,プライム（内国株式）,2248.5,3.88,30.12,19.25,21.57,4.56,強い上昇,上昇配列,,,急上昇,5,6,2.28,2250.0,0.07,高値圏,○,○,○,○,,○,株価上昇 / 5日線上 / 25日線上 / 75日線上 / 強い上昇 / 上昇配列 / 30日高値更新 / 出来高急増 / 5日上昇30.12% / 20日上昇19.25% / 5日連続上昇,15,A,監視継続,,Aランク / 強気度15点 / 強い上昇 / 上昇配列 / 監視継続
