コード,日付,売残,買残,売残増減,買残増減,信用倍率
1458,2026-08-07,7964,79926,-278,-1545,10.04
1458,2026-07-31,8242,81471,-1346,-4696,9.88
1458,2026-07-24,9588,86167,961,-8678,8.99
1458,2026-07-17,8627,94845,-3279,32276,10.99
1458,2026-07-10,11906,62569,423,8109,5.26
1458,2026-07-03,11483,54460,190,-2286,4.74
1458,2026-06-26,11293,56746,-7979,32162,5.02
1458,2026-06-19,19272,24584,5959,-28542,1.28
1458,2026-06-12,13313,53126,-5892,2605,3.99
1458,2026-06-05,19205,50521,-6405,23970,2.63
1458,2026-05-29,25610,26551,2479,-7703,1.04
1458,2026-05-22,23131,34254,4230,-9521,1.48
1458,2026-05-15,18901,43775,-5050,6765,2.32
1458,2026-05-01,23951,37010,-2204,10460,1.55
1458,2026-04-24,26155,26550,-390,-8434,1.02
1458,2026-04-17,26545,34984,2706,-16498,1.32
1458,2026-04-10,23839,51482,7665,-38154,2.16
1458,2026-04-03,16174,89636,1667,-1824,5.54
1458,2026-03-27,14507,91460,1971,-9219,6.3
1458,2026-03-20,12536,100679,-1363,12447,8.03
