コード,日付,売残,買残,売残増減,買残増減,信用倍率
147A,2026-08-07,162600,435000,-4400,400,2.68
147A,2026-07-31,167000,434600,-5400,1300,2.6
147A,2026-07-24,172400,433300,-3100,15000,2.51
147A,2026-07-17,175500,418300,-23900,-14700,2.38
147A,2026-07-10,199400,433000,-15900,-8300,2.17
147A,2026-07-03,215300,441300,-41800,-33800,2.05
147A,2026-06-26,257100,475100,-10800,7900,1.85
147A,2026-06-19,267900,467200,-5100,11800,1.74
147A,2026-06-12,273000,455400,28500,26800,1.67
147A,2026-06-05,244500,428600,-1100,-15800,1.75
147A,2026-05-29,245600,444400,3600,63800,1.81
147A,2026-05-22,242000,380600,48400,-33800,1.57
147A,2026-05-15,193600,414400,18500,45700,2.14
147A,2026-05-01,175100,368700,-19600,27300,2.11
147A,2026-04-24,194700,341400,1200,-12700,1.75
147A,2026-04-17,193500,354100,-29100,-10600,1.83
147A,2026-04-10,222600,364700,-16200,7000,1.64
147A,2026-04-03,238800,357700,-10800,-700,1.5
147A,2026-03-27,249600,358400,-12100,-7300,1.44
147A,2026-03-20,261700,365700,11100,-22100,1.4
