コード,銘柄名,市場,終値,前日比%,5日騰落率%,20日騰落率%,RSI,ATR,トレンド評価,MA並び,初動シグナル,押し目判定,MACD GC,30日高値更新,年初来高値更新,ブレイク,強気度,監視ランク,総合判定,分析コメント
8012,長瀬産業,プライム（内国株式）,1291.0,11.44,14.76,10.15,65.67,42.57,強い上昇,上昇配列,○,,○,○,,○,21,A,買い候補,Aランク / 強気度21点 / 強い上昇 / 上昇配列 / 初動検出 / MACD GC / ブレイク / RSI65.67 / 買い候補
6360,東京自働機械製作所,スタンダード（内国株式）,4670.0,1.08,3.66,3.09,52.04,62.5,強い上昇,上昇配列,○,,○,○,,○,20,A,買い候補,Aランク / 強気度20点 / 強い上昇 / 上昇配列 / 初動検出 / MACD GC / ブレイク / RSI52.04 / 買い候補
6538,ディスラプターズ,スタンダード（内国株式）,252.0,2.44,5.44,5.88,63.89,6.29,強い上昇,上昇配列,○,,,○,,○,20,A,買い候補,Aランク / 強気度20点 / 強い上昇 / 上昇配列 / 初動検出 / ブレイク / RSI63.89 / 買い候補
4444,インフォネット,グロース（内国株式）,985.0,4.79,8.0,9.44,67.44,24.07,強い上昇,上昇配列,○,,○,○,,○,20,A,買い候補,Aランク / 強気度20点 / 強い上昇 / 上昇配列 / 初動検出 / MACD GC / ブレイク / RSI67.44 / 買い候補
6310,井関農機,プライム（内国株式）,1948.0,3.51,7.15,3.51,57.72,74.57,強い上昇,上昇配列,○,,○,○,,○,19,A,買い候補,Aランク / 強気度19点 / 強い上昇 / 上昇配列 / 初動検出 / MACD GC / ブレイク / RSI57.72 / 買い候補
5697,サンユウ,スタンダード（内国株式）,810.0,3.05,10.05,14.73,92.37,18.21,強い上昇,上昇配列,○,,,○,,○,19,A,買い候補,Aランク / 強気度19点 / 強い上昇 / 上昇配列 / 初動検出 / ブレイク / RSI92.37 / 買い候補
6814,古野電気,プライム（内国株式）,7850.0,6.22,12.79,24.6,55.3,395.71,強い上昇,上昇配列,○,,○,○,,○,19,A,買い候補,Aランク / 強気度19点 / 強い上昇 / 上昇配列 / 初動検出 / MACD GC / ブレイク / RSI55.3 / 買い候補
287A,黒田グループ,スタンダード（内国株式）,1143.0,1.6,5.83,3.91,54.95,26.64,強い上昇,上昇配列,○,,○,○,,○,19,A,買い候補,Aランク / 強気度19点 / 強い上昇 / 上昇配列 / 初動検出 / MACD GC / ブレイク / RSI54.95 / 買い候補
7561,ハークスレイ,スタンダード（内国株式）,702.0,5.88,6.2,5.72,74.36,10.43,強い上昇,上昇配列,○,,○,○,,○,19,A,買い候補,Aランク / 強気度19点 / 強い上昇 / 上昇配列 / 初動検出 / MACD GC / ブレイク / RSI74.36 / 買い候補
5121,藤倉コンポジット,プライム（内国株式）,2726.0,5.62,12.09,5.86,61.75,77.57,強い上昇,上昇配列,○,,,○,,○,19,A,買い候補,Aランク / 強気度19点 / 強い上昇 / 上昇配列 / 初動検出 / ブレイク / RSI61.75 / 買い候補
3628,データホライゾン,グロース（内国株式）,644.0,3.87,7.87,24.08,66.3,28.0,強い上昇,上昇配列,○,,,○,,○,18,A,買い候補,Aランク / 強気度18点 / 強い上昇 / 上昇配列 / 初動検出 / ブレイク / RSI66.3 / 買い候補
6302,住友重機械工業,プライム（内国株式）,5927.0,3.62,15.36,10.74,67.76,257.07,強い上昇,上昇配列,○,,,○,,○,18,A,買い候補,Aランク / 強気度18点 / 強い上昇 / 上昇配列 / 初動検出 / ブレイク / RSI67.76 / 買い候補
3646,駅探,スタンダード（内国株式）,341.0,1.49,1.79,2.4,65.22,3.21,強い上昇,上昇配列,○,○,,○,,○,18,A,買い候補,Aランク / 強気度18点 / 強い上昇 / 上昇配列 / 初動検出 / 押し目 / ブレイク / RSI65.22 / 買い候補
1795,マサル,スタンダード（内国株式）,5550.0,0.36,0.91,12.01,63.49,102.14,強い上昇,上昇配列,○,○,,○,,○,18,A,買い候補,Aランク / 強気度18点 / 強い上昇 / 上昇配列 / 初動検出 / 押し目 / ブレイク / RSI63.49 / 買い候補
1847,イチケン,スタンダード（内国株式）,2787.0,1.68,4.58,2.88,59.48,60.14,強い上昇,上昇配列,○,,○,○,,○,18,A,買い候補,Aランク / 強気度18点 / 強い上昇 / 上昇配列 / 初動検出 / MACD GC / ブレイク / RSI59.48 / 買い候補
6677,エスケーエレクトロニクス,スタンダード（内国株式）,3820.0,3.8,15.58,11.21,67.1,133.57,強い上昇,上昇配列,○,,,○,,○,18,A,買い候補,Aランク / 強気度18点 / 強い上昇 / 上昇配列 / 初動検出 / ブレイク / RSI67.1 / 買い候補
4475,ＨＥＮＮＧＥ,グロース（内国株式）,1520.0,16.83,14.29,22.19,70.75,72.71,強い上昇,上昇配列,,,○,○,,○,18,A,買い候補,Aランク / 強気度18点 / 強い上昇 / 上昇配列 / MACD GC / ブレイク / RSI70.75 / 買い候補
7637,白銅,プライム（内国株式）,3765.0,5.17,14.96,11.56,65.6,139.64,強い上昇,上昇配列,○,,,○,,○,18,A,買い候補,Aランク / 強気度18点 / 強い上昇 / 上昇配列 / 初動検出 / ブレイク / RSI65.6 / 買い候補
